Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,Total
t360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5
t361,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,64.6,314.0,0.0,0.0,0.0,0.0,1154.081780226189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2337.181780226189
t362,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,21.657220961652605,-5.918043656969326e-10,0.0,0.0,0.0,0.0,1154.081780226189,0.0,1.001440702644639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.2404418898946
t363,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,314.0,0.0,0.0,0.0,0.0,1154.081780226189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.581780226189
t364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.60251658808647,0.0,64.6,314.0,0.0,0.0,0.0,0.0,1154.081780226189,0.0,1.001440702644639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.28573751692
t365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3390969902044381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.8390969902044
t366,0.0,0.0,0.0,0.0,0.0,0.0,74.57329493262192,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0732949326219
t367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,186.10650618353418,0.0,314.0,0.0,0.0,0.0,0.0,0.0,943.5104450544139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.1169512379483
t368,2605.831089960385,0.0,0.0,2246.9,2609.2182649526258,100.18230071098706,226.0,578.5,76.55400573355894,64.6,314.0,797.3011427642705,5.161903650444401,1371.086878730754,2096.0298176830906,0.0,773.3138162631582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13864.679220449276
t369,3224.9948922466733,0.0,571.1,2246.9,2015.5660210716042,871.5770314029492,0.0,578.5,0.0,64.6,0.0,1630.3,0.0,1371.086878730754,2096.0298176830906,0.0,850.26862582392,0.0,4581.853955885982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20102.777222844972
t370,3948.1144022048957,0.0,6.689253301155986,441.24732500996623,3095.9,0.0,0.0,578.5,196.3,0.0,314.0,0.0,0.0,1371.086878730754,2096.0298176830906,0.0,328.6529680869034,0.0,2894.0826336463556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15270.60327866312
t371,2247.538950118068,0.0,170.99354694882513,0.0,0.0,0.0,0.0,578.5,196.3,0.0,314.0,1630.3,0.0,1371.086878730754,1503.364742343516,390.7826565177563,0.0,0.0,4581.853955885982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12984.720730544901
