Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t43,16524.78846011576,1508.2,1238.8898442385732,32252.903331047462,7594.855535263927,22084.4468174632,657.0685827368959,5781.36091319293,572.1827557135073,258.2,4867.0,3495.2760273250883,6955.783211866958,4070.6827715198747,5212.123306577275,2074.6994740685946,1528.043447977098,0.0,4792.153037692401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2072.603302617808,81.48235093652835,2793.5,6218.622375301722,419.02845469593456,134638.69400035153
t44,14196.818366606432,1508.2,1238.8898442385732,31173.682603275018,7594.855535263927,22084.4468174632,411.93716547379177,5134.578250701176,359.2655114270146,258.2,4867.0,3495.2760273250883,6955.783211866958,2556.189193959754,5212.123306577275,1387.551897961227,546.6250785547642,0.0,2955.4886623989905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401463,2758.7,84.25294719041496,2793.5,6218.622375301722,367.88550361649936,124483.21046091584
t45,14196.818366606432,1508.2,1238.8898442385732,28661.572033953114,5958.721726940953,22084.4468174632,166.80574821068763,4487.795588209423,146.3482671405219,258.2,4867.0,3495.2760273250883,5812.742081448859,1069.3863747024757,5212.123306577275,953.5841629547917,52.49726584393086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.7855148579558,2758.7,165.7352981269433,2793.5,7375.395435506198,316.74255253706417,114195.2664126435
t46,14196.818366606432,1508.2,1238.8898442385732,26149.46146463121,5958.721726940953,20222.920226194798,166.80574821068763,3841.0129257176695,146.3482671405219,258.2,4867.0,1757.795327572419,5087.515115243845,1069.3863747024757,3362.9894397981875,953.5841629547917,52.49726584393086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.1236765719706,2232.075554252939,247.21764906347164,2745.917848981435,7966.303337866058,265.599601457629,105233.38392399
t47,11023.066347638243,1508.2,1238.8898442385732,26149.46146463121,5958.721726940953,19613.314042486963,166.80574821068763,3275.112570071501,146.3482671405219,258.2,4867.0,924.1791258563211,5087.515115243845,991.9760313609956,3362.9894397981875,0.0,52.49726584393086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.4618382859853,1386.506605235616,328.7,2793.5,10308.006656828042,304.39,101006.84208981159
t48,7273.710788539908,1508.2,1238.8898442385732,26149.46146463121,5958.721726940953,19613.314042486963,0.0,3275.112570071501,0.0,258.2,4867.0,0.0,5087.515115243845,991.9760313609956,2117.9798947410372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2072.603302617808,328.7,640.2823562800831,14309.715947801924,253.2470489205648,97529.43013387536
t49,16236.2693436555,1051.3042301573637,619.4449221192866,25733.534502608774,6715.950041635789,18494.073281503195,902.2,8547.596403458336,785.1,210.20561356455565,4515.937327532566,3741.2,7435.8301349606245,2186.862444681904,1533.6132866578646,4300.40120220256,3617.815782707245,0.0,17132.07195299069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2037.7943209644513,26514.127353653148,521.3143568548049,157504.84650190867
t50,12156.144373924753,1051.3042301573637,619.4449221192866,25476.188379811305,3357.9750208178943,16632.546690234798,902.2,8192.78157273636,745.0960508864218,210.20561356455565,4164.874655065132,3741.2,7435.8301349606245,2186.862444681904,1533.6132866578646,4300.40120220256,3617.815782707245,0.0,13731.121736481855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.9019888120195,2758.7,328.7,2793.5,20765.120658321473,472.0111130519881,138402.5398571954
t51,10713.822525065802,942.5195230520092,619.4449221192866,23834.763330395337,3357.9750208178943,14771.020098966395,902.2,7545.998910244606,638.7517328594781,140.13707570970377,3813.8119825976983,1972.891373610448,4359.802057275927,1514.4935775601207,1533.6132866578646,3498.3300049641716,3539.2321515567446,0.0,10517.320153277717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,16279.488190481095,422.70786924917127,118384.02378646148
t52,6802.969866053755,833.7348159466546,0.0,22836.598366291204,3357.9750208178943,12909.493507697996,657.0685827368959,6899.216247752853,425.8344885729854,140.13707570970377,3462.7493101302643,1768.3086263895518,4359.802057275927,1514.4935775601207,1533.6132866578646,2332.2200033094477,2526.4490581107884,0.0,5684.593080884468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,79.57189497397229,2700.9938605793245,12396.514502628506,402.99648760563366,97968.83371768582
