Resource,Min_Cap_1
NM_nuclear_nuclear__large_advanced_0,0
NM_onshore_wind_turbine_1,0
NM_other_peaker_1,0
NM_run_of_river_hydroelectric_1,0
NM_solar_photovoltaic_1,0
NM_utilitypv_class1_conservative_1,0
NM_utilitypv_class1_conservative_2,0
NM_utilitypv_class1_conservative_3,0
NM_utilitypv_class1_conservative_4,0
NM_utilitypv_class1_conservative_5,0
NM_utilityscale_battery_storage_lithium_ion_conservative_0,0
NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,0
PNW_batteries_1,0
PNW_biomass_1,0
PNW_conventional_hydroelectric_1,0
PNW_conventional_steam_coal_1,0
PNW_distributed_generation_1,0
PNW_geothermal_1,0
PNW_hydroelectric_pumped_storage_1,0
PNW_landbasedwind_class3_conservative_0,0
PNW_landbasedwind_class3_conservative_1,0
PNW_landbasedwind_class3_conservative_2,0
PNW_landbasedwind_class3_conservative_3,0
PNW_landbasedwind_class3_conservative_4,0
PNW_landbasedwind_class3_conservative_5,0
PNW_landbasedwind_class3_conservative_6,0
PNW_landbasedwind_class3_conservative_7,0
PNW_landbasedwind_class3_conservative_8,0
PNW_landbasedwind_class3_conservative_9,0
PNW_natural_gas_fired_combined_cycle_1,0
PNW_natural_gas_fired_combustion_turbine_1,0
PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0
PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,0
PNW_naturalgas_combustion_turbine_fframe_moderate_0,0
PNW_nuclear_1,0
PNW_nuclear_nuclear__large_advanced_0,0
PNW_onshore_wind_turbine_1,0
PNW_other_peaker_1,0
PNW_run_of_river_hydroelectric_1,0
PNW_solar_photovoltaic_1,0
PNW_utilitypv_class1_conservative_1,0
PNW_utilitypv_class1_conservative_2,0
PNW_utilitypv_class1_conservative_3,0
PNW_utilitypv_class1_conservative_4,0
PNW_utilitypv_class1_conservative_5,0
PNW_utilityscale_battery_storage_lithium_ion_conservative_0,0
PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,0
UT_NV_batteries_1,0
UT_NV_biomass_1,0
UT_NV_conventional_hydroelectric_1,0
UT_NV_conventional_steam_coal_1,0
UT_NV_distributed_generation_1,0
UT_NV_geothermal_1,0
UT_NV_landbasedwind_class3_conservative_0,0
UT_NV_landbasedwind_class3_conservative_1,0
UT_NV_landbasedwind_class3_conservative_2,0
UT_NV_landbasedwind_class3_conservative_3,0
UT_NV_landbasedwind_class3_conservative_4,0
UT_NV_landbasedwind_class3_conservative_5,0
UT_NV_landbasedwind_class3_conservative_6,0
UT_NV_landbasedwind_class3_conservative_7,0
UT_NV_landbasedwind_class3_conservative_8,0
UT_NV_landbasedwind_class3_conservative_9,0
UT_NV_natural_gas_fired_combined_cycle_1,0
UT_NV_natural_gas_fired_combustion_turbine_1,0
UT_NV_natural_gas_steam_turbine_1,0
UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0
UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,0
UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,0
UT_NV_nuclear_nuclear__large_advanced_0,0
UT_NV_onshore_wind_turbine_1,0
UT_NV_other_peaker_1,0
UT_NV_run_of_river_hydroelectric_1,0
UT_NV_solar_photovoltaic_1,0
UT_NV_utilitypv_class1_conservative_1,0
UT_NV_utilitypv_class1_conservative_2,0
UT_NV_utilitypv_class1_conservative_3,0
UT_NV_utilitypv_class1_conservative_4,0
UT_NV_utilitypv_class1_conservative_5,0
UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,0
UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,0
