Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t21,13617.68487618079,1073.061171578582,1743.4,32314.889430678097,8499.245466306555,18361.393634926397,735.3942517893124,5732.886687541233,196.25258117957992,258.2,4867.0,3741.2,0.0,6298.397589990637,683.5277433500637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,778.6009597852008,328.7,2793.5,12768.807066706162,406.2336812491736,116783.17514126177
t22,11740.658128215151,964.2764644732274,1743.4,29991.147016588984,5141.270445488661,16499.867043657996,490.2628345262083,5086.10402504948,120.05767555761369,258.2,4515.937327532566,3741.2,0.0,6298.397589990637,155.6480494631865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,778.6009597852008,328.7,2793.5,12039.434169981016,355.3118406245868,104626.77357093451
t23,9779.785820996845,855.4917573678729,1743.4,28355.91438886244,2305.10735693497,14638.340452389597,245.13141726310414,4439.321362557726,22.911415162980347,258.2,4164.874655065132,3611.4306996835708,0.0,6298.397589990637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1557.2019195704015,328.7,761.8430438060518,14106.686630012213,304.39,95361.92850966351
t24,8137.371250585606,746.7070502625184,1123.9550778807134,27535.86037014721,0.0,12776.813861121198,0.0,3792.538700065973,0.0,258.2,3882.8943325095825,3610.873706245462,0.0,6298.397589990637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,2335.8028793556023,148.30102066324497,761.8430438060518,12801.638405343727,253.46815937541314,84872.70002843035
t25,7451.4668212661945,986.0334058942001,619.4449221192866,25561.923864947377,0.0,16872.17236191001,0.0,4309.964830058501,0.0,258.2,4867.0,3741.2,0.0,1687.32223840006,0.0,5.451284929537373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.6763234280295,2758.7,162.9647018730567,640.282356280083,16918.721646003407,253.2470489205648,87740.77180603029
t26,5746.313804061349,986.0334058942001,619.4449221192866,25203.98236435568,0.0,16872.17236191001,208.361704796,4827.390960052001,0.0,258.2,4867.0,3516.725118809513,0.0,1687.32223840006,0.0,10.902569859074745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2072.603302617808,81.48235093652835,640.282356280083,15049.611320875214,253.2470489205648,83224.41399160137
t27,4061.4728742672564,986.0334058942001,619.4449221192866,24057.189755197232,0.0,16872.17236191001,416.723409592,5344.817090045501,0.0,258.2,4867.0,3228.75883144397,0.0,1687.32223840006,0.0,21.80513971814949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2758.7,162.9647018730567,640.282356280083,12844.664949967797,253.2470489205648,79404.13724734317
t28,2463.332608146294,986.0334058942001,619.4449221192866,24057.189755197232,0.0,16872.17236191001,625.085114388,5862.243220039,0.0,258.2,4867.0,2699.6703274617876,0.0,1687.32223840006,0.0,43.61027943629898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2072.603302617808,244.44705280958505,640.282356280083,10781.637918721268,253.2470489205648,75356.86007405548
t29,996.9497058268636,986.0334058942001,0.0,21791.696348173595,0.0,16872.17236191001,625.085114388,6379.6693500325,0.0,210.20561356455565,4867.0,1775.552232529614,0.0,0.0,0.0,87.22055887259796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.6763234280295,2758.7,325.9294037461134,640.282356280083,8939.148192375298,253.2470489205648,68155.56801594202
t30,0.0,986.0334058942001,0.0,21085.780475190168,0.0,16872.17236191001,625.085114388,6897.095480026,25.661270102098353,140.13707570970377,4867.0,572.6065125540845,0.0,0.0,0.0,181.72108172601259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,686.0966973821919,81.48235093652835,737.5923319188541,7279.726878774396,253.2470489205648,61614.77624714682
t31,0.0,986.0334058942001,0.0,21085.780475190168,0.0,16872.17236191001,833.446819184,7414.521610019499,206.64092785189834,70.06853785485188,4867.0,0.0,0.0,0.0,0.0,317.4747339655622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,686.0966973821919,81.48235093652835,1377.8746881989373,6218.622375301723,253.2470489205648,61593.80019432414
t32,4144.0079638479965,1073.0611715785,0.0,23095.46893064807,2854.2787693714,18361.393634925007,833.446819184,7931.947740012999,387.62058560169834,0.0,4867.0,0.0,0.0,0.0,286.0226118095816,453.22838620511186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.6763234280295,686.0966973821919,162.9647018730567,2018.1570444790204,7193.253006919622,253.2470489205648,75247.87143618685
t33,10108.131275021997,1160.0889372628,526.5281841106,25105.15738610597,5708.5575387428,19850.614907940006,902.2,8449.373870006499,568.6002433514983,0.0,4867.0,1437.5533314959685,0.0,2774.9146516564265,1130.721012612706,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.8637248269374,1372.1933947643838,244.44705280958505,2658.4394007591036,13411.875382221344,506.4940978411296,102106.73642997441
t34,16072.254586195997,1247.1167029471,1053.0563682212,27114.84584156387,8562.8363081142,21339.836180955004,902.2,8966.8,749.5799011012983,59.558257211599994,4867.0,2940.6156648097685,0.0,5549.829303312853,1975.4194134158306,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.4648419150192,2058.2900921465757,325.9294037461134,2793.5,19630.497757523066,521.3143568548049,128118.92701847896
t35,19302.24601385893,1334.1444686314,1579.5845523318,29124.53429702177,11163.7,22829.057453970003,902.2,8966.8,785.1,119.11651442319999,4867.0,2940.6156648097685,0.0,8324.743954969279,2820.1178142189556,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.1236765719706,2744.3867895287676,328.7,2793.5,25849.120132824788,470.17140577536975,148771.94477738065
t36,20733.21164794891,1421.1722343157,1743.4,31134.222752479673,11163.7,24318.278726985,902.2,8966.8,785.1,178.67477163479998,4867.0,2940.6156648097685,0.0,11099.658606625706,3664.81621502208,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.4618382859853,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,160769.34839055713
t37,20733.21164794891,1508.2,1743.4,33143.91120793757,11163.7,25807.5,902.2,8966.8,785.1,238.23302884639998,4867.0,3741.2,0.0,12039.270112295446,3664.81621502208,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,166478.37814449993
t38,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,902.2,8966.8,785.1,238.23302884639998,4867.0,3741.2,0.0,12039.270112295446,3664.81621502208,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,168468.95528861342
t39,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,12039.270112295446,3664.81621502208,434.72314436263696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2072.603302617808,328.7,2793.5,27433.176837468884,470.17140577536975,166432.76101754222
t40,20757.653720525486,1399.4152928946455,1743.4,34827.0,11163.7,23945.9734087316,902.2,8785.205330853712,785.1,258.2,4867.0,3741.2,0.0,12039.270112295446,2916.8178707442453,275.0129653510751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401463,2758.7,328.7,640.2823562800831,18305.472953330238,419.02845469593456,151182.6706274165
t41,19870.030648641354,1290.630585789291,1743.4,34827.0,8479.757069232319,22084.4468174632,902.2,8138.422668361959,667.0913468657651,258.2,4867.0,3741.2,0.0,9068.325651244979,2263.2615188556274,115.30278633951318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2758.7,328.7,640.2823562800831,8991.771004104874,367.88550361649936,131726.94611850946
t42,18701.278809104107,1290.630585789291,1743.4,32314.889430678097,8391.42090830823,20222.920226194798,902.2,7710.160594875626,509.0482392132658,258.2,4867.0,3741.2,0.0,7030.306509354821,1269.4986949649553,5.451284929537373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2758.7,328.7,1280.5647125601663,6218.622375301723,316.74255253706417,120184.2730855257
t43,17276.77097905624,1181.8458786839365,1743.4,29802.778861356193,6487.254762619426,20222.920226194798,902.2,7063.377932383873,427.1734939572753,258.2,4867.0,3741.2,0.0,6525.778107233164,1269.4986949649553,5.451284929537373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.6763234280295,2758.7,165.7352981269433,1920.8470688402494,6218.622375301723,265.599601457629,113751.03088853396
t44,15730.064955128655,1073.061171578582,1743.4,27290.66829203429,6487.254762619426,18733.69895317841,735.3942517893124,6416.595269892119,367.01059685090536,258.2,4867.0,3741.2,0.0,6195.992451665554,993.762823890672,5.451284929537373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0144851420442,2758.7,247.21764906347164,1441.775136796622,6218.622375301723,253.2470489205648,106528.3315087819
t45,14157.198317837156,1073.061171578582,1123.9550778807134,27290.66829203429,3912.8871253110997,18733.69895317841,490.2628345262083,5769.812607400366,336.87328226453724,258.2,4867.0,3741.2,0.0,3772.308053461217,993.762823890672,5.451284929537373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.352646856059,2758.7,328.7,1306.2650043842634,6218.622375301723,253.2470489205648,98685.22689975539
