Time_Index,BANC_Hydro,CAISO_Hydro,Customer_PV,LDWP_Hydro,NW_Hydro,NW_Hydro_for_CAISO,SW_Hydro
116,793.193,2026.219,0.0,16.1,15289.175,1318.215,1645.892
117,793.193,2148.798,0.0,336.597,14153.704,1386.028,273.602
118,140.393,2834.628,0.0,16.1,12862.778,1386.028,1645.892
119,793.193,2449.183,0.0,248.26,11495.621,1367.791,1645.892
120,793.193,3270.597,0.0,16.1,11513.708,1386.028,273.602
121,522.709,4032.186,0.0,15.9,15257.971,1566.762,339.114
122,649.529,4032.186,0.0,15.9,14286.581,1566.762,1667.294
123,1337.689,3628.141,0.0,407.502,13321.782,1566.762,1667.294
124,1332.513,3286.385,0.0,15.9,14688.94,1566.762,1667.294
125,1355.827,3163.806,0.0,15.9,14681.535,1566.762,283.408
126,1369.069,3013.247,1024.2,15.9,14747.924,1561.872,1667.294
127,1207.334,2191.834,5456.516,407.502,16115.082,1437.933,283.408
128,522.709,1850.078,10736.446,15.9,14821.825,1320.694,283.408
129,522.709,1727.499,16051.694,15.9,13454.667,1217.97,283.408
130,522.709,1727.499,20625.279,407.502,14821.825,1207.675,283.408
131,522.709,1727.499,23309.39,15.9,14562.836,1207.675,283.408
132,522.709,1727.499,24616.129,15.9,13321.782,1207.675,283.408
133,522.709,1727.499,24157.004,407.502,14688.94,1207.675,283.408
134,522.709,1727.499,23079.828,15.9,15547.475,1207.675,283.408
135,522.709,1727.499,19971.909,15.9,16160.934,1207.675,283.408
136,522.709,1727.499,15663.204,117.178,17282.844,1222.861,283.408
137,522.709,1797.076,10524.543,15.9,17282.844,1325.584,283.408
138,522.709,2138.832,4820.806,15.9,17282.844,1442.824,283.408
139,522.709,2960.245,935.907,15.9,17282.844,1566.762,283.408
140,685.002,3110.804,0.0,15.9,17282.844,1566.762,1667.294
141,1386.608,3233.383,0.0,407.502,17282.844,1566.762,1667.294
142,1386.608,3575.139,0.0,15.9,17282.844,1566.762,1667.294
143,1370.594,4032.186,0.0,15.9,17282.844,1566.762,1667.294
144,1220.277,4032.186,0.0,407.502,16420.993,1566.762,1667.294
145,142.004,3126.606,0.0,3.3,13415.29,1254.217,1309.798
146,142.004,2305.193,0.0,3.3,12356.051,1309.524,1309.798
147,142.004,2374.437,0.0,3.3,10988.893,1185.586,122.909
148,177.905,2223.878,0.0,3.3,10651.719,1309.524,1309.798
149,273.995,2101.299,0.0,3.3,10651.719,1185.586,122.909
150,287.307,1759.543,0.0,3.3,10651.719,1309.524,915.512
151,381.252,938.13,0.0,3.3,11567.149,1192.285,122.909
152,724.943,787.571,1183.128,3.3,12934.307,1068.347,122.909
153,729.117,664.992,4962.075,3.3,12612.666,965.623,122.909
154,142.004,664.992,6904.524,3.3,11245.508,965.623,122.909
155,142.004,664.992,9270.78,3.3,10651.719,965.623,122.909
156,142.004,664.992,9518.001,3.3,10898.572,965.623,122.909
157,142.004,664.992,9447.366,3.3,10651.719,965.623,122.909
158,142.004,664.992,9306.097,3.3,10850.722,965.623,122.909
159,142.004,664.992,6092.227,3.3,11983.862,965.623,122.909
160,142.004,664.992,4379.34,3.3,13277.119,965.623,122.909
161,142.004,1034.727,406.148,3.3,14644.277,1082.862,122.909
162,142.004,1157.306,0.0,335.903,15202.342,1206.801,1309.798
163,382.075,1978.72,0.0,335.903,15202.342,1254.217,1309.798
164,466.624,2101.299,0.0,335.903,15202.342,1378.156,1309.798
165,622.302,2471.034,0.0,335.903,15202.342,1270.713,122.909
166,795.6,2593.614,0.0,313.745,15202.342,1378.156,1309.798
167,596.436,3181.593,0.0,3.3,15202.342,1254.217,122.909
168,609.936,2360.18,0.0,3.3,14782.448,1378.156,122.909
169,200.899,3267.932,0.0,10.4,12478.44,1233.077,200.993
170,887.094,3267.932,0.0,369.797,11111.282,1233.077,224.786
171,887.094,3267.932,0.0,10.4,11982.822,1233.077,1483.812
172,200.899,2997.525,0.0,285.079,10615.664,1233.077,1483.812
173,887.094,2176.112,0.0,10.4,11982.822,1233.077,1483.812
174,200.899,2053.533,0.0,10.4,12234.83,1233.077,200.993
175,887.094,1902.974,0.0,369.797,13601.988,1233.077,200.993
176,200.899,1561.218,2737.087,10.4,12325.123,1190.716,1483.812
177,200.899,739.805,7610.869,10.4,13601.988,1066.777,720.953
178,200.899,739.805,11425.133,10.4,12565.805,949.538,200.993
179,200.899,739.805,14003.293,10.4,11198.648,846.814,200.993
180,200.899,739.805,17146.529,10.4,9905.39,780.887,200.993
181,200.899,739.805,16616.77,10.4,8905.206,780.887,200.993
182,200.899,739.805,14603.686,10.4,10272.363,780.887,200.993
183,200.899,739.805,10807.081,10.4,10315.631,807.294,200.993
184,200.899,739.805,5933.299,10.4,11179.586,910.018,200.993
185,200.899,739.805,2542.843,10.4,12234.83,1027.257,200.993
186,200.899,1495.194,0.0,10.4,13601.988,1151.196,200.993
187,887.094,1831.625,0.0,369.797,13601.988,1233.077,200.993
188,887.094,2053.533,0.0,10.4,13601.988,1233.077,1483.812
189,476.968,2110.088,0.0,162.553,13601.988,1233.077,1483.812
190,200.899,2931.501,0.0,10.4,13601.988,1233.077,1483.812
191,887.094,3267.932,0.0,369.797,12234.83,1233.077,1483.812
192,887.094,3267.932,0.0,369.797,13601.988,1233.077,1483.812
193,1114.207,3762.578,0.0,420.904,12622.137,1231.681,237.907
194,1114.207,3762.578,0.0,21.6,12364.127,1231.681,1567.109
195,867.585,3358.347,0.0,21.6,12504.919,1231.681,1567.109
196,737.422,2781.08,0.0,420.904,12958.641,1231.681,237.907
197,717.152,2658.501,0.0,21.6,13586.592,1206.912,1567.109
198,1114.207,2507.941,0.0,21.6,13313.366,1104.188,237.907
199,1020.108,1922.04,2489.867,21.6,12410.138,986.949,1567.109
200,347.208,1344.772,6586.669,21.6,11116.881,863.011,237.907
201,347.208,1344.772,12043.185,21.6,9749.723,781.129,237.907
202,347.208,1344.772,16616.77,21.6,8616.583,781.129,237.907
203,347.208,1344.772,19636.395,21.6,8616.583,781.129,237.907
204,347.208,1344.772,22497.093,21.6,8616.583,781.129,237.907
205,347.208,1344.772,22903.242,21.6,8616.583,781.129,237.907
206,347.208,1344.772,21366.941,21.6,8616.583,781.129,237.907
207,347.208,1344.772,18329.657,21.6,8616.583,781.129,237.907
208,347.208,1344.772,13367.582,21.6,8616.583,786.033,237.907
209,347.208,1344.772,7628.528,21.6,9983.741,903.272,237.907
210,347.208,2166.186,2419.232,21.6,10493.401,1027.211,237.907
211,347.208,2507.941,17.659,420.904,11786.658,1129.935,237.907
212,1114.207,2658.501,0.0,420.904,13153.816,1211.816,1567.109
213,882.665,2781.08,0.0,420.904,13586.592,1231.681,1567.109
