Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2
,,,,,,,,365,1018.0,0
,,,,,,,,366,1115.0,0
,,,,,,,,367,1220.0,0
,,,,,,,,368,1266.0,0
,,,,,,,,369,1054.0,0
,,,,,,,,370,1193.0,0
,,,,,,,,371,1208.0,0
,,,,,,,,372,1089.0,0
,,,,,,,,373,1053.0,0
,,,,,,,,374,997.0,0
,,,,,,,,375,1014.0,0
,,,,,,,,376,1010.0,0
,,,,,,,,377,1087.0,0
,,,,,,,,378,1215.0,0
,,,,,,,,379,1299.0,0
,,,,,,,,380,1302.0,0
,,,,,,,,381,1260.0,0
,,,,,,,,382,1240.0,0
,,,,,,,,383,1171.0,0
,,,,,,,,384,1160.0,0
,,,,,,,,385,1089.0,0
,,,,,,,,386,1036.0,0
,,,,,,,,387,984.0,0
,,,,,,,,388,956.0,0
,,,,,,,,389,960.0,0
,,,,,,,,390,995.0,0
,,,,,,,,391,1036.0,0
,,,,,,,,392,992.0,0
,,,,,,,,393,872.0,0
,,,,,,,,394,840.0,0
,,,,,,,,395,689.0,0
,,,,,,,,396,684.0,0
,,,,,,,,397,706.0,0
,,,,,,,,398,767.0,0
,,,,,,,,399,770.0,0
,,,,,,,,400,832.0,0
,,,,,,,,401,969.0,0
,,,,,,,,402,1126.0,0
,,,,,,,,403,1209.0,0
,,,,,,,,404,1210.0,0
,,,,,,,,405,1190.0,0
,,,,,,,,406,1165.0,0
,,,,,,,,407,1105.0,0
,,,,,,,,408,1053.0,0
,,,,,,,,409,1064.0,0
,,,,,,,,410,1014.0,0
,,,,,,,,411,933.0,0
,,,,,,,,412,913.0,0
,,,,,,,,413,911.0,0
,,,,,,,,414,935.0,0
,,,,,,,,415,966.0,0
,,,,,,,,416,936.0,0
,,,,,,,,417,814.0,0
,,,,,,,,418,654.0,0
,,,,,,,,419,582.0,0
,,,,,,,,420,604.0,0
,,,,,,,,421,720.0,0
,,,,,,,,422,704.0,0
,,,,,,,,423,666.0,0
,,,,,,,,424,728.0,0
,,,,,,,,425,904.0,0
,,,,,,,,426,1108.0,0
,,,,,,,,427,1228.0,0
,,,,,,,,428,1247.0,0
,,,,,,,,429,1243.0,0
,,,,,,,,430,1187.0,0
,,,,,,,,431,1121.0,0
,,,,,,,,432,1125.0,0
,,,,,,,,433,1040.0,0
,,,,,,,,434,975.0,0
,,,,,,,,435,941.0,0
,,,,,,,,436,943.0,0
,,,,,,,,437,993.0,0
,,,,,,,,438,1116.0,0
,,,,,,,,439,1244.0,0
,,,,,,,,440,1185.0,0
,,,,,,,,441,998.0,0
,,,,,,,,442,803.0,0
,,,,,,,,443,714.0,0
,,,,,,,,444,699.0,0
,,,,,,,,445,564.0,0
,,,,,,,,446,647.0,0
,,,,,,,,447,791.0,0
,,,,,,,,448,824.0,0
,,,,,,,,449,1025.0,0
,,,,,,,,450,1275.0,0
,,,,,,,,451,1376.0,0
,,,,,,,,452,1376.0,0
,,,,,,,,453,1380.0,0
,,,,,,,,454,1310.0,0
,,,,,,,,455,1271.0,0
,,,,,,,,456,1189.0,0
,,,,,,,,457,1090.0,0
,,,,,,,,458,1016.0,0
,,,,,,,,459,977.0,0
,,,,,,,,460,971.0,0
,,,,,,,,461,1021.0,0
,,,,,,,,462,1141.0,0
,,,,,,,,463,1262.0,0
,,,,,,,,464,1232.0,0
,,,,,,,,465,1037.0,0
,,,,,,,,466,873.0,0
,,,,,,,,467,782.0,0
,,,,,,,,468,750.0,0
,,,,,,,,469,660.0,0
,,,,,,,,470,645.0,0
,,,,,,,,471,724.0,0
,,,,,,,,472,780.0,0
,,,,,,,,473,1006.0,0
,,,,,,,,474,1250.0,0
,,,,,,,,475,1369.0,0
,,,,,,,,476,1373.0,0
,,,,,,,,477,1384.0,0
,,,,,,,,478,1312.0,0
,,,,,,,,479,1273.0,0
,,,,,,,,480,1192.0,0
,,,,,,,,481,1092.0,0
,,,,,,,,482,1022.0,0
,,,,,,,,483,983.0,0
,,,,,,,,484,978.0,0
,,,,,,,,485,1026.0,0
,,,,,,,,486,1144.0,0
,,,,,,,,487,1260.0,0
,,,,,,,,488,1180.0,0
,,,,,,,,489,986.0,0
,,,,,,,,490,836.0,0
,,,,,,,,491,666.0,0
,,,,,,,,492,584.0,0
,,,,,,,,493,539.0,0
,,,,,,,,494,553.0,0
,,,,,,,,495,656.0,0
,,,,,,,,496,742.0,0
,,,,,,,,497,967.0,0
,,,,,,,,498,1239.0,0
,,,,,,,,499,1364.0,0
,,,,,,,,500,1365.0,0
,,,,,,,,501,1375.0,0
,,,,,,,,502,1304.0,0
,,,,,,,,503,1268.0,0
,,,,,,,,504,1189.0,0
,,,,,,,,505,1045.0,0
,,,,,,,,506,973.0,0
,,,,,,,,507,926.0,0
,,,,,,,,508,908.0,0
,,,,,,,,509,912.0,0
,,,,,,,,510,929.0,0
,,,,,,,,511,905.0,0
,,,,,,,,512,775.0,0
,,,,,,,,513,600.0,0
,,,,,,,,514,444.0,0
,,,,,,,,515,346.0,0
,,,,,,,,516,286.0,0
,,,,,,,,517,280.0,0
,,,,,,,,518,318.0,0
,,,,,,,,519,424.0,0
,,,,,,,,520,576.0,0
,,,,,,,,521,815.0,0
,,,,,,,,522,1059.0,0
,,,,,,,,523,1200.0,0
,,,,,,,,524,1250.0,0
,,,,,,,,525,1243.0,0
,,,,,,,,526,1175.0,0
,,,,,,,,527,1107.0,0
,,,,,,,,528,1118.0,0
,,,,,,,,529,1023.0,0
,,,,,,,,530,954.0,0
,,,,,,,,531,920.0,0
,,,,,,,,532,925.0,0
,,,,,,,,533,987.0,0
,,,,,,,,534,1101.0,0
,,,,,,,,535,1168.0,0
,,,,,,,,536,1121.0,0
,,,,,,,,537,982.0,0
,,,,,,,,538,868.0,0
,,,,,,,,539,750.0,0
,,,,,,,,540,714.0,0
,,,,,,,,541,660.0,0
,,,,,,,,542,683.0,0
,,,,,,,,543,717.0,0
,,,,,,,,544,823.0,0
,,,,,,,,545,1013.0,0
,,,,,,,,546,1212.0,0
,,,,,,,,547,1339.0,0
,,,,,,,,548,1369.0,0
,,,,,,,,549,1370.0,0
,,,,,,,,550,1289.0,0
,,,,,,,,551,1248.0,0
,,,,,,,,552,1172.0,0
,,,,,,,,553,1068.0,0
,,,,,,,,554,994.0,0
,,,,,,,,555,954.0,0
,,,,,,,,556,954.0,0
,,,,,,,,557,1012.0,0
,,,,,,,,558,1122.0,0
,,,,,,,,559,1180.0,0
,,,,,,,,560,1061.0,0
,,,,,,,,561,892.0,0
,,,,,,,,562,739.0,0
,,,,,,,,563,537.0,0
,,,,,,,,564,508.0,0
,,,,,,,,565,492.0,0
,,,,,,,,566,526.0,0
,,,,,,,,567,603.0,0
,,,,,,,,568,764.0,0
,,,,,,,,569,949.0,0
,,,,,,,,570,1202.0,0
,,,,,,,,571,1343.0,0
,,,,,,,,572,1371.0,0
,,,,,,,,573,1378.0,0
,,,,,,,,574,1302.0,0
,,,,,,,,575,1264.0,0
,,,,,,,,576,1186.0,0
,,,,,,,,577,1082.0,0
,,,,,,,,578,1007.0,0
,,,,,,,,579,965.0,0
,,,,,,,,580,964.0,0
,,,,,,,,581,1023.0,0
,,,,,,,,582,1133.0,0
,,,,,,,,583,1166.0,0
,,,,,,,,584,1014.0,0
,,,,,,,,585,835.0,0
,,,,,,,,586,669.0,0
,,,,,,,,587,543.0,0
,,,,,,,,588,467.0,0
,,,,,,,,589,452.0,0
,,,,,,,,590,485.0,0
,,,,,,,,591,579.0,0
,,,,,,,,592,702.0,0
,,,,,,,,593,929.0,0
,,,,,,,,594,1187.0,0
