Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Min_Cap_MW,Var_OM_Cost_per_MWh,Fuel,PWFU_Fuel_Usage_Zero_Load_MMBTU_per_h,PWFU_Heat_Rate_MMBTU_per_MWh_1,PWFU_Load_Point_MW_1,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
Greater_Imperial_Geothermal,2,1,1,0,0.0,-1,0.0,0.0,0,0.0,None,0.0,0.0,99999,1.0,0,0,11,4,0.5,0.5,0.5507807191,1,1,0.01,0.01,CAISO,1
IID_Biogas,4,1,0,0,15.0,-1,0.0,0.0,0,1.21,Biomass,0.0,13.424999999999999,99999,15.0,0,0,0,0,0.5,0.5,0.0,0,0,0.01,0.01,IID,1
IID_Biomass,4,1,0,0,77.0,-1,0.0,0.0,0,1.65,Biomass,0.0,16.010000000000005,99999,38.5,0,0,8,8,0.5,0.5,0.6336,0,0,0.01,0.01,IID,1
IID_CCGT1,4,1,0,0,442.3,-1,0.0,0.0,0,0.2444,CA_Natural_Gas,329.887289,4.337569157659336,99999,147.43333333333334,81.0740945059914,7.108133834623558,9,5,0.57,0.57,0.1652272213,0,0,0.01,0.01,IID,1
IID_Geothermal,4,1,0,0,607.08,-1,0.0,0.0,0,1.0904,None,0.0,0.0,99999,24.283199999999997,0,0,16,6,0.5,0.5,0.4324095333,0,0,0.01,0.01,IID,1
IID_Geothermal_New_Planned,4,1,0,0,1268.3333333333,-1,0.0,0.0,0,1.0904,None,0.0,0.0,99999,30.928888888888885,0,0,16,6,0.5,0.5,0.0,0,0,0.01,0.01,IID,1
IID_Peaker1,4,1,0,0,190.0,-1,0.0,0.0,0,1.7672,CA_Natural_Gas,0.0,9.460000000000004,99999,47.5,42.71905263157895,1.7052641781557896,3,3,5.91,5.91,0.324,0,0,0.01,0.01,IID,1
IID_Peaker2,4,1,0,0,152.0,-1,0.0,0.0,0,1.4852,CA_Natural_Gas,0.0,12.487697368421053,99999,21.714285714285715,38.38463026315789,1.6200009692953947,2,2,5.9,5.9,0.27,0,0,0.01,0.01,IID,1
IID_ST,4,1,0,0,86.7,-1,0.0,0.0,0,0.3008,CA_Natural_Gas,48.0052,12.560659999999999,99999,86.7,80.81266435986159,1.4013849215340253,12,8,0.46,0.46,0.0,0,0,0.01,0.01,IID,1
InState_Biomass,2,1,1,0,0.0,-1,0.0,0.0,0,5.4049744978,Biomass,0.0,13.5,99999,14.45020233669231,9.789121085219813,2.403368389232884,4,5,0.5,0.5,0.5388755715,1,1,0.01,0.01,CAISO,1
Inyokern_North_Kramer_Geothermal,2,1,1,0,0.0,-1,0.0,0.0,0,0.0,None,0.0,0.0,99999,1.0,0,0,11,4,0.5,0.5,0.5507807191,1,1,0.01,0.01,CAISO,1
LDWP_Biogas,5,1,0,0,3.6,-1,0.0,0.0,0,1.21,Biomass,0.0,13.425,99999,3.6,0,0,0,0,0.5,0.5,0.2444444444,0,0,0.01,0.01,LDWP,1
LDWP_CCGT1,5,1,0,0,1328.0,-1,0.0,0.0,0,0.3071893706,CA_Natural_Gas,23.852232,7.0475100635324015,99999,286.0,91.99441188811188,7.824608250504196,7,5,0.57,0.57,0.1281081081,0,0,0.01,0.01,LDWP,1
LDWP_CCGT2,5,1,0,0,2723.7,-1,0.0,0.0,0,0.2444,CA_Natural_Gas,0.0,8.341984169936413,99999,453.95,96.58576128061092,8.468112398579139,8,4,0.99,0.99,0.2025651445,0,0,0.01,0.01,LDWP,1
LDWP_CHP,5,1,0,0,183.5,-1,0.0,0.0,0,1.4852,CA_Natural_Gas,0.0,7.605999999999998,99999,26.214285714285715,33.42567539509537,1.858223922234332,4,5,0.5,0.5,0.4209809264,0,0,0.01,0.01,LDWP,1
LDWP_Geothermal,5,1,0,0,150.7,-1,0.0,0.0,0,1.0904,None,0.0,0.0,99999,50.23333333333333,0,0,16,6,0.5,0.5,0.39,0,0,0.01,0.01,LDWP,1
LDWP_Geothermal_New_Planned,5,1,0,0,350.0,-1,0.0,0.0,0,1.0904,None,0.0,0.0,99999,50.23333333333333,0,0,16,6,0.5,0.5,0.6,0,0,0.01,0.01,LDWP,1
LDWP_Nuclear,5,1,0,0,407.0,-1,0.0,0.0,0,1.8001,Uranium,0.0,10.5,99999,407.0,419.2997542997543,0,24,24,0.01,0.01,0.0,0,0,0.01,0.01,LDWP,1
LDWP_Peaker1,5,1,0,0,1154.0,-1,0.0,0.0,0,1.0755913345,CA_Natural_Gas,91.578942,7.0922974288617855,99999,72.125,92.83376169844021,1.6087704599779031,2,2,5.91,5.91,0.3369878683,0,0,0.01,0.01,LDWP,1
LDWP_Peaker1_New_Planned,5,1,0,0,2470.0,-1,0.0,0.0,0,1.0755913345,CA_Natural_Gas,91.578942,7.0922974288617855,99999,72.125,92.83376169844021,1.6087704599779031,2,2,5.9,5.9,0.3369878683,0,0,0.01,0.01,LDWP,1
LDWP_ST,5,1,0,0,99.0,-1,0.0,0.0,0,0.3008,CA_Natural_Gas,217.447121,10.138500606389616,99999,88.33333333333333,273.7526895368782,35.30937641754718,20,8,0.46,0.46,0.0,0,0,0.01,0.01,LDWP,1
NW_Biogas,6,1,0,0,37.68,-1,0.0,0.0,0,1.21,Biomass,0.0,13.425000000000002,99999,4.364444444444445,0,0,0,0,0.5,0.5,0.186836518,0,0,0.01,0.01,NW,1
NW_Biomass,6,1,0,0,731.58,-1,0.0,0.0,0,1.65,Biomass,0.0,16.009999999999987,99999,15.438823529411762,0,0,11,6,0.5,0.5,0.4499598142,0,0,0.01,0.01,NW,1
NW_CCGT1,6,1,0,0,3448.11,-1,0.0,0.0,0,1.65,NW_Natural_Gas,0.0,7.243492893834288,99999,287.3425,86.97097842006202,7.625141567235384,8,4,0.57,0.57,0.2504415462,0,0,0.01,0.01,NW,1
NW_CCGT2,6,1,0,0,4022.218,-1,0.0,0.0,0,1.65,NW_Natural_Gas,0.0,9.049625184402403,99999,402.2218,93.24000578785139,7.961755188253223,7,5,0.99,0.99,0.2089981199,0,0,0.01,0.01,NW,1
NW_Geothermal,6,1,0,0,23.7,-1,0.0,0.0,0,1.65,None,0.0,0.0,99999,11.85,0,0,16,3,0.5,0.5,0.3351476793,0,0,0.01,0.01,NW,1
