Time_Index,Arizona_Solar,BTM_Solar,EdwardsSolarII,FervoFECNevada1,Greater_Imperial_Geothermal,Humboldt_Bay_Offshore_Wind,InState_Biomass,Morro_Bay_Offshore_Wind,New_Mexico_Wind,Northern_California_Geothermal,Northern_California_Solar,Northern_California_Wind,NW_Ext_Tx_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,RosamondCentral,Southern_Nevada_Geothermal,SummitWind,Tecolote,TulareSolarCenter,Wyoming_Wind,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_DR_RA,CAM_CPE_RA_i,CAM_CPE_RA_ii,Aramis,CALP01RA2027,CHEV01RA2024,CHEV01RA2025,EBMUD01RA2024,GEN01RA2026,HDP01RA2027,HDP01RA2028,HDP01RA2030,HenriettaStorage,MRL01RA2030,NEXT01RA2026,Oberon,OhmConnect,Sanborn,SDGE01RA2024,SENA01RA2027,SUN01RA2031,TPS01RA2024,Tumbleweed,Generic_6hr_battery,Generic_8hr_battery,Generic_RA_Only,Arizona_Li_Battery,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_New_Flow_Battery,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,DaggettSolarPower3,Scarlet,Hybrid_Solar_Test,Hybrid_Wind_Test
62,0.924,0.367,0.694,0.801,0.881,0.12,0.85,0.86,0.604,0.81,0.057,0.676,0.816,0,0.943,0.701,0.843,0.086,0.431,0.151,0.886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.74,0.159,0.943,0
63,0.83,0.265,0.733,0.801,0.881,0.17,0.85,0.95,0.614,0.81,0.085,0.755,0.851,0,0.857,0.742,0.843,0.088,0.878,0.213,0.842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.781,0.244,0.857,0
64,0.507,0.186,0.62,0.801,0.881,0.27,0.85,1,0.679,0.81,0.104,0.806,0.789,0.003,0.617,0.548,0.843,0.077,0.845,0.085,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.486,0.377,0.617,0.003
65,0.082,0.045,0.076,0.801,0.881,0.41,0.85,1,0.714,0.81,0.017,0.845,0.79,0.055,0.193,0.097,0.843,0.065,0.689,0,0.795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.045,0.167,0.193,0.055
66,0,0,0,0.801,0.881,0.46,0.85,1,0.804,0.81,0,0.862,0.802,0.093,0,0,0.843,0.06,0.34,0,0.798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.093
67,0,0,0,0.801,0.881,0.51,0.85,1,0.838,0.81,0,0.834,0.818,0.093,0,0,0.843,0.073,0.374,0,0.843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.093
68,0,0,0,0.801,0.881,0.57,0.85,1,0.798,0.81,0,0.814,0.81,0.082,0,0,0.843,0.065,0.458,0,0.856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.082
69,0,0,0,0.801,0.881,0.61,0.85,1,0.746,0.81,0,0.797,0.779,0.059,0,0,0.843,0.054,0.872,0,0.862,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.059
70,0,0,0,0.801,0.881,0.57,0.85,1,0.759,0.81,0,0.775,0.723,0.054,0,0,0.843,0.072,0.895,0,0.847,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.054
71,0,0,0,0.801,0.881,0.46,0.85,0.85,0.809,0.81,0,0.778,0.679,0.07,0,0,0.843,0.069,0.895,0,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.07
72,0,0,0,0.801,0.881,0.38,0.85,0.73,0.787,0.81,0,0.769,0.668,0.081,0,0,0.843,0.083,0.895,0,0.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.081
73,0,0,0,0.801,0.881,0.31,0.85,0.7,0.809,0.81,0,0.743,0.696,0.067,0,0,0.843,0.135,0.895,0,0.827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.067
74,0,0,0,0.801,0.881,0.3,0.85,0.73,0.858,0.81,0,0.726,0.724,0.05,0,0,0.843,0.121,0.893,0,0.831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.05
75,0,0,0,0.801,0.881,0.25,0.85,0.76,0.862,0.81,0,0.669,0.728,0.052,0,0,0.843,0.107,0.817,0,0.853,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.052
