Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Time_Index
,,,,,,,,1907.61966,28457.6166,0,275.4669093,2960.567854,23557.28835,13197.47269,79
,,,,,,,,1995.23981,31884.999933519302,0,294.978945,3071.834879,24903.45348,13453.59265,80
,,,,,,,,2101.002168,35463.54182,0,322.3153558,3212.196463,25531.42327,13678.91338,81
,,,,,,,,2195.207267,37375.31405,0,341.4850751,3382.438944,25891.92445,13373.35254,82
,,,,,,,,2257.428324,38028.13373,0,349.1627432,3450.064132,25941.64875,12986.33582,83
,,,,,,,,2257.15955,37515.237688490895,0,350.1896925,3479.94503,25503.75411,12660.10707,84
,,,,,,,,2258.906578,36692.28575,0,350.2385948,3472.474805,25286.00979,12453.42798,85
,,,,,,,,2244.527198,36014.69679,0,347.2066494,3450.457302,25046.21034,12303.48433,86
,,,,,,,,2227.460083,34903.48305,0,337.7195945,3432.371496,24964.80685,12313.21041,87
,,,,,,,,2211.199288,33846.00525,0,327.3522974,3445.346096,25184.95718,12581.48796,88
,,,,,,,,2254.203042,32496.19132,0,320.9949925,3544.424861,26174.63116,13227.05616,89
,,,,,,,,2436.834611,35193.70113,0,350.2874972,3895.132235,27487.51309,14204.12141,90
,,,,,,,,2512.225568,36683.451908353694,0,360.6547943,4083.853691,27801.49799,15083.9259,91
,,,,,,,,2504.834297,36415.03065,0,356.7915091,4106.264364,27278.18983,14930.74023,92
,,,,,,,,2480.241525,36036.794327182106,0,347.9401846,4114.520928,26331.82411,14831.04796,93
,,,,,,,,2397.996845,36735.61115,0,332.5359459,3996.570018,24691.3232,14380.81176,94
,,,,,,,,2245.736678,35959.66794,0,309.1117227,3739.043863,22002.20095,13546.39561,95
,,,,,,,,2104.496223,36497.088665550495,0,282.36214,3440.23489,21876.68719,12882.18577,96
,,,,,,,,2008.544096,36241.98059,0,267.5936318,3223.205214,21144.85777,12470.04336,97
,,,,,,,,1957.611525,33313.48906,0,258.546698,3111.151849,20978.04076,12318.4787,98
,,,,,,,,1931.406112,30085.15517,0,255.6614596,3033.697418,21126.41166,12277.14288,99
,,,,,,,,1952.504829,28298.07364,0,256.2971901,2999.098484,21625.25867,12373.18787,100
,,,,,,,,2056.116999,28134.89678,0,264.366077,3071.04854,22722.4013,12861.92311,101
,,,,,,,,2258.234644,29988.51934,0,283.6825033,3377.720907,24715.38334,13809.40488,102
,,,,,,,,2556.035642,33695.77179,0,319.7235316,3748.479936,27072.87659,15019.49066,103
,,,,,,,,2692.572562,37502.90681,0,348.5759151,3934.056035,28340.84625,15323.02523,104
,,,,,,,,2787.718368,41194.06668,0,373.8584275,4071.272261,28386.56053,15154.03469,105
,,,,,,,,2830.990896,42946.171033206105,0,388.0890099,4193.154869,28329.21718,14465.91491,106
,,,,,,,,2810.967273,43195.67036,0,393.4682678,4222.249426,28115.88389,13894.50803,107
,,,,,,,,2779.386391,42373.874322512704,0,393.2237561,4195.907056,27783.85389,13522.89093,108
,,,,,,,,2728.050659,41330.224121844505,0,389.0670568,4143.615486,27478.29004,13275.68654,109
,,,,,,,,2672.414552,40307.626303066696,0,385.1548692,4098.40097,27213.62844,13086.43334,110
,,,,,,,,2617.584766,38950.18622,0,372.9292829,4035.886988,26897.23753,13038.61347,111
,,,,,,,,2592.991994,37484.45594,0,358.6497982,3980.05689,27084.10466,13194.63592,112
,,,,,,,,2612.612456,35781.70658,0,353.0260285,4073.23811,27858.03933,13920.84948,113
,,,,,,,,2794.840865,38484.41614,0,385.692795,4375.97878,29140.44508,15060.01597,114
,,,,,,,,2927.480569,40198.93774,0,401.0481313,4510.049648,29441.9989,16127.85791,115
,,,,,,,,2925.867929,39725.780987618404,0,396.2067991,4483.314108,28808.01407,16061.80165,116
,,,,,,,,2894.824594,39147.370217917494,0,388.1379122,4438.885932,27470.67099,16067.06994,117
,,,,,,,,2807.741991,40141.841025040805,0,368.1368531,4248.984966,25792.07485,15545.10394,118
,,,,,,,,2647.41862,38568.9884,0,339.626786,3947.816975,24042.10028,14635.71596,119
,,,,,,,,2457.127008,38546.79734,0,313.268422,3670.632335,21599.19351,13856.41424,120
,,,,,,,,2325.696784,37043.37811,0,293.41407,3467.363599,21887.51426,13506.68081,121
,,,,,,,,2227.594469,34632.0146,0,280.0637298,3305.770852,21683.80503,13358.35817,122
,,,,,,,,2165.642186,31917.4908,0,277.4230031,3223.205214,21671.77495,13455.21366,123
,,,,,,,,2132.851823,29906.8981,0,277.6186125,3236.966154,22031.47413,13639.19857,124
,,,,,,,,2211.468061,29181.96973,0,285.0028666,3261.735845,23098.14057,14191.55856,125
,,,,,,,,2376.898129,30283.95162,0,303.2434413,3478.372351,25022.9522,15400.02332,126
,,,,,,,,2655.078664,32579.40121,0,336.79045,3912.824871,27329.91914,16677.38112,127
,,,,,,,,2779.252004,33949.69619,0,360.1168685,4076.776637,28386.96153,16778.6944,128
,,,,,,,,2832.46915,35683.6108,0,382.8075566,4175.069062,28219.74352,16332.91598,129
,,,,,,,,2865.931446,37080.72493,0,394.7397288,4215.172372,28187.26232,15306.0046,130
,,,,,,,,2851.283292,38043.294790320404,0,398.8475258,4232.078669,27902.5506,14559.52838,131
,,,,,,,,2795.647185,38622.435703802905,0,395.1798499,4210.061166,27561.69854,13988.1215,132
,,,,,,,,2729.6633,38453.26115351201,0,390.8764435,4131.820395,27243.30262,13564.22675,133
,,,,,,,,2679.537049,37679.76227,0,388.7247403,4085.033201,27020.34527,13243.26629,134
,,,,,,,,2626.319903,36765.3697,0,376.4013494,4030.382612,26776.1348,13117.23257,135
,,,,,,,,2615.300191,36135.001130474804,0,361.6328412,3979.66372,26952.17486,13320.26438,136
,,,,,,,,2630.217118,34931.79192,0,355.1777317,4060.263509,27797.48797,14004.73688,137
,,,,,,,,2822.524532,37527.329,0,387.9423028,4348.85007,29089.11677,15207.93335,138
,,,,,,,,2955.701783,38775.22283,0,405.547147,4504.545272,29482.90115,16316.70585,139
,,,,,,,,2924.792835,38427.898103822095,0,402.2217876,4446.356156,28624.35496,16335.75275,140
,,,,,,,,2870.366208,37749.77881,0,392.1479045,4396.030435,27379.24244,16311.84282,141
,,,,,,,,2757.346967,38069.56321,0,372.6358688,4230.89916,25662.95207,15866.46965,142
,,,,,,,,2550.257013,36407.26934,0,346.3753096,3950.569163,23883.70432,15083.52065,143
,,,,,,,,2339.135457,34863.44197,0,318.6965823,3602.613977,22701.54918,14304.21892,144
,,,,,,,,2196.551134,35834.45869,0,301.2384452,3425.687611,21851.82504,14005.14213,145
,,,,,,,,2112.559427,34661.17686,0,288.4260308,3260.163166,21572.72735,13861.68253,146
,,,,,,,,2059.073507,31869.55042,0,283.927015,3192.537978,21553.88024,13886.40297,147
,,,,,,,,2055.579452,29662.306103877803,0,283.927015,3179.956547,21919.59445,14117.80249,148
,,,,,,,,2120.757017,29035.91864,0,291.995902,3198.042354,22953.3787,14662.86792,149
,,,,,,,,2284.977604,30043.73394,0,312.0458634,3409.960823,24885.40837,15595.76058,150
,,,,,,,,2536.683953,32199.654416933598,0,345.6417744,3812.173428,27152.67607,16900.27033,151
,,,,,,,,2639.221029,33693.04247,0,370.9731891,3966.295951,28285.90892,17009.28341,152
,,,,,,,,2684.240585,35294.894536693006,0,393.4193655,4116.486777,28214.53049,16587.00968,153
,,,,,,,,2704.398594,36563.09356,0,404.128979,4237.976215,28107.46284,15335.18283,154
,,,,,,,,2709.236517,37429.6779,0,403.4443462,4230.89916,27892.12454,14523.0556,155
,,,,,,,,2711.117931,37888.23382374141,0,399.6299633,4203.377281,27539.64341,13882.35044,156
,,,,,,,,2672.817712,37859.30145,0,392.4902209,4147.154013,27309.86902,13435.76151,157
,,,,,,,,2645.537206,37348.35748,0,388.822545,4113.341419,26944.55581,13121.2851,158
,,,,,,,,2595.545341,36291.61674,0,377.3793963,4060.656679,26760.0947,12989.9831,159
,,,,,,,,2574.312238,35283.44332,0,363.7845444,4016.621672,26875.5834,13150.86858,160
,,,,,,,,2596.351662,34144.474925563096,0,357.0360208,4098.007801,27726.91154,13785.9002,161
,,,,,,,,2768.769839,36312.33956742619,0,391.8544904,4380.696816,29018.94135,14991.12294,162
,,,,,,,,2847.117304,37163.15616,0,411.2687214,4495.502369,29413.12673,16140.826,163
,,,,,,,,2798.469307,36755.28529,0,411.0242097,4446.356156,28603.90384,16211.7453,164
,,,,,,,,2738.935985,36167.28287,0,402.8086157,4386.201192,27453.02689,16228.36068,165
,,,,,,,,2629.545185,36129.50982,0,383.003166,4175.855402,25800.4959,15756.24081,166
,,,,,,,,2461.15861,34707.676375851705,0,352.8793215,3898.670762,23966.31082,14914.93536,167
,,,,,,,,2277.183173,33596.74193,0,325.7874223,3578.237455,22890.42132,14127.93382,168
,,,,,,,,2154.219314,35640.02972,0,303.6346601,3374.57555,21987.36386,13753.8852,169
,,,,,,,,2068.211805,33879.50589,0,292.4849254,3209.444275,21758.79248,13618.12541,170
,,,,,,,,2015.666593,30641.91658,0,288.2793237,3130.023995,21819.34384,13635.95655,171
,,,,,,,,2008.678483,28602.969277766202,0,285.9809135,3082.057292,22310.97282,13786.71071,172
,,,,,,,,2072.243407,28247.38092,0,293.4629723,3113.904037,23352.37611,14363.38588,173
,,,,,,,,2228.266403,29923.966778098198,0,312.8283009,3347.44684,25330.12006,15410.15465,174
,,,,,,,,2465.458985,33447.96495,0,343.5389736,3740.223372,27633.87898,16636.45055,175
,,,,,,,,2581.703508,37130.93095,0,368.4302672,3912.824871,28812.4251,16820.03021,176
