Resource,Active,GENX Resource Type File,Zone,Resource_Type,New_Build,Can_Retire,Fuel,region,MW_PCC,MW_Gen,MW_Stor,MWh,Gen_Storage
Morro_Bay_Offshore_Wind,TRUE,Vre,1,Offshore Wind,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
New_Mexico_Wind,TRUE,Vre,1,Out-of-State Wind,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
Northern_California_Geothermal,TRUE,Must_run,1,Geothermal,1,0,Geothermal,CCA,0,0,0,0,non_emitting_gen
Northern_California_Li_Battery,TRUE,Storage,1,4hr_batteries,1,0,,CCA,0,0,0,0,storage
Northern_California_Solar,TRUE,Vre,1,Solar,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
Northern_California_Wind,TRUE,Vre,1,In-State Wind,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
NW_Ext_Tx_Wind,TRUE,Vre,1,Out-of-State Wind,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
Riverside_Li_Battery,TRUE,Storage,1,4hr_batteries,1,0,,CCA,0,0,0,0,storage
Riverside_Palm_Springs_Wind,TRUE,Vre,1,In-State Wind,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
Riverside_Solar,TRUE,Vre,1,Solar,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
Riverside_West_Pumped_Storage,TRUE,Storage,1,Pumped_Hydro,1,0,,CCA,0,0,0,0,storage
Southern_Nevada_Geothermal,TRUE,Must_run,1,Geothermal,1,0,Geothermal,CCA,0,0,0,0,non_emitting_gen
Tehachapi_Pumped_Storage,TRUE,Storage,1,Pumped_Hydro,1,0,,CCA,0,0,0,0,storage
Wyoming_Wind,TRUE,Vre,1,Out-of-State Wind,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
Hybrid_Solar_Test,TRUE,Vre_stor,1,Solar_Hybrid,1,0,DefaultFuel,CCA,0,0,0,0,hybrid
Hybrid_Wind_Test,TRUE,Vre_stor,1,Wind_Hybrid,1,0,DefaultFuel,CCA,0,0,0,0,hybrid
