Time_Index,Arizona_Solar,BTM_Solar,DaggettSolarPower3,EdwardsSolarII,FervoFECNevada1,Greater_Imperial_Geothermal,Humboldt_Bay_Offshore_Wind,InState_Biomass,Morro_Bay_Offshore_Wind,New_Mexico_Wind,Northern_California_Geothermal,Northern_California_Solar,Northern_California_Wind,NW_Ext_Tx_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,RosamondCentral,Scarlet,Southern_Nevada_Geothermal,SummitWind,Tecolote,TulareSolarCenter,Wyoming_Wind,Hybrid_Solar_Test,Hybrid_Wind_Test,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_DR_RA,CAM_CPE_RA_i,CAM_CPE_RA_ii,Aramis,CALP01RA2027,CHEV01RA2024,CHEV01RA2025,EBMUD01RA2024,GEN01RA2026,HDP01RA2027,HDP01RA2028,HDP01RA2030,HenriettaStorage,MRL01RA2030,NEXT01RA2026,Oberon,OhmConnect,Sanborn,SDGE01RA2024,SENA01RA2027,SUN01RA2031,TPS01RA2024,Tumbleweed,Generic_6hr_battery,Generic_8hr_battery,Generic_RA_Only,Arizona_Li_Battery,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_New_Flow_Battery,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage
24,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.65,0.11,0.81,0.0,0.456,0.689,0.665,0.0,0.0,0.0,0.843,0.015,0.339,0.0,0.88,0.0,0.665,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.73,0.088,0.81,0.0,0.419,0.699,0.672,0.0,0.0,0.0,0.843,0.0,0.393,0.0,0.898,0.0,0.672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.67,0.07,0.81,0.0,0.391,0.686,0.736,0.0,0.0,0.0,0.843,0.0,0.121,0.0,0.913,0.0,0.736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.51,0.067,0.81,0.0,0.379,0.655,0.697,0.0,0.0,0.0,0.843,0.0,0.094,0.0,0.913,0.0,0.697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.38,0.066,0.81,0.0,0.347,0.613,0.69,0.0,0.0,0.0,0.843,0.188,0.258,0.0,0.914,0.0,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.34,0.065,0.81,0.0,0.322,0.598,0.64,0.0,0.0,0.0,0.843,0.713,0.173,0.0,0.915,0.0,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.32,0.067,0.81,0.0,0.29,0.611,0.567,0.0,0.0,0.0,0.843,0.68,0.372,0.0,0.907,0.0,0.567,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0.049,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.22,0.068,0.81,0.0,0.239,0.613,0.56,0.004,0.0,0.0,0.843,0.666,0.502,0.0,0.908,0.004,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,0.557,0.016,0.16,0.139,0.801,0.881,1.0,0.85,0.12,0.064,0.81,0.01,0.192,0.612,0.614,0.399,0.058,0.006,0.843,0.51,0.173,0.0,0.902,0.399,0.614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0.803,0.088,0.769,0.698,0.801,0.881,1.0,0.85,0.08,0.061,0.81,0.019,0.145,0.604,0.668,0.663,0.12,0.107,0.843,0.506,0.107,0.038,0.911,0.663,0.668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.942,0.137,0.823,0.757,0.801,0.881,0.99,0.85,0.09,0.068,0.81,0.111,0.089,0.563,0.627,0.844,0.105,0.28,0.843,0.336,0.058,0.174,0.918,0.844,0.627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.995,0.187,0.787,0.697,0.801,0.881,0.91,0.85,0.24,0.075,0.81,0.344,0.067,0.539,0.638,0.973,0.118,0.508,0.843,0.247,0.041,0.255,0.933,0.973,0.638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
