Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t52,8791.4718642002,1073.061171578582,0.0,20822.1664621762,5006.8399062756935,17989.088316670204,902.2,8966.8,425.8344885729854,258.2,4867.0,3741.2,0.0,3971.414308890391,1248.4320018195715,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0720410662689,2292.4695254134913,79.57189497397226,1511.4113580710978,15500.627023588104,402.99648760563366,99438.14897370499
t53,5761.989547968529,964.2764644732274,0.0,18310.055892854296,3012.8487155469147,16127.561725401805,902.2,8966.8,212.9172442864927,258.2,4867.0,3741.2,0.0,731.0822719674928,1248.4320018195715,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.8581151782814,2758.7,159.14378994794453,755.7056790355487,9552.975535897109,353.6932438028168,80150.93235098265
t54,2807.3509512930527,855.4917573678729,0.0,17633.350020947873,0.0,14266.035134133406,902.2,8966.8,212.9172442864927,258.2,4867.0,3741.2,0.0,0.0,254.66917792889873,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.8263004778624,466.23047458650854,79.57189497397226,755.7056790355487,7748.883589274796,304.39,65321.114347108894
t55,0.0,746.7070502625184,0.0,15121.23945162597,0.0,12404.508542865007,902.2,8966.8,0.0,258.2,4867.0,3741.2,0.0,0.0,0.0,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.89801118798056,466.2304745865084,79.57189497397226,755.7056790355488,7314.422274054812,255.08675619718312,56851.06225759211
t56,0.0,746.7070502625184,0.0,17130.92790708387,0.0,13893.729815880008,902.2,8966.8,0.0,258.2,4867.0,3741.2,0.0,0.0,0.0,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.89801118798056,466.2304745865084,79.57189497397226,755.7056790355488,7314.422274054812,255.08675619718312,60349.971986065015
t57,3389.510039643606,833.7348159468183,0.0,19140.616362541772,0.0,15382.951088895008,902.2,8966.8,0.0,258.2,4867.0,3741.2,0.0,2754.2822330019294,844.6984008031253,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.7960223759611,932.4609491730168,79.57189497397226,1511.4113580710975,8550.586936990348,266.2276006576218,73749.53982587688
t58,6564.854527823791,920.7625816311183,526.5281841106,21150.304817999673,2854.2787693714,16872.17236191001,902.2,8966.8,68.76411341662683,258.2,4867.0,3741.2,0.0,5508.564466003859,844.6984008031253,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.003977624039,1398.6914237595252,159.14378994794453,2267.1170371066464,9560.428733186967,521.3143568548049,89442.31966435273
t59,12528.977838997791,986.0334058942001,1053.0563682212,23159.993273457574,5708.5575387428,18361.393634925007,902.2,8966.8,148.31317230315943,258.2,4867.0,3741.2,0.0,7298.083795662771,1130.721012612706,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.9019888120195,1360.0085762404742,169.55621005205546,2618.432809855317,13774.785295830272,472.0111130519881,109350.51815746195
t60,18493.10115017179,1073.0611715785,1053.0563682212,25169.681728915475,6537.736430259103,19850.614907940006,902.2,8966.8,229.19549289188072,258.2,4867.0,3741.2,0.0,9195.471878827277,1975.4194134158315,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1826.2390508269827,249.12810502602773,2206.581397175215,18272.026444725358,422.70786924917127,127490.51353202644
t61,20387.925180243787,1160.0889372628,1216.8718158894,27179.370184373376,9392.015199630503,21339.836180955004,902.2,8966.8,410.1751506416807,258.2,4867.0,3741.2,0.0,11949.754111829207,2820.117814218957,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.5990633406379,2292.4695254134913,328.7,2793.5,15604.874105026509,452.2997314084505,137470.28912303637
