Resource,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,Total
t579,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t580,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t581,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t582,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t583,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t584,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t585,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t586,1550.3116746999026,0.0,0.0,0.0,0.0,0.0,0.0,1550.3116746999026
t587,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t588,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t589,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t590,1998.574403364707,0.0,0.0,0.0,0.0,0.0,0.0,1998.574403364707
t591,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t592,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t593,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t594,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t595,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t596,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t597,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t598,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t599,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t600,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
