Resource,Oberon,NEXT01RA2026,CAM_CAM_RA_i,CAM_CPE_RA_ii,CAM_CPE_RA_i,CAISO_Advanced_CCGT_candidate,HDP01RA2027,SUN01RA2031,CAISO_Shed_DR_Tranche1,Aramis,SENA01RA2027,CALP01RA2027,TPS01RA2024,CAM_DR_RA,EBMUD01RA2024,HDP01RA2030,MRL01RA2030,CAISO_Aero_CT_candidate,CHEV01RA2025,CAM_CAM_RA_ii,OhmConnect,SDGE01RA2024,CHEV01RA2024,HDP01RA2028,CAM_CAM_RA_iii,Generic_RA_Only,GEN01RA2026,CAISO_Reciprocating_Engine_candidate
t441,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t442,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t443,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t444,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t445,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t446,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t447,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t448,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t449,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t450,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t451,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t452,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t453,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t454,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t455,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t456,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t457,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t458,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t459,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t460,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t461,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t462,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t463,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t464,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t465,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t466,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t467,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t468,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t469,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t470,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t471,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t472,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t473,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t474,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t475,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t476,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t477,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t478,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t479,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t480,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t481,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t482,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t483,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t484,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t485,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t486,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t487,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t488,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t489,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t490,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t491,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t492,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t493,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t494,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t495,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t496,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t497,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t498,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t499,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t500,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t501,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t502,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t503,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t504,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t505,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t506,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t507,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t508,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t509,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t510,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t511,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t512,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t513,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t514,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t515,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t516,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t517,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t518,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t519,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t520,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t521,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t522,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t523,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t524,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t525,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t526,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t527,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t528,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t529,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t530,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t531,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t532,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t533,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t534,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t535,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t536,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t537,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t538,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t539,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t540,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t541,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t542,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t543,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t544,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t545,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t546,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t547,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t548,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t549,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t550,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t551,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t552,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t553,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t554,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
