Resource,Oberon,NEXT01RA2026,CAM_CAM_RA_i,CAM_CPE_RA_ii,CAM_CPE_RA_i,CAISO_Advanced_CCGT_candidate,HDP01RA2027,SUN01RA2031,CAISO_Shed_DR_Tranche1,Aramis,SENA01RA2027,CALP01RA2027,TPS01RA2024,CAM_DR_RA,EBMUD01RA2024,HDP01RA2030,MRL01RA2030,CAISO_Aero_CT_candidate,CHEV01RA2025,CAM_CAM_RA_ii,OhmConnect,SDGE01RA2024,CHEV01RA2024,HDP01RA2028,CAM_CAM_RA_iii,Generic_RA_Only,GEN01RA2026,CAISO_Reciprocating_Engine_candidate,EdwardsSolarII,BTM_Solar,Wyoming_Wind,NW_Ext_Tx_Wind,Humboldt_Bay_Offshore_Wind,Riverside_Solar,Arizona_Solar,RosamondCentral,TulareSolarCenter,Riverside_Palm_Springs_Wind,SummitWind,Northern_California_Solar,Tecolote,Northern_California_Wind,New_Mexico_Wind,Morro_Bay_Offshore_Wind,Generic_6hr_battery,Northern_California_Li_Battery,Riverside_West_Pumped_Storage,Tumbleweed,Tehachapi_Pumped_Storage,Sanborn,Arizona_Li_Battery,Generic_8hr_battery,Riverside_Li_Battery,CAISO_New_Flow_Battery,HenriettaStorage,InState_Biomass,Northern_California_Geothermal,Southern_Nevada_Geothermal,FervoFECNevada1,Greater_Imperial_Geothermal,Scarlet,Hybrid_Solar_Test,Hybrid_Wind_Test,DaggettSolarPower3,Total
t10,0.0,0.0,0.0,0.0,0.0,77.77375751128761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.2,0.0,0.0,0.0,0.0,120.15,0.0,15.120000000000001,3.1248,0.0,8.7672,0.0,58.699999999999996,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,9.6,0.0,0.0,39.550000000000004,550.4725243911497
t11,0.0,0.0,0.0,0.0,0.0,66.66322072396082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6,0.0,0.0,0.0,0.0,135.0,0.0,19.488,4.6314,0.0,5.3952,0.0,57.4,35.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,7.423529411764706,0.0,0.0,25.400000000000006,529.2881170155877
t12,0.0,0.0,0.0,0.0,0.0,55.55268393663402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1,0.0,0.0,0.0,0.0,141.45,0.0,37.184000000000005,5.9148,0.0,5.2266,0.0,74.6,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,20.5,537.5148508164962
t13,0.0,0.0,0.0,0.0,0.0,55.55268393663402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.60000000000001,0.0,0.0,0.0,0.0,149.7,0.0,50.96,5.8031999999999995,0.0,8.0928,0.0,86.8,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.20000000000000284,0.0,0.0,17.400000000000006,574.1954508164962
t14,0.0,0.0,0.0,0.0,0.0,66.66322072396082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6,0.0,0.0,0.0,0.0,136.8,0.0,44.576,4.6872,0.0,12.645000000000001,0.0,84.5,32.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,23.299999999999997,578.258187603823
t15,0.0,0.0,0.0,0.0,0.0,77.77375751128761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,0.0,0.0,0.0,0.0,112.65,0.0,34.944,3.0132,0.0,13.4318,0.0,30.9,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,12.3,0.0,0.0,35.776470588235284,528.875994979385
t16,0.0,0.0,0.0,0.0,0.0,88.8842942986144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,0.0,0.0,0.0,0.0,87.75,0.0,29.344,1.6182,0.0,8.149,0.0,35.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,6.9,0.0,0.0,24.5,480.43226117847655
t17,0.0,0.0,0.0,0.0,0.0,99.9948310859412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,24.6,0.0,8.288,0.0,0.0,4.5522,0.0,19.1,41.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,1.7999999999999998,0.0,0.0,2.75,310.57179796580334
t18,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6646,0.0,18.0,45.9,0.0,0.0,0.0,0.0,0.0,50.0,0.0,47.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,101.18676687986213,0.0,0.0,99.6,0.0,0.0,50.0,537.4567347531301
t19,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3836,0.0,20.0,47.699999999999996,0.0,0.0,0.0,0.0,0.0,50.0,0.0,47.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,101.18676687986213,0.0,0.0,20.400000000000006,0.0,0.0,0.0,411.7757347531301
t20,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4398,0.0,29.599999999999998,48.6,0.0,0.0,0.0,0.0,0.0,50.0,0.0,47.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,401.9319347531301
t21,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8546000000000002,0.0,25.6,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,289.34673475313014
t22,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3488,0.0,42.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,305.74093475313015
t23,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3604000000000003,0.0,29.9,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,293.6525347531301
t24,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843,0.0,33.900000000000006,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,292.63513475313016
t25,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.300000000000004,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,293.49213475313013
t26,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,263.49213475313013
t27,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,259.59213475313015
t28,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5656,0.0,25.8,34.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,283.3577347531301
t29,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0706,0.0,17.299999999999997,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,301.8627347531301
t30,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.21600000000001,0.0,37.2,28.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,316.70813475313014
t31,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,37.4292,0.0,50.2,23.9,0.0,0.0,0.0,0.0,0.0,50.0,0.0,47.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,0.0,431.42133475313017
t32,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.900000000000002,0.0,0.0,0.0,0.0,59.85,0.0,6.496,0.0,0.0,28.662000000000003,0.0,17.299999999999997,19.2,0.0,0.0,0.0,0.0,0.0,50.0,0.0,47.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,101.18676687986213,0.0,0.0,0.6,0.0,0.0,8.0,473.3001347531302
t33,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,0.0,0.0,0.0,0.0,99.45,0.0,13.44,2.1203999999999996,0.0,28.4372,0.0,10.7,14.499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,10.7,0.0,0.0,38.45,499.8897347531301
t34,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,0.0,0.0,0.0,0.0,126.6,0.0,11.76,9.7092,0.0,18.883200000000002,0.0,5.800000000000001,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,28.000000000000004,0.0,0.0,35.77647058823529,533.4210053413655
t35,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.69999999999999,0.0,0.0,0.0,0.0,145.95,0.0,13.216,14.229,0.0,13.881400000000001,0.0,4.1000000000000005,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,28.123529411764686,0.0,0.0,28.700000000000003,536.8920641648948
t36,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.60000000000001,0.0,0.0,0.0,0.0,148.35,0.0,15.680000000000001,25.8912,0.0,22.761000000000003,0.0,9.6,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,24.799999999999997,530.2743347531301
t37,0.0,0.0,0.0,0.0,0.0,99.9948310859412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.7,0.0,0.0,0.0,0.0,146.85,0.0,27.776,29.0718,0.0,15.8484,0.0,15.7,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,25.599999999999994,533.2277979658033
t38,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.89999999999999,0.0,0.0,0.0,0.0,141.15,0.0,37.408,27.453599999999998,0.0,7.868000000000001,0.0,6.800000000000001,6.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,29.400000000000006,539.0717347531302
t39,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,115.2,0.0,22.512,24.496199999999998,0.0,4.0464,0.0,2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,0.0,0.0,0.0,34.599999999999994,495.6467347531301
t40,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.7,0.0,0.0,0.0,0.0,77.10000000000001,0.0,6.608,22.766399999999997,0.0,2.6976,0.0,8.7,8.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,8.799999999999999,0.0,0.0,33.1,441.96413475313017
t41,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,21.299999999999997,0.0,2.912,3.5153999999999996,0.0,5.2266,0.0,37.7,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18676687986213,0.0,0.0,2.5,0.0,0.0,2.9499999999999997,307.3961347531301
t42,0.0,0.0,0.0,0.0,0.0,111.105367873268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.162400000000002,0.0,39.6,12.4,0.0,0.0,0.0,0.0,0.0,50.0,0.0,47.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,101.18676687986213,0.0,0.0,99.6,0.0,0.0,50.0,535.0545347531302
