BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge,Market_Buy,Market_Sell
t107,584.0979347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-863.0,65.89999999999999,-0.0,320.0020652468699,0.0
t108,586.2041347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-817.0,53.400000000000006,-0.0,284.3958652468698,0.0
t109,584.9393347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-836.0,55.60000000000001,-0.0,302.4606652468697,0.0
t110,574.9619347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-819.0,41.7,-0.0,309.3380652468699,0.0
t111,594.2729347531301,0.0,-75.52941176470591,0.0,0.0,0.0,0.0,0.0,0.0,-831.0,75.39999999999998,-0.0,236.85647701157575,0.0
t112,522.8533347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-888.0,49.55,-0.0,315.5966652468697,0.0
t113,353.3617347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-908.0,8.1,-0.0,546.53826524687,0.0
t114,359.92273475313016,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1010.0,149.6,-0.0,393.47726524686976,0.0
t115,355.95313475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1049.0,20.400000000000006,-0.0,565.64686524687,0.0
t116,339.95113475313013,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1038.0,0.0,-0.0,591.0488652468699,0.0
t117,321.72733475313015,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1023.0,0.0,-0.0,594.2726652468698,0.0
t118,292.18853475313017,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1006.0,0.0,-0.0,713.8114652468698,0.0
t119,311.0497347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-946.0,0.0,-0.0,634.95026524687,0.0
t120,366.24433475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-893.0,0.0,-0.0,526.7556652468699,0.0
t121,367.48813475313017,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-834.0,0.0,-0.0,466.51186524686983,0.0
t122,354.70453475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-788.0,0.0,-0.0,433.2954652468698,0.0
t123,305.3771347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-744.0,0.0,-0.0,545.6228652468699,0.0
t124,289.67213475313014,0.0,-18.882352941176478,0.0,0.0,0.0,0.0,0.0,0.0,-711.0,0.0,-0.0,440.21021818804627,0.0
t125,307.7877347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-700.0,0.0,-0.0,392.2122652468699,0.0
t126,316.17793475313016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-712.0,0.0,-0.0,395.82206524686984,0.0
t127,318.3457347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-768.0,0.0,-0.0,449.6542652468699,0.0
t128,375.71833475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-808.0,9.65,-0.0,315.6316652468698,0.0
t129,510.9379347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-785.0,76.25,-0.0,197.81206524686996,0.0
t130,520.5573347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-734.0,89.85,-0.0,123.59266524686979,0.0
t131,523.0971347531301,0.0,-75.52941176470594,0.0,0.0,0.0,0.0,0.0,0.0,-676.0,93.89999999999999,-0.0,134.53227701157584,0.0
t132,525.3051347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-620.0,18.400000000000006,-0.0,183.29486524686985,0.0
t133,525.7043979658033,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-583.0,20.299999999999997,-0.0,143.99560203419674,0.0
t134,526.6067347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-618.0,26.299999999999997,-0.0,172.09326524686986,0.0
