Resource,Zone,region,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,cluster
Northern_California_Flow_Battery_116,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_121,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_122,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_126,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_127,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_130,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_132,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_135,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_138,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_141,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_144,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_149,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_150,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_155,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_157,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_158,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_159,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_166,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_172,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_178,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_179,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_180,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_25,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_26,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_29,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_31,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_35,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_38,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_41,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_44,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_5,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_51,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_57,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_68,0,None,1,0,0,16.697,16.697,247877.892,0,0
Northern_California_Flow_Battery_70,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_73,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_76,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_80,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_82,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_83,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_84,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_85,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_92,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_94,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Flow_Battery_96,0,None,1,0,0,0,0,247877.892,0,0
Northern_California_Geothermal_100,0,None,1,0,0,0,0,485679.0989,0,0
Northern_California_Geothermal_35,0,None,1,0,0,0,0,483193.0844,0,0
Northern_California_Geothermal_5,0,None,1,0,0,0,0,488907.52,0,0
Northern_California_Geothermal_70,0,None,1,0,0,277.7,277.7,476458.4704,0,0
Northern_California_Li_Battery_4hr_100,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_112,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_113,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_114,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_116,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_121,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_122,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_126,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_127,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_130,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_132,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_135,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_138,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_141,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_144,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_149,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_150,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_155,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_157,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_158,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_159,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_166,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_172,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_178,0,None,1,0,0,16,16,122603.4726,0,0
Northern_California_Li_Battery_4hr_179,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_180,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_25,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_26,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_29,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_31,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_35,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_38,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_41,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_44,0,None,1,0,0,2045.4,2045.4,122603.4726,0,0
Northern_California_Li_Battery_4hr_5,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_51,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_57,0,None,1,0,0,2507.235,2507.235,122603.4726,0,0
Northern_California_Li_Battery_4hr_68,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_70,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_73,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_76,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_80,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_82,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_83,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_84,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_85,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_92,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_94,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_4hr_96,0,None,1,0,0,0,0,122603.4726,0,0
Northern_California_Li_Battery_8hr_100,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_112,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_113,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_114,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_116,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_121,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_122,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_126,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_127,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_130,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_132,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_135,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_138,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_141,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_144,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_149,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_150,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_155,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_157,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_158,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_159,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_166,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_172,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_178,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_179,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_180,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_25,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_26,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_29,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_31,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_35,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_38,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_41,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_44,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_5,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_51,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_57,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_68,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_70,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_73,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_76,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_80,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_82,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_83,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_84,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_85,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_92,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_94,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Li_Battery_8hr_96,0,None,1,0,0,0,0,202043.4726,0,0
Northern_California_Pumped_Storage_5,0,None,1,0,0,0,0,226259.6426,0,0
Northern_California_Solar_100,0,None,1,0,0,0,0,80481.94682160001,0,0
Northern_California_Solar_112,0,None,1,0,0,0,0,72425.15649,0,0
Northern_California_Solar_113,0,None,1,0,0,0,0,74762.67587600001,0,0
Northern_California_Solar_114,0,None,1,0,0,0,0,75834.35475,0,0
Northern_California_Solar_116,0,None,1,0,0,0,0,74835.05493,0,0
Northern_California_Solar_121,0,None,1,0,0,19.589,19.589,71673.54681,0,0
Northern_California_Solar_122,0,None,1,0,0,0,0,75002.08114,0,0
Northern_California_Solar_126,0,None,1,0,0,0,0,74570.01149,0,0
Northern_California_Solar_127,0,None,1,0,0,0,0,80678.37032,0,0
Northern_California_Solar_130,0,None,1,0,0,0,0,81407.86599790001,0,0
Northern_California_Solar_132,0,None,1,0,0,0,0,75805.53835,0,0
Northern_California_Solar_135,0,None,1,0,0,0,0,73129.94039,0,0
Northern_California_Solar_138,0,None,1,0,0,0,0,74062.91303,0,0
Northern_California_Solar_141,0,None,1,0,0,0,0,79629.53611,0,0
Northern_California_Solar_144,0,None,1,0,0,0,0,75170.9071,0,0
Northern_California_Solar_149,0,None,1,0,0,0,0,77056.93417,0,0
Northern_California_Solar_150,0,None,1,0,0,0,0,73994.14325,0,0
Northern_California_Solar_155,0,None,1,0,0,0,0,74535.05074,0,0
Northern_California_Solar_157,0,None,1,0,0,0,0,74543.35369,0,0
Northern_California_Solar_158,0,None,1,0,0,0,0,75942.67849230001,0,0
Northern_California_Solar_159,0,None,1,0,0,0,0,74939.18407,0,0
Northern_California_Solar_166,0,None,1,0,0,0,0,78569.83595,0,0
Northern_California_Solar_172,0,None,1,0,0,0,0,73439.7789,0,0
Northern_California_Solar_178,0,None,1,0,0,0,0,73942.33344,0,0
Northern_California_Solar_179,0,None,1,0,0,0,0,73734.32615,0,0
Northern_California_Solar_180,0,None,1,0,0,0,0,75317.39253,0,0
Northern_California_Solar_25,0,None,1,0,0,0,0,74731.95570810001,0,0
Northern_California_Solar_26,0,None,1,0,0,0,0,79471.47057,0,0
Northern_California_Solar_29,0,None,1,0,0,0,0,74012.22327959999,0,0
Northern_California_Solar_31,0,None,1,0,0,0,0,73375.93921,0,0
Northern_California_Solar_35,0,None,1,0,0,0,0,81198.06396110001,0,0
Northern_California_Solar_38,0,None,1,0,0,0,0,80923.52714,0,0
Northern_California_Solar_41,0,None,1,0,0,0,0,75601.10056,0,0
Northern_California_Solar_44,0,None,1,0,0,6.42,6.42,72721.83000530001,0,0
Northern_California_Solar_5,0,None,1,0,0,0,0,79735.93323,0,0
Northern_California_Solar_51,0,None,1,0,0,0,0,76836.80848,0,0
Northern_California_Solar_57,0,None,1,0,0,0,0,75185.40779,0,0
Northern_California_Solar_5_EO,0,None,1,0,0,100,100,79735.93323,0,0
Northern_California_Solar_68,0,None,1,0,0,0,0,73930.92486,0,0
Northern_California_Solar_70,0,None,1,0,0,0,0,78253.89074,0,0
Northern_California_Solar_73,0,None,1,0,0,0,0,77887.30615,0,0
Northern_California_Solar_76,0,None,1,0,0,0,0,75424.86121,0,0
Northern_California_Solar_80,0,None,1,0,0,0,0,77677.23046,0,0
Northern_California_Solar_82,0,None,1,0,0,0,0,74717.73852,0,0
Northern_California_Solar_83,0,None,1,0,0,0,0,74311.33556,0,0
Northern_California_Solar_84,0,None,1,0,0,0,0,78429.15964,0,0
Northern_California_Solar_85,0,None,1,0,0,0,0,73460.96031519999,0,0
Northern_California_Solar_92,0,None,1,0,0,0,0,72722.02176640001,0,0
Northern_California_Solar_94,0,None,1,0,0,0,0,74067.88098,0,0
