Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
,,,,,,,,390,721
,,,,,,,,391,754
,,,,,,,,392,735
,,,,,,,,393,665
,,,,,,,,394,649
,,,,,,,,395,559
,,,,,,,,396,557
,,,,,,,,397,566
,,,,,,,,398,599
,,,,,,,,399,599
,,,,,,,,400,636
,,,,,,,,401,725
,,,,,,,,402,826
,,,,,,,,403,884
,,,,,,,,404,885
,,,,,,,,405,865
,,,,,,,,406,835
,,,,,,,,407,788
,,,,,,,,408,746
,,,,,,,,409,740
,,,,,,,,410,710
,,,,,,,,411,680
,,,,,,,,412,665
,,,,,,,,413,664
,,,,,,,,414,682
,,,,,,,,415,701
,,,,,,,,416,686
,,,,,,,,417,616
,,,,,,,,418,524
,,,,,,,,419,482
,,,,,,,,420,496
,,,,,,,,421,565
,,,,,,,,422,554
,,,,,,,,423,536
,,,,,,,,424,585
,,,,,,,,425,680
,,,,,,,,426,812
,,,,,,,,427,893
,,,,,,,,428,902
,,,,,,,,429,882
,,,,,,,,430,848
,,,,,,,,431,790
,,,,,,,,432,746
,,,,,,,,433,749
,,,,,,,,434,711
,,,,,,,,435,686
,,,,,,,,436,686
,,,,,,,,437,717
,,,,,,,,438,794
,,,,,,,,439,876
,,,,,,,,440,842
,,,,,,,,441,737
,,,,,,,,442,629
,,,,,,,,443,584
,,,,,,,,444,573
,,,,,,,,445,490
,,,,,,,,446,538
,,,,,,,,447,624
,,,,,,,,448,664
,,,,,,,,449,768
,,,,,,,,450,923
,,,,,,,,451,996
,,,,,,,,452,996
,,,,,,,,453,963
,,,,,,,,454,926
,,,,,,,,455,862
,,,,,,,,456,830
,,,,,,,,457,786
,,,,,,,,458,742
,,,,,,,,459,712
,,,,,,,,460,707
,,,,,,,,461,736
,,,,,,,,462,812
,,,,,,,,463,889
,,,,,,,,464,874
,,,,,,,,465,763
,,,,,,,,466,674
,,,,,,,,467,625
,,,,,,,,468,604
,,,,,,,,469,549
,,,,,,,,470,537
,,,,,,,,471,583
,,,,,,,,472,637
,,,,,,,,473,755
,,,,,,,,474,906
,,,,,,,,475,990
,,,,,,,,476,992
,,,,,,,,477,966
,,,,,,,,478,927
,,,,,,,,479,864
,,,,,,,,480,832
,,,,,,,,481,789
,,,,,,,,482,746
,,,,,,,,483,717
,,,,,,,,484,711
,,,,,,,,485,740
,,,,,,,,486,814
,,,,,,,,487,888
,,,,,,,,488,842
,,,,,,,,489,732
,,,,,,,,490,651
,,,,,,,,491,555
,,,,,,,,492,503
,,,,,,,,493,474
,,,,,,,,494,481
,,,,,,,,495,542
,,,,,,,,496,615
,,,,,,,,497,732
,,,,,,,,498,898
,,,,,,,,499,987
,,,,,,,,500,987
,,,,,,,,501,959
,,,,,,,,502,920
,,,,,,,,503,859
,,,,,,,,504,830
,,,,,,,,505,830
,,,,,,,,506,782
,,,,,,,,507,752
,,,,,,,,508,742
,,,,,,,,509,750
,,,,,,,,510,769
,,,,,,,,511,759
,,,,,,,,512,674
,,,,,,,,513,557
,,,,,,,,514,451
,,,,,,,,515,386
,,,,,,,,516,345
,,,,,,,,517,339
,,,,,,,,518,365
,,,,,,,,519,437
,,,,,,,,520,552
,,,,,,,,521,718
,,,,,,,,522,891
,,,,,,,,523,998
,,,,,,,,524,1032
,,,,,,,,525,1011
,,,,,,,,526,950
,,,,,,,,527,889
,,,,,,,,528,876
,,,,,,,,529,812
,,,,,,,,530,766
,,,,,,,,531,746
,,,,,,,,532,756
,,,,,,,,533,808
,,,,,,,,534,898
,,,,,,,,535,952
,,,,,,,,536,921
,,,,,,,,537,828
,,,,,,,,538,756
,,,,,,,,539,681
,,,,,,,,540,660
,,,,,,,,541,623
,,,,,,,,542,637
,,,,,,,,543,659
,,,,,,,,544,744
,,,,,,,,545,873
,,,,,,,,546,1012
,,,,,,,,547,1105
,,,,,,,,548,1127
,,,,,,,,549,1106
,,,,,,,,550,1035
,,,,,,,,551,986
,,,,,,,,552,922
,,,,,,,,553,849
,,,,,,,,554,799
,,,,,,,,555,775
,,,,,,,,556,780
,,,,,,,,557,829
,,,,,,,,558,915
,,,,,,,,559,962
,,,,,,,,560,881
,,,,,,,,561,765
,,,,,,,,562,664
,,,,,,,,563,531
,,,,,,,,564,513
,,,,,,,,565,504
,,,,,,,,566,526
,,,,,,,,567,579
,,,,,,,,568,701
,,,,,,,,569,827
,,,,,,,,570,1005
,,,,,,,,571,1108
,,,,,,,,572,1128
,,,,,,,,573,1113
,,,,,,,,574,1047
,,,,,,,,575,999
,,,,,,,,576,934
,,,,,,,,577,861
,,,,,,,,578,810
,,,,,,,,579,784
,,,,,,,,580,789
,,,,,,,,581,837
,,,,,,,,582,924
,,,,,,,,583,954
,,,,,,,,584,848
,,,,,,,,585,726
,,,,,,,,586,614
,,,,,,,,587,533
,,,,,,,,588,483
,,,,,,,,589,473
,,,,,,,,590,496
,,,,,,,,591,560
,,,,,,,,592,656
,,,,,,,,593,811
,,,,,,,,594,992
,,,,,,,,595,1103
,,,,,,,,596,1123
,,,,,,,,597,1106
,,,,,,,,598,1041
,,,,,,,,599,994
,,,,,,,,600,931
,,,,,,,,601,861
,,,,,,,,602,810
,,,,,,,,603,785
,,,,,,,,604,789
,,,,,,,,605,839
,,,,,,,,606,922
,,,,,,,,607,949
,,,,,,,,608,832
,,,,,,,,609,710
,,,,,,,,610,628
,,,,,,,,611,543
,,,,,,,,612,527
,,,,,,,,613,529
,,,,,,,,614,566
,,,,,,,,615,645
,,,,,,,,616,739
,,,,,,,,617,881
,,,,,,,,618,1019
,,,,,,,,619,1084
,,,,,,,,620,1110
,,,,,,,,621,1114
,,,,,,,,622,1040
,,,,,,,,623,996
,,,,,,,,624,936
,,,,,,,,625,861
,,,,,,,,626,810
,,,,,,,,627,785
,,,,,,,,628,789
,,,,,,,,629,836
,,,,,,,,630,916
,,,,,,,,631,938
,,,,,,,,632,844
,,,,,,,,633,744
,,,,,,,,634,652
,,,,,,,,635,608
,,,,,,,,636,625
,,,,,,,,637,632
,,,,,,,,638,693
,,,,,,,,639,742
,,,,,,,,640,827
,,,,,,,,641,967
,,,,,,,,642,1084
,,,,,,,,643,1132
,,,,,,,,644,1128
,,,,,,,,645,1112
,,,,,,,,646,1046
,,,,,,,,647,1003
,,,,,,,,648,930
,,,,,,,,649,866
,,,,,,,,650,812
,,,,,,,,651,783
,,,,,,,,652,776
,,,,,,,,653,793
,,,,,,,,654,820
,,,,,,,,655,795
,,,,,,,,656,720
,,,,,,,,657,668
,,,,,,,,658,571
,,,,,,,,659,530
,,,,,,,,660,416
,,,,,,,,661,596
,,,,,,,,662,642
,,,,,,,,663,664
,,,,,,,,664,724
,,,,,,,,665,839
,,,,,,,,666,919
,,,,,,,,667,1002
,,,,,,,,668,1028
,,,,,,,,669,1010
,,,,,,,,670,959
,,,,,,,,671,905
,,,,,,,,672,884
,,,,,,,,673,1044
,,,,,,,,674,985
,,,,,,,,675,954
,,,,,,,,676,957
,,,,,,,,677,1014
,,,,,,,,678,1102
,,,,,,,,679,1131
,,,,,,,,680,1087
,,,,,,,,681,1034
,,,,,,,,682,983
,,,,,,,,683,947
,,,,,,,,684,1034
,,,,,,,,685,1062
,,,,,,,,686,1122
,,,,,,,,687,1167
,,,,,,,,688,1187
,,,,,,,,689,1254
,,,,,,,,690,1301
,,,,,,,,691,1343
,,,,,,,,692,1373
,,,,,,,,693,1362
,,,,,,,,694,1271
,,,,,,,,695,1211
,,,,,,,,696,1141
,,,,,,,,697,1060
,,,,,,,,698,1000
,,,,,,,,699,967
,,,,,,,,700,971
,,,,,,,,701,1028
,,,,,,,,702,1116
,,,,,,,,703,1158
,,,,,,,,704,1190
,,,,,,,,705,1109
,,,,,,,,706,1075
,,,,,,,,707,1004
,,,,,,,,708,910
,,,,,,,,709,901
,,,,,,,,710,941
,,,,,,,,711,1015
,,,,,,,,712,1087
,,,,,,,,713,1171
,,,,,,,,714,1263
,,,,,,,,715,1325
,,,,,,,,716,1366
,,,,,,,,717,1359
,,,,,,,,718,1267
,,,,,,,,719,1208
,,,,,,,,720,1140
,,,,,,,,721,1059
,,,,,,,,722,999
,,,,,,,,723,967
,,,,,,,,724,971
,,,,,,,,725,1028
,,,,,,,,726,1113
,,,,,,,,727,1141
,,,,,,,,728,1103
,,,,,,,,729,1010
,,,,,,,,730,962
,,,,,,,,731,839
,,,,,,,,732,799
,,,,,,,,733,833
,,,,,,,,734,910
,,,,,,,,735,1028
,,,,,,,,736,1072
,,,,,,,,737,1159
,,,,,,,,738,1279
,,,,,,,,739,1373
,,,,,,,,740,1380
,,,,,,,,741,1355
,,,,,,,,742,1278
,,,,,,,,743,1221
,,,,,,,,744,1152
,,,,,,,,745,1067
,,,,,,,,746,1007
,,,,,,,,747,974
,,,,,,,,748,979
,,,,,,,,749,1034
,,,,,,,,750,1118
,,,,,,,,751,1163
,,,,,,,,752,1130
,,,,,,,,753,1001
,,,,,,,,754,900
,,,,,,,,755,880
,,,,,,,,756,897
,,,,,,,,757,892
,,,,,,,,758,904
,,,,,,,,759,1033
,,,,,,,,760,1091
,,,,,,,,761,1188
,,,,,,,,762,1298
,,,,,,,,763,1351
,,,,,,,,764,1356
,,,,,,,,765,1354
,,,,,,,,766,1277
,,,,,,,,767,1226
,,,,,,,,768,1147
,,,,,,,,769,1078
,,,,,,,,770,1015
,,,,,,,,771,977
,,,,,,,,772,963
,,,,,,,,773,975
,,,,,,,,774,988
,,,,,,,,775,958
,,,,,,,,776,889
,,,,,,,,777,819
,,,,,,,,778,685
,,,,,,,,779,787
,,,,,,,,780,750
,,,,,,,,781,733
,,,,,,,,782,821
,,,,,,,,783,838
,,,,,,,,784,935
,,,,,,,,785,1101
,,,,,,,,786,1254
,,,,,,,,787,1312
,,,,,,,,788,1346
,,,,,,,,789,1320
,,,,,,,,790,1222
,,,,,,,,791,1141
,,,,,,,,792,1123
,,,,,,,,793,1058
,,,,,,,,794,997
,,,,,,,,795,958
,,,,,,,,796,942
,,,,,,,,797,946
,,,,,,,,798,943
,,,,,,,,799,864
,,,,,,,,800,752
,,,,,,,,801,700
,,,,,,,,802,675
,,,,,,,,803,611
,,,,,,,,804,684
,,,,,,,,805,735
,,,,,,,,806,752
,,,,,,,,807,860
,,,,,,,,808,988
,,,,,,,,809,1158
,,,,,,,,810,1324
,,,,,,,,811,1382
,,,,,,,,812,1405
,,,,,,,,813,1369
,,,,,,,,814,1265
,,,,,,,,815,1167
,,,,,,,,816,1145
,,,,,,,,817,1060
,,,,,,,,818,996
,,,,,,,,819,968
,,,,,,,,820,976
,,,,,,,,821,1035
,,,,,,,,822,1113
,,,,,,,,823,1118
,,,,,,,,824,1061
,,,,,,,,825,978
,,,,,,,,826,915
,,,,,,,,827,878
,,,,,,,,828,884
,,,,,,,,829,932
,,,,,,,,830,976
,,,,,,,,831,1075
,,,,,,,,832,1230
,,,,,,,,833,1320
,,,,,,,,834,1467
,,,,,,,,835,1532
,,,,,,,,836,1530
,,,,,,,,837,1502
,,,,,,,,838,1387
,,,,,,,,839,1293
,,,,,,,,840,1210
,,,,,,,,841,1174
,,,,,,,,842,1103
,,,,,,,,843,1066
,,,,,,,,844,1066
,,,,,,,,845,1116
,,,,,,,,846,1182
,,,,,,,,847,1232
,,,,,,,,848,1229
,,,,,,,,849,1179
,,,,,,,,850,1104
,,,,,,,,851,980
,,,,,,,,852,969
,,,,,,,,853,972
,,,,,,,,854,970
,,,,,,,,855,1051
,,,,,,,,856,1143
,,,,,,,,857,1278
,,,,,,,,858,1400
,,,,,,,,859,1452
,,,,,,,,860,1478
,,,,,,,,861,1477
,,,,,,,,862,1396
,,,,,,,,863,1336
,,,,,,,,864,1249
,,,,,,,,865,1170
,,,,,,,,866,1099
,,,,,,,,867,1053
,,,,,,,,868,1038
,,,,,,,,869,1050
,,,,,,,,870,1051
,,,,,,,,871,1022
,,,,,,,,872,973
,,,,,,,,873,933
,,,,,,,,874,849
,,,,,,,,875,822
,,,,,,,,876,740
,,,,,,,,877,734
,,,,,,,,878,773
,,,,,,,,879,881
,,,,,,,,880,1005
,,,,,,,,881,1146
,,,,,,,,882,1301
,,,,,,,,883,1361
,,,,,,,,884,1396
,,,,,,,,885,1383
,,,,,,,,886,1316
,,,,,,,,887,1236
,,,,,,,,888,1208
,,,,,,,,889,1136
,,,,,,,,890,1066
,,,,,,,,891,1023
,,,,,,,,892,1006
,,,,,,,,893,1009
,,,,,,,,894,990
,,,,,,,,895,958
,,,,,,,,896,894
,,,,,,,,897,912
,,,,,,,,898,870
,,,,,,,,899,879
,,,,,,,,900,896
,,,,,,,,901,959
,,,,,,,,902,878
,,,,,,,,903,959
,,,,,,,,904,995
,,,,,,,,905,1193
,,,,,,,,906,1281
,,,,,,,,907,1324
,,,,,,,,908,1367
,,,,,,,,909,1386
,,,,,,,,910,1297
,,,,,,,,911,1204
,,,,,,,,912,1188
,,,,,,,,913,1104
,,,,,,,,914,1042
,,,,,,,,915,1014
,,,,,,,,916,1020
,,,,,,,,917,1075
,,,,,,,,918,1151
,,,,,,,,919,1185
,,,,,,,,920,1190
,,,,,,,,921,1154
,,,,,,,,922,1082
,,,,,,,,923,977
,,,,,,,,924,908
,,,,,,,,925,886
,,,,,,,,926,902
,,,,,,,,927,1018
,,,,,,,,928,1089
,,,,,,,,929,1241
,,,,,,,,930,1379
,,,,,,,,931,1453
,,,,,,,,932,1494
,,,,,,,,933,1500
,,,,,,,,934,1400
,,,,,,,,935,1328
,,,,,,,,936,1247
,,,,,,,,937,1154
,,,,,,,,938,1084
,,,,,,,,939,1048
,,,,,,,,940,1050
,,,,,,,,941,1102
,,,,,,,,942,1169
,,,,,,,,943,1176
,,,,,,,,944,1184
,,,,,,,,945,1074
,,,,,,,,946,1053
,,,,,,,,947,1030
,,,,,,,,948,1051
,,,,,,,,949,880
,,,,,,,,950,953
,,,,,,,,951,1072
,,,,,,,,952,1138
,,,,,,,,953,1210
,,,,,,,,954,1340
,,,,,,,,955,1424
,,,,,,,,956,1482
,,,,,,,,957,1490
,,,,,,,,958,1397
,,,,,,,,959,1326
,,,,,,,,960,1244
,,,,,,,,961,1156
,,,,,,,,962,1087
,,,,,,,,963,1053
,,,,,,,,964,1053
,,,,,,,,965,1105
,,,,,,,,966,1172
,,,,,,,,967,1172
,,,,,,,,968,1157
,,,,,,,,969,1053
,,,,,,,,970,971
,,,,,,,,971,973
,,,,,,,,972,885
,,,,,,,,973,802
,,,,,,,,974,951
,,,,,,,,975,982
,,,,,,,,976,1111
,,,,,,,,977,1240
,,,,,,,,978,1357
,,,,,,,,979,1421
,,,,,,,,980,1492
,,,,,,,,981,1502
,,,,,,,,982,1408
,,,,,,,,983,1335
,,,,,,,,984,1253
,,,,,,,,985,1165
,,,,,,,,986,1095
,,,,,,,,987,1058
,,,,,,,,988,1058
,,,,,,,,989,1111
,,,,,,,,990,1169
,,,,,,,,991,1171
,,,,,,,,992,1171
,,,,,,,,993,1099
,,,,,,,,994,1001
,,,,,,,,995,894
,,,,,,,,996,875
,,,,,,,,997,872
,,,,,,,,998,921
,,,,,,,,999,1008
,,,,,,,,1000,1094
,,,,,,,,1001,1256
,,,,,,,,1002,1399
,,,,,,,,1003,1470
,,,,,,,,1004,1499
,,,,,,,,1005,1512
,,,,,,,,1006,1422
,,,,,,,,1007,1350
,,,,,,,,1008,1269
,,,,,,,,1009,1327
,,,,,,,,1010,1242
,,,,,,,,1011,1186
,,,,,,,,1012,1154
,,,,,,,,1013,1145
,,,,,,,,1014,1111
,,,,,,,,1015,1028
,,,,,,,,1016,977
,,,,,,,,1017,954
,,,,,,,,1018,956
,,,,,,,,1019,939
,,,,,,,,1020,1033
,,,,,,,,1021,1059
,,,,,,,,1022,1157
,,,,,,,,1023,1302
,,,,,,,,1024,1434
,,,,,,,,1025,1565
,,,,,,,,1026,1726
,,,,,,,,1027,1792
,,,,,,,,1028,1789
,,,,,,,,1029,1714
,,,,,,,,1030,1566
,,,,,,,,1031,1436
,,,,,,,,1032,1384
,,,,,,,,1033,1285
,,,,,,,,1034,1209
,,,,,,,,1035,1168
,,,,,,,,1036,1168
,,,,,,,,1037,1228
,,,,,,,,1038,1292
,,,,,,,,1039,1310
,,,,,,,,1040,1311
,,,,,,,,1041,1300
,,,,,,,,1042,1268
,,,,,,,,1043,1230
,,,,,,,,1044,1266
,,,,,,,,1045,1358
,,,,,,,,1046,1458
,,,,,,,,1047,1550
,,,,,,,,1048,1652
,,,,,,,,1049,1802
,,,,,,,,1050,1913
,,,,,,,,1051,1938
,,,,,,,,1052,1924
,,,,,,,,1053,1852
,,,,,,,,1054,1683
,,,,,,,,1055,1557
,,,,,,,,1056,1454
,,,,,,,,1057,1344
,,,,,,,,1058,1259
,,,,,,,,1059,1208
,,,,,,,,1060,1201
,,,,,,,,1061,1253
,,,,,,,,1062,1312
,,,,,,,,1063,1316
,,,,,,,,1064,1327
,,,,,,,,1065,1265
,,,,,,,,1066,1206
,,,,,,,,1067,1210
,,,,,,,,1068,1226
,,,,,,,,1069,1316
,,,,,,,,1070,1408
,,,,,,,,1071,1538
,,,,,,,,1072,1622
,,,,,,,,1073,1775
,,,,,,,,1074,1893
,,,,,,,,1075,1936
,,,,,,,,1076,1914
,,,,,,,,1077,1840
,,,,,,,,1078,1646
,,,,,,,,1079,1553
,,,,,,,,1080,1448
,,,,,,,,1081,1352
,,,,,,,,1082,1260
,,,,,,,,1083,1203
,,,,,,,,1084,1182
,,,,,,,,1085,1204
,,,,,,,,1086,1231
,,,,,,,,1087,1196
,,,,,,,,1088,1160
,,,,,,,,1089,1109
,,,,,,,,1090,1075
,,,,,,,,1091,1044
,,,,,,,,1092,1086
,,,,,,,,1093,1175
,,,,,,,,1094,1255
,,,,,,,,1095,1386
,,,,,,,,1096,1506
,,,,,,,,1097,1644
,,,,,,,,1098,1766
,,,,,,,,1099,1828
,,,,,,,,1100,1830
,,,,,,,,1101,1784
,,,,,,,,1102,1626
,,,,,,,,1103,1506
,,,,,,,,1104,1414
,,,,,,,,1105,1345
,,,,,,,,1106,1256
,,,,,,,,1107,1203
