Time_Index,BANC_Hydro,CAISO_Hydro,LDWP_Hydro,NW_Hydro,NW_Hydro_for_CAISO,SW_Hydro
385,271.3,3583.973,28.2,12747.001,1499.471,1682.003
386,396.76,3583.973,28.2,14114.159,1499.471,289.4
387,664.454,3336.216,436.399,13236.995,1499.471,1682.003
388,892.406,2514.803,28.2,13143.002,1499.471,1682.003
389,996.397,2392.224,28.2,14436.259,1499.471,1682.003
390,996.397,2241.665,436.399,15803.417,1463.275,1682.003
391,996.397,1899.909,436.399,16540.556,1360.551,289.4
392,271.3,1078.496,28.2,16540.556,1236.613,289.4
393,271.3,1078.496,28.2,15173.398,1119.374,289.4
394,271.3,1078.496,28.2,13990.708,1119.374,289.4
395,271.3,1078.496,28.2,14727.5,1119.374,289.4
396,271.3,1078.496,28.2,13360.343,1119.374,289.4
397,271.3,1078.496,28.2,12654.012,1119.374,289.4
398,271.3,1078.496,28.2,12347.733,1119.374,289.4
399,271.3,1078.496,28.2,13714.891,1119.374,289.4
400,271.3,1078.496,28.2,13978.27,1131.989,289.4
401,271.3,1078.496,28.2,15345.428,1234.713,289.4
402,271.3,1899.909,28.2,16540.556,1358.651,289.4
403,271.3,2241.665,436.399,16540.556,1475.891,289.4
404,325.728,2392.224,436.399,16540.556,1499.471,1682.003
405,953.983,2514.803,253.758,16540.556,1499.471,1682.003
406,811.84,3336.216,436.399,16540.556,1499.471,1682.003
407,776.796,3583.973,28.2,15407.416,1499.471,375.115
408,778.468,3368.873,28.2,14040.258,1499.471,1682.003
409,516.508,3556.192,20.7,11692.218,1211.918,1734.3
410,516.508,4377.606,421.799,10398.961,1211.918,1734.3
411,1377.0,3618.415,20.7,9773.644,1211.918,313.707
412,516.508,3495.836,421.799,10022.733,1182.18,313.707
413,1377.0,3345.276,20.7,10308.719,1100.299,1734.3
414,516.508,3003.521,20.7,11053.774,997.575,1734.3
415,516.508,2182.108,421.799,11004.183,873.637,490.538
416,516.508,2182.108,20.7,9705.982,756.397,313.707
417,516.508,2182.108,20.7,8343.768,756.397,313.707
418,516.508,2182.108,20.7,8343.768,756.397,313.707
419,516.508,2182.108,20.7,8343.768,756.397,313.707
420,516.508,2182.108,20.7,8343.768,756.397,313.707
421,516.508,2182.108,20.7,8343.768,756.397,313.707
422,516.508,2182.108,20.7,8343.768,756.397,313.707
423,516.508,2182.108,20.7,8671.803,756.397,313.707
424,516.508,2182.108,20.7,9804.943,756.397,313.707
425,516.508,2182.108,20.7,11172.101,768.692,313.707
426,1355.343,3003.521,36.137,12465.358,892.63,313.707
427,516.508,3345.276,20.7,13368.586,1009.869,313.707
428,1377.0,3378.346,421.799,13368.586,1112.593,1734.3
429,1377.0,3618.415,421.799,13368.586,1194.475,1734.3
430,1377.0,4377.606,418.705,13368.586,1211.918,1734.3
431,1377.0,4377.606,20.7,13368.586,1211.918,1734.3
432,1377.0,4377.606,20.7,13059.376,1211.918,1182.141
433,477.401,3439.809,480.297,8354.421,1028.969,318.792
434,1316.31,3518.022,40.5,7221.281,1028.969,1745.611
435,1204.355,4261.222,57.814,6318.054,1028.969,1745.611
436,477.401,3468.722,40.5,5794.819,1014.978,318.792
437,1316.31,3098.053,40.5,6888.433,933.097,318.792
438,477.401,3195.583,480.297,8255.59,830.373,1745.611
439,477.401,2824.915,40.5,9495.306,713.134,1745.611
440,477.401,2032.415,40.5,8128.148,589.195,318.792
441,477.401,2032.415,40.5,6834.891,525.325,318.792
442,477.401,2032.415,40.5,5794.819,525.325,318.792
443,477.401,2032.415,40.5,5794.819,525.325,318.792
444,477.401,2032.415,40.5,5794.819,525.325,318.792
445,477.401,2032.415,40.5,5794.819,525.325,318.792
446,477.401,2032.415,40.5,6792.35,525.325,318.792
447,477.401,2032.415,40.5,7617.315,525.325,318.792
448,477.401,2032.415,40.5,8690.073,525.325,318.792
449,477.401,2032.415,40.5,9983.331,525.325,318.792
450,477.401,2269.897,40.5,11350.488,649.263,318.792
451,1316.31,3091.31,480.297,11350.488,766.502,318.792
452,1316.31,3346.143,480.297,11350.488,869.226,1745.611
453,1316.31,3468.722,480.297,11350.488,951.108,1403.342
454,1316.31,3706.204,480.297,11350.488,1028.969,1745.611
455,1316.31,4261.222,40.5,11014.836,1028.969,1745.611
456,477.401,4261.222,40.5,9647.678,1028.969,1745.611
457,1439.506,4050.306,56.8,18459.093,1735.847,1715.311
458,948.693,4040.792,56.8,17091.935,1735.847,1715.311
459,935.549,3286.585,521.601,18459.093,1735.847,1715.311
460,936.837,2877.623,56.8,18834.272,1735.847,304.498
461,1439.506,3013.447,521.601,17467.114,1735.847,1715.311
462,1370.448,2671.691,56.8,17780.851,1735.847,304.498
463,1439.506,1850.278,56.8,19148.009,1731.701,1715.311
464,556.798,1699.719,521.601,19148.009,1607.762,304.498
465,556.798,1699.719,56.8,17780.851,1549.455,304.498
466,556.798,1699.719,56.8,19148.009,1673.394,304.498
467,556.798,1699.719,56.8,19148.009,1549.455,304.498
468,556.798,1699.719,56.8,19148.009,1673.394,304.498
469,556.798,1699.719,56.8,18718.557,1549.455,304.498
470,556.798,1699.719,56.8,18225.747,1673.394,304.498
471,556.798,1699.719,56.8,19148.009,1549.455,304.498
