Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t51,0.0,-3196.0982589149176,-367.314,-6091.553515479509,0.0,0.0,-2600.0,0.0,5260.674,2780.0,861.0474449618748,0.0,0.0,0.0,0.0
t52,1150.0,-2549.928836754082,-367.314,-5512.127013828498,0.0,0.0,-2600.0,0.0,5260.674,2780.0,1012.256156999654,0.0,0.0,0.0,0.0
t53,996.1898229302542,-4741.062069897454,-367.314,-8430.588284136375,0.0,0.0,-2600.0,0.0,5260.674,2780.0,0.0,0.0,0.0,0.0,0.0
t54,813.0514395167537,-1109.4800296416054,-367.314,-5691.190040129916,0.0,0.0,-2600.0,0.0,5260.674,0.0,1416.9605,0.0,0.0,0.0,0.0
t55,688.4145234137316,-5106.8628782202695,-367.314,-5045.717314641577,0.0,0.0,-2600.0,0.0,5260.674,2780.0,841.4174350942726,0.0,0.0,0.0,0.0
t56,128.62049559731022,-2763.7735832639646,-367.314,-3062.222893255713,0.0,0.0,-2600.0,0.0,5260.674,1107.767679783411,1416.9605,0.0,839.3096206915721,0.0,0.0
t57,0.0,-785.2261632724507,-367.314,-2731.3040095390124,-919.231,0.0,-2600.0,-1200.0,5260.674,2780.0,1416.9605,0.0,739.6376113120782,-657.1785,0.0
t58,-625.5511987214913,0.0,-367.314,-1477.2931001536085,0.0,0.0,-2600.0,-1200.0,5260.674,2780.0,1416.9605,0.0,1141.4652631572335,-657.1785,0.0
t59,-946.0423324469263,0.0,-367.314,0.0,-919.231,0.0,-2600.0,0.0,5260.674,2780.0,1416.9605,0.0,1535.0333456715634,-657.1785,0.0
t60,-1150.0,0.0,-367.314,-907.0769552616406,-919.231,0.0,-2600.0,-52.583895784991604,5260.674,2780.0,1416.9605,2378.221000367678,0.0,-657.1785,0.0
t61,-623.2463570733445,0.0,-367.314,-1086.9828600964508,-919.231,0.0,-2600.0,-1200.0,5260.674,2780.0,1416.9605,1041.9142775480088,2387.315,-657.1785,0.0
t62,-732.3029315788705,-857.1613845664566,-367.314,-1125.0188797818005,0.0,0.0,-2600.0,0.0,5260.674,2780.0,1416.9605,2796.094066984411,2387.315,-657.1785,0.0
t63,-992.021252304289,-335.9318031351087,-367.314,-5651.379787703651,0.0,0.0,-2600.0,-1200.0,5260.674,2780.0,1416.9605,5038.763014748198,422.64244329312174,-657.1785,0.0
t64,-1150.0,-1575.0435218850912,-367.314,-4915.777316245777,0.0,0.0,-2600.0,-1200.0,5260.674,2780.0,1416.9605,5835.934561180432,0.0,-657.1785,0.0
t65,-575.8085072026828,-606.1834735682834,-367.314,-8510.224622963275,0.0,1682.4349612230942,-2600.0,0.0,5260.674,2780.0,1416.9605,3198.0238239741734,0.0,-657.1785,-500.0
t66,-743.1223966937507,-1464.3996430745135,-367.314,-10320.6005,0.0,1687.1795,-2600.0,0.0,5260.674,2780.0,1416.9605,4013.914263301837,0.0,-657.1785,-500.0
t67,-1150.0,-1234.3376808246117,-367.314,-10320.6005,0.0,1349.5443757137552,-2600.0,0.0,5260.674,2780.0,1315.8013758468614,5028.256422312905,0.0,0.0,0.0
t68,-779.0385202214965,-1171.751541539006,-367.314,-10320.6005,0.0,507.72706133447804,-2600.0,0.0,5260.674,2780.0,1416.9605,4580.84643409858,0.0,0.0,0.0
t69,-734.5945151496825,-1445.2116122146804,-367.314,-10320.6005,0.0,0.0,-2600.0,0.0,5260.674,2780.0,1299.2910945348597,4685.379058410703,0.0,0.0,0.0
t70,-584.395948090434,-423.3963588116639,-367.314,-10320.6005,0.0,0.0,-2600.0,0.0,5260.674,2780.0,1416.9605,3439.807042484966,0.0,0.0,0.0
t71,-337.7513743462995,-972.5899192548684,-367.314,-10320.6005,0.0,0.0,-2600.0,0.0,5260.674,2780.0,1416.9605,3036.1746742713763,0.0,0.0,0.0
t72,0.0,-855.5654379341564,-367.314,-10320.6005,0.0,0.0,-2600.0,46.243347621381275,5260.674,2780.0,1356.2289512493123,1762.5236993071912,0.0,0.0,0.0
t73,-1150.0,0.0,-367.314,-10320.6005,919.231,0.0,0.0,0.0,5260.674,2780.0,-1416.9605,-7153.938,-2387.315,-657.1785,0.0
t74,-1150.0,-2442.7397502208396,-367.314,-10102.215451220818,919.231,0.0,0.0,0.0,5260.674,2780.0,-1416.9605,-7153.938,-2387.315,-657.1785,0.0
t75,-1150.0,0.0,-367.314,-10320.6005,919.231,0.0,0.0,0.0,5260.674,2780.0,-1416.9605,-7153.938,-2387.315,-431.309271146475,0.0
t76,-1150.0,-2122.358824355287,-367.314,-10320.6005,919.231,0.0,0.0,0.0,5260.674,2780.0,-1416.9605,-7153.938,-2387.315,-657.1785,0.0
t77,-1150.0,-686.440551393313,-367.314,-10320.6005,919.231,0.0,0.0,0.0,5260.674,2780.0,-1416.9605,-7153.938,-2387.315,-657.1785,0.0
t78,-1150.0,-2388.945442879765,-367.314,-9487.63966199422,919.231,0.0,-118.56159816327964,0.0,5260.674,2780.0,-1416.9605,-7153.938,-2387.315,-657.1785,0.0
t79,-1150.0,-3995.972989059233,-367.314,-9323.564982054868,919.231,0.0,0.0,0.0,5260.674,749.8195700993821,-1416.9605,-7153.938,-2387.315,-657.1785,0.0
t80,-1150.0,-5193.101206694433,-367.314,-8345.347436911616,919.231,0.0,2600.0,1200.0,0.0,0.0,-916.2001895054085,-7153.938,-2387.315,-657.1785,0.0
t81,-1150.0,0.0,0.0,-5004.303030108269,919.231,0.0,2600.0,1200.0,137.4916753520844,0.0,-1416.9605,-7153.938,-2387.315,-657.1785,0.0
