Resource,NQC_derate
Greater_Kramer_Li_Battery_8hr_156_Generic,0.0
Greater_Kramer_Li_Battery_8hr_86,0.0
Greater_Kramer_Li_Battery_8hr_86_Generic,0.0
Greater_Kramer_Solar_103,0.0
Greater_Kramer_Solar_103_Generic,0.0
Greater_Kramer_Solar_123,0.0
Greater_Kramer_Solar_123_Generic,0.0
Greater_Kramer_Solar_156,0.0
Greater_Kramer_Solar_156_Generic,0.0
Greater_Kramer_Solar_86,0.0
Greater_Kramer_Solar_86_Generic,0.0
Greater_LA_Flow_Battery_18,0.0
Greater_LA_Flow_Battery_18_Generic,0.0
Greater_LA_Flow_Battery_30,0.0
Greater_LA_Flow_Battery_30_Generic,0.0
Greater_LA_Flow_Battery_4,0.0
Greater_LA_Flow_Battery_4_Generic,0.0
Greater_LA_Flow_Battery_58,0.0
Greater_LA_Flow_Battery_58_Generic,0.0
Greater_LA_Li_Battery_4hr_18,0.0
Greater_LA_Li_Battery_4hr_18_Generic,0.0
Greater_LA_Li_Battery_4hr_30,0.0
Greater_LA_Li_Battery_4hr_30_Generic,0.0
Greater_LA_Li_Battery_4hr_4,0.0
Greater_LA_Li_Battery_4hr_4_Generic,0.0
Greater_LA_Li_Battery_4hr_58,0.0
Greater_LA_Li_Battery_4hr_58_Generic,0.0
Greater_LA_Li_Battery_8hr_18,0.0
Greater_LA_Li_Battery_8hr_18_Generic,0.0
Greater_LA_Li_Battery_8hr_30,0.0
Greater_LA_Li_Battery_8hr_30_Generic,0.0
Greater_LA_Li_Battery_8hr_4,0.0
Greater_LA_Li_Battery_8hr_4_Generic,0.0
Greater_LA_Li_Battery_8hr_58,0.0
Greater_LA_Li_Battery_8hr_58_Generic,0.0
Greater_LA_Solar_18,0.0
Greater_LA_Solar_18_Generic,0.0
Greater_LA_Solar_30,0.0
Greater_LA_Solar_30_Generic,0.0
Greater_LA_Solar_4,0.0
Greater_LA_Solar_4_Generic,0.0
Greater_LA_Solar_58,0.0
Greater_LA_Solar_58_Generic,0.0
Humboldt_Bay_Offshore_Wind_Asset,0.0
Idaho_Wind_19,0.0
Idaho_Wind_19_Generic,0.0
Inyokern_North_Kramer_Geothermal_156,0.9452270667
Inyokern_North_Kramer_Geothermal_156_Generic,0.9452270667
Inyokern_North_Kramer_Geothermal_9,0.9452270667
Inyokern_North_Kramer_Geothermal_9_Generic,0.9452270667
Morro_Bay_Offshore_Wind_Asset,0.0
New_Mexico_Wind_55,0.0
New_Mexico_Wind_55_Generic,0.0
Northern_California_Biomass_5,0.8673152353
Northern_California_Biomass_5_Generic,0.8673152353
Northern_California_Flow_Battery_100,0.0
Northern_California_Flow_Battery_100_Generic,0.0
Northern_California_Flow_Battery_112,0.0
Northern_California_Flow_Battery_112_Generic,0.0
Northern_California_Flow_Battery_113,0.0
Northern_California_Flow_Battery_113_Generic,0.0
Northern_California_Flow_Battery_114,0.0
Northern_California_Flow_Battery_114_Generic,0.0
Northern_California_Flow_Battery_116,0.0
Northern_California_Flow_Battery_116_Generic,0.0
Northern_California_Flow_Battery_121,0.0
Northern_California_Flow_Battery_121_Generic,0.0
