Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t21,15767.796889661437,1508.2,1238.8898442385732,27290.66829203429,5539.4758326153815,18361.393634926397,735.3942517893124,4439.321362557726,359.2655114270146,140.13707570970377,3813.8119825976983,2490.52756274708,0.0,5126.767501190082,993.7628238906708,553.1176960555749,30.23109260838178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,13712.364601266341,355.3118406245868,109922.13779594029
t22,13969.540287632615,1508.2,1238.8898442385732,24778.557722712387,4321.084986303847,16499.867043657996,490.2628345262083,3792.538700065973,359.2655114270146,140.13707570970377,3813.8119825976983,2183.1736658250425,0.0,5126.767501190082,0.0,368.74513070371665,30.23109260838178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,778.6009597852008,328.7,2546.1132871787686,11758.908843782367,304.39,95922.58646994559
t23,11980.47778093202,1508.2,1238.8898442385732,24067.901475503935,1570.9389469069467,14638.340452389597,245.13141726310414,3145.7560375742196,212.9172442864927,140.13707570970377,3462.7493101302643,2183.1736658250425,0.0,3921.335147098544,0.0,184.37256535185833,30.23109260838178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,778.6009597852008,328.7,1338.5378284517546,11212.121936770356,253.46815937541314,84026.78094020141
t24,9997.354428013057,1464.6861171577273,619.4449221192866,22050.437934677087,0.0,12776.813861121198,0.0,2498.973375082466,0.0,140.13707570970377,3462.7493101302643,414.86503943549064,0.0,3921.335147098544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,778.6009597852008,148.30102066324497,761.8430438060519,9892.182767805061,253.46815937541314,70765.99316197979
t25,12899.610299624863,1508.2,1238.8898442385732,21697.37044813748,4191.970282920123,18228.267951583173,0.0,3195.7855603620906,0.0,140.13707570970377,4867.0,0.0,0.0,712.0341945646655,512.0387103155929,156.71668064111225,25.69642873221487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.6763234280294,686.0966973821919,328.7,1213.549630456033,19150.039343995642,365.10076874171483,91763.88024083321
t26,11758.169953426725,1508.2,619.4449221192866,21697.37044813748,3357.9750208178943,18228.267951583173,208.361704796,3713.2116903555907,142.7666375262617,140.13707570970377,4867.0,0.0,0.0,712.0341945646655,512.0387103155929,313.4333612822245,51.39285746442974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0144851420441,686.0966973821919,328.7,640.2823562800831,17692.923991085503,313.95781766227964,88461.77987565112
t27,10677.235298872332,1508.2,619.4449221192866,21697.37044813748,3357.9750208178943,18228.267951583173,416.723409592,4230.63782034909,142.7666375262617,140.13707570970377,4867.0,0.0,0.0,712.0341945646655,310.2654113489124,366.49906410406084,51.39285746442974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.352646856059,995.6468081680407,81.48235093652835,640.2823562800831,15468.490205087917,406.6759021588704,86211.88038167676
t28,9675.526556342116,1508.2,619.4449221192866,21697.37044813748,3357.9750208178943,16872.17236191001,416.723409592,4748.06395034259,142.7666375262617,140.13707570970377,4867.0,0.0,0.0,712.0341945646655,310.2654113489124,366.49906410406084,60.09390348651152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1681.7435055502324,81.48235093652835,640.2823562800831,13237.368054517348,355.5329510794352,83075.48217436513
t29,8923.34002019446,1508.2,619.4449221192866,21697.37044813748,0.0,16872.17236191001,416.723409592,5265.49008033609,142.7666375262617,70.06853785485188,4867.0,0.0,0.0,0.0,0.0,366.49906410406084,60.09390348651152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2367.8402029324243,162.9647018730567,738.2250382224121,10851.432118605371,304.39,76818.82144689428
t30,8738.083165722071,1508.2,0.0,21697.37044813748,0.0,16872.17236191001,416.723409592,5782.916210329589,323.7462952760617,70.06853785485188,4867.0,0.0,0.0,0.0,0.0,366.49906410406084,60.09390348651152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401463,686.0966973821919,81.48235093652835,1235.8750591714315,8290.023269144338,253.2470489205648,71572.93598368172
t31,8738.083165722071,1508.2,0.0,21697.37044813748,0.0,16872.17236191001,625.085114388,6300.342340323089,504.7259530258617,0.0,4867.0,0.0,0.0,0.0,0.0,523.2157447451731,85.79033221872639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,686.0966973821919,81.48235093652835,1876.1574154515147,6218.622375301722,253.2470489205648,71160.92951017695
t32,10900.480074639996,1508.2,0.0,23707.05890359538,276.0435500152195,18361.393634925007,833.446819184,6817.768470316589,685.7056107756617,59.558257211599994,4867.0,0.0,0.0,0.0,286.0226118095811,679.9324253862853,111.48676095094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,686.0966973821918,162.9647018730567,2516.439771731598,8584.372081739706,253.2470489205648,81620.5555821714
