Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7
,,,,,,,,95,9812.0,12505.0,16969.0,11518.0,3444.0,22913.0,8941.0
,,,,,,,,96,10315.0,12672.0,17194.0,11739.0,3535.0,23375.0,9196.0
,,,,,,,,97,13037.0,14568.0,19773.0,13327.0,4061.0,25935.0,10816.0
,,,,,,,,98,13156.0,15809.0,21455.0,13507.0,4151.0,27701.0,11496.0
,,,,,,,,99,12909.0,16682.0,22642.0,13450.0,4174.0,28368.0,11675.0
,,,,,,,,100,12679.0,16948.0,23003.0,13364.0,4175.0,28111.0,11714.0
,,,,,,,,101,12552.0,17287.0,23465.0,13289.0,4151.0,27550.0,11778.0
,,,,,,,,102,12256.0,17504.0,23757.0,13039.0,4186.0,27106.0,11710.0
,,,,,,,,103,12067.0,17523.0,23784.0,12854.0,4176.0,26626.0,11505.0
,,,,,,,,104,11873.0,17166.0,23299.0,12744.0,4139.0,25898.0,11346.0
,,,,,,,,105,11660.0,17028.0,23112.0,12685.0,4114.0,24929.0,11166.0
,,,,,,,,106,11509.0,16673.0,22629.0,12788.0,4132.0,24134.0,11017.0
,,,,,,,,107,11513.0,16510.0,22409.0,12885.0,4072.0,23692.0,10920.0
,,,,,,,,108,11809.0,16690.0,22651.0,13232.0,4119.0,23912.0,11062.0
,,,,,,,,109,12534.0,17528.0,23791.0,13753.0,4348.0,24891.0,11499.0
,,,,,,,,110,12761.0,18350.0,24906.0,13789.0,4283.0,25660.0,11795.0
,,,,,,,,111,12633.0,18204.0,24707.0,13725.0,4155.0,25555.0,11736.0
,,,,,,,,112,12325.0,17675.0,23991.0,13423.0,4008.0,25473.0,11498.0
,,,,,,,,113,11745.0,16803.0,22806.0,12912.0,3827.0,25223.0,11093.0
,,,,,,,,114,11178.0,15715.0,21330.0,12445.0,3681.0,24590.0,10554.0
,,,,,,,,115,10901.0,14621.0,19843.0,12341.0,3662.0,23690.0,10155.0
