Period_Index,Rep_Period,Rep_Period_Index
770,844,6
771,844,6
772,764,5
773,764,5
774,1039,8
775,764,5
776,1039,8
777,844,6
778,844,6
779,764,5
780,764,5
781,764,5
782,764,5
783,1039,8
784,1039,8
785,1039,8
786,844,6
787,1039,8
788,764,5
789,764,5
790,1039,8
791,1039,8
792,844,6
793,844,6
794,844,6
795,844,6
796,1039,8
797,1039,8
798,844,6
799,764,5
800,764,5
801,764,5
802,764,5
803,1039,8
804,1039,8
805,1039,8
806,764,5
807,764,5
808,764,5
809,2035,24
810,844,6
811,844,6
812,844,6
813,1039,8
814,1039,8
815,844,6
816,764,5
817,1039,8
818,844,6
819,844,6
820,1039,8
821,844,6
822,1039,8
823,844,6
824,844,6
825,764,5
826,2035,24
827,2035,24
828,844,6
829,764,5
830,844,6
831,844,6
832,844,6
833,1039,8
834,844,6
835,844,6
836,764,5
837,764,5
838,764,5
839,764,5
840,2035,24
841,2035,24
842,2035,24
843,844,6
844,844,6
845,844,6
846,2035,24
847,2035,24
848,844,6
849,2035,24
850,2035,24
851,2035,24
852,844,6
853,844,6
854,1039,8
855,844,6
856,1039,8
857,844,6
858,2035,24
859,2035,24
860,2035,24
861,2035,24
862,844,6
863,2035,24
864,1039,8
865,2035,24
866,2035,24
867,2035,24
868,2035,24
869,844,6
870,2035,24
871,2035,24
872,2035,24
873,2035,24
874,2035,24
875,2035,24
876,2035,24
877,2035,24
878,2035,24
879,2035,24
880,2035,24
881,2035,24
882,2035,24
883,2035,24
884,2035,24
885,2035,24
886,844,6
887,844,6
888,2035,24
889,2035,24
890,2035,24
891,2035,24
892,2035,24
893,2035,24
894,2035,24
895,2035,24
896,2035,24
897,2035,24
898,2035,24
899,2035,24
900,2035,24
901,2035,24
902,844,6
903,2035,24
904,2035,24
905,2035,24
906,2035,24
907,2035,24
908,2035,24
909,2035,24
910,2035,24
911,2035,24
912,2035,24
913,2035,24
914,2035,24
915,2035,24
916,2035,24
917,2035,24
918,2035,24
919,2035,24
920,2035,24
921,2035,24
922,2035,24
923,2035,24
924,2035,24
925,2035,24
926,2035,24
927,2035,24
928,2035,24
929,2035,24
930,2035,24
931,2035,24
932,2035,24
933,2035,24
934,2035,24
935,2035,24
936,2035,24
937,2035,24
938,938,7
939,2035,24
940,2035,24
941,2035,24
942,2035,24
943,2035,24
944,2035,24
945,2035,24
946,2035,24
947,2035,24
948,844,6
949,844,6
950,2035,24
951,2035,24
952,2035,24
953,2035,24
954,2035,24
955,2035,24
956,2035,24
957,2035,24
958,2035,24
959,2035,24
960,2035,24
961,2035,24
962,2035,24
963,2035,24
964,2035,24
965,2035,24
966,2035,24
967,2035,24
968,2035,24
969,2035,24
970,2035,24
971,2035,24
972,2035,24
973,2035,24
974,2035,24
975,2035,24
976,2035,24
977,2035,24
978,2035,24
979,1039,8
980,2035,24
981,2035,24
982,2035,24
983,2035,24
984,2035,24
985,2035,24
986,2035,24
987,2035,24
988,2035,24
989,2035,24
990,2035,24
991,2035,24
992,2035,24
993,1039,8
994,844,6
995,2035,24
996,2035,24
997,2035,24
998,2035,24
999,2035,24
1000,764,5
1001,2035,24
1002,844,6
1003,844,6
1004,764,5
1005,764,5
1006,844,6
1007,844,6
1008,764,5
1009,764,5
1010,764,5
1011,764,5
1012,764,5
1013,764,5
1014,764,5
1015,1039,8
1016,844,6
1017,1039,8
1018,764,5
1019,764,5
1020,764,5
1021,764,5
1022,844,6
1023,764,5
1024,764,5
1025,764,5
1026,764,5
1027,1039,8
1028,764,5
1029,1039,8
1030,844,6
1031,844,6
1032,844,6
1033,1039,8
1034,764,5
1035,764,5
1036,764,5
1037,764,5
1038,764,5
1039,1039,8
1040,1039,8
1041,1039,8
1042,764,5
1043,764,5
