Zone,1,2,3,4,5,6,7,Total
t22,4070.136559894783,2281.699426980626,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161092,8460.601845047127,29701.985667640554
t23,4070.136559894783,2281.699426980626,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161092,8460.601845047127,29701.985667640554
t24,4070.136559894783,2281.699426980626,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161092,8460.601845047126,29701.985667640554
t25,4718.2751089928925,2535.3993215866503,1974.4412843523826,6936.095679839999,292.4363904,6339.047478621939,6970.204179465765,29765.89944325963
t26,4718.2751089928925,2535.3993215866503,1974.4412843523826,6936.095679839999,292.4363904,6339.047478621939,6970.204179465765,29765.89944325963
t27,4718.2751089928925,2535.3993215866503,1974.4412843523826,6398.009150279373,292.4363904,6339.047478621938,6970.204179465765,29227.812913699003
t28,4718.2751089928925,2535.3993215866503,1974.4412843523826,5671.2804999960135,292.4363904,6339.047478621939,6970.204179465765,28501.084263415643
t29,4718.2751089928925,2535.3993215866503,1974.4412843523826,4484.9182379440645,292.4363904,6339.047478621938,6970.204179465765,27314.72200136369
t30,4718.2751089928925,2535.3993215866503,1974.4412843523826,2918.180190749541,292.4363904,6339.047478621939,6970.204179465765,25747.98395416917
t31,4718.2751089928925,2488.9790862720674,1600.34655319051,2774.438271936,292.4363904,6339.047478621938,6970.204179465764,25183.727068879172
t32,3405.383976670254,744.0498218363604,91.51643415599999,2774.438271936,116.97455615999999,6339.047478621939,6970.204179465765,20441.614718846322
t33,3405.383976670254,0.0,91.51643415599999,3506.3728953228524,292.4363904,6339.04747862194,6970.204179465765,20604.961354636813
t34,3405.383976670254,0.0,91.51643415599999,6936.095679839999,292.4363904,6339.047478621939,6970.204179465765,24034.684139153956
t35,3405.383976670254,0.0,91.51643415599999,6936.095679839999,292.4363904,6339.047478621939,7192.78213864311,24257.262098331303
t36,3405.383976670254,0.0,91.51643415599999,6936.095679839999,292.4363904,6339.047478621938,7413.866295790138,24478.346255478333
t37,3405.383976670254,0.0,91.51643415599999,6936.095679839999,292.4363904,6440.195185080332,7559.800859663796,24725.42852581038
t38,3405.383976670254,0.0,91.51643415599999,6936.095679839999,292.4363904,6440.195185080332,7494.932213176309,24660.559879322893
t39,3739.7550088327243,0.0,526.6221214218724,6936.095679839999,292.4363904,6440.195185080332,7706.242929704978,25641.347315279905
t40,4718.2751089928925,1537.6496051442655,1974.4412843523826,6936.095679839999,292.4363904,6440.195185080332,7706.242929704978,29605.33618351485
t41,4718.2751089928925,2602.604591680961,1974.4412843523826,6936.095679839999,292.4363904,6440.195185080332,7706.242929704978,30670.291170051543
t42,4718.2751089928925,2535.3993215866503,1974.4412843523826,6936.095679839999,292.4363904,6440.195185080332,7706.242929704979,30603.085899957234
t43,4718.2751089928925,2535.3993215866503,1974.4412843523826,6936.095679839999,292.4363904,6339.047478621937,7706.242929704978,30501.93819349884
t44,4718.2751089928925,2535.3993215866503,1974.4412843523826,6936.095679839999,292.4363904,6339.047478621939,7706.242929704978,30501.93819349884
t45,4718.2751089928925,2535.3993215866503,1974.4412843523826,6936.095679839999,292.4363904,6339.047478621939,7706.242929704978,30501.93819349884
t46,4718.2751089928925,2535.3993215866503,1974.4412843523826,6936.095679839999,292.4363904,6339.047478621939,7706.242929704978,30501.93819349884
t47,4718.2751089928925,2408.549374283638,1974.4412843523826,6936.095679839999,292.4363904,6339.047478621939,7706.242929704978,30375.08824619583
t48,4718.2751089928925,2408.549374283638,1974.4412843523826,6936.095679839999,292.4363904,6339.047478621939,7706.242929704978,30375.08824619583
t49,2258.432027276301,1480.3764972638708,1156.8608807975554,8473.07063894,890.5546457254053,8661.693837163546,9316.837774706551,32237.826301873232
t50,2258.432027276301,1480.3764972638708,1156.8608807975554,8473.07063894,776.7239086831188,8661.693837163546,9316.837774706551,32123.995564830948
t51,2258.432027276301,1480.3764972638708,1156.8608807975554,8473.07063894,776.7239086831188,8661.693837163546,9316.837774706551,32123.995564830948
t52,2258.432027276301,1480.3764972638708,1156.8608807975554,8473.07063894,776.7239086831188,8661.693837163546,9316.837774706551,32123.995564830948
t53,2258.432027276301,1480.3764972638708,1156.8608807975554,8473.07063894,776.7239086831188,8661.693837163542,9316.837774706551,32123.99556483094
t54,2258.432027276301,1440.4878358278424,1156.8608807975554,8473.07063894,776.7239086831188,8661.693837163548,9316.837774706551,32084.106903394917
t55,2258.432027276301,1194.1912939874655,579.0801746278222,8473.07063894,776.7239086831188,8661.693837163548,9316.837774706551,31260.02965538481
t56,1062.193452366653,0.0,0.0,7739.773622769211,320.26265314354976,8661.693837163548,9316.837774706551,27100.76134014951
t57,1046.246422173808,0.0,0.0,7704.583159389999,320.26265314354976,8661.693837163548,9316.837774706551,27049.62384657746
t58,1046.246422173808,0.0,0.0,7704.583159389999,320.26265314354976,8661.693837163548,9316.837774706551,27049.62384657746
t59,1046.246422173808,0.0,0.0,7704.583159389999,306.3495217717749,7449.796804663547,7775.501601966551,24282.477509965676
t60,1046.246422173808,0.0,0.0,7704.583159389999,306.3495217717749,7449.796804663547,9316.837774706551,25823.81368270568
t61,1046.246422173808,0.0,0.0,7704.583159389999,306.3495217717749,8661.693837163548,8283.022643127833,26001.895583626967
t62,1046.246422173808,0.0,0.0,7704.583159389999,155.87245562497472,8661.693837163548,9316.837774706551,26885.23364905888
t63,1046.246422173808,0.0,0.0,7704.583159389999,136.61155230822814,7449.796804663547,8981.612806847512,25318.850745383093
