ELCC_Surface,Resource,ELCC_Axis_Index,ELCC_Axis_Multiplier
Solar_Storage,Northern_California_Solar_116,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_121,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_122,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_126,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_127,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_130,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_132,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_135,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_138,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_141,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_144,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_149,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_150,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_155,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_157,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_158,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_159,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_166,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_172,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_178,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_179,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_180,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_25,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_26,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_29,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_31,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_35,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_38,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_41,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_44,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_5,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_51,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_57,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_68,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_70,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_73,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_76,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_80,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_82,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_83,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_84,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_85,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_92,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_94,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_96,1,1.0394103852082204
Solar_Storage,Riverside_East_Pumped_Storage_59,2,2.089285714285712
Solar_Storage,Riverside_Flow_Battery_129,2,1.8571428571428557
Solar_Storage,Riverside_Flow_Battery_59,2,1.8571428571428557
Solar_Storage,Riverside_Flow_Battery_60,2,1.8571428571428557
Solar_Storage,Riverside_Flow_Battery_9,2,1.8571428571428557
Solar_Storage,Riverside_Li_Battery_4hr_129,2,1.0
Solar_Storage,Riverside_Li_Battery_4hr_59,2,1.0
