Sum Range ID,Index 1,Index 2,MODEL_YEARS,Multiplier
Greater_Imperial_Geothermal_20_Generic_FCDS_constraint,System RA,Greater_Imperial_Geothermal_20_Generic,2035,-1.0
Greater_Imperial_Geothermal_63_FCDS_constraint,System RA,Greater_Imperial_Geothermal_63,2035,-1.0
Greater_Imperial_Geothermal_63_Generic_FCDS_constraint,System RA,Greater_Imperial_Geothermal_63_Generic,2035,-1.0
Greater_Imperial_Li_Battery_4hr_107_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_107,2035,-1.0
Greater_Imperial_Li_Battery_4hr_107_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_107_Generic,2035,-1.0
Greater_Imperial_Li_Battery_4hr_108_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_108,2035,-1.0
Greater_Imperial_Li_Battery_4hr_108_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_108_Generic,2035,-1.0
Greater_Imperial_Li_Battery_4hr_133_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_133,2035,-1.0
Greater_Imperial_Li_Battery_4hr_133_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_133_Generic,2035,-1.0
Greater_Imperial_Li_Battery_4hr_20_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_20,2035,-1.0
Greater_Imperial_Li_Battery_4hr_20_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_20_Generic,2035,-1.0
Greater_Imperial_Li_Battery_4hr_63_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_63,2035,-1.0
Greater_Imperial_Li_Battery_4hr_63_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_4hr_63_Generic,2035,-1.0
Greater_Imperial_Li_Battery_8hr_107_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_107,2035,-1.0
Greater_Imperial_Li_Battery_8hr_107_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_107_Generic,2035,-1.0
Greater_Imperial_Li_Battery_8hr_108_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_108,2035,-1.0
Greater_Imperial_Li_Battery_8hr_108_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_108_Generic,2035,-1.0
Greater_Imperial_Li_Battery_8hr_133_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_133,2035,-1.0
Greater_Imperial_Li_Battery_8hr_133_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_133_Generic,2035,-1.0
Greater_Imperial_Li_Battery_8hr_20_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_20,2035,-1.0
