Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t21,13522.46329866375,1181.8458786839365,1123.9550778807134,30422.80675978905,6385.17785112786,18361.393634926397,490.2628345262083,5140.950457788295,190.2527859106779,258.2,4342.201414418021,3454.6457070809665,0.0,7344.009094057789,993.7628238906718,0.0,181.31327899129826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.215131716094,2758.7,148.30102066324497,1523.6860876121038,14338.955801051297,406.2336812491736,113518.33262002753
t22,11519.216139431746,1073.061171578582,1123.9550778807134,28622.920913795188,4082.9903670682534,16499.867043657996,490.2628345262083,4494.167795296542,116.90548505488194,258.2,4046.6145038522836,2545.029594841723,0.0,7344.009094057789,0.0,0.0,73.88860275545507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.2497127935305,2477.121523795129,148.30102066324497,2031.6569561939482,12575.576606035847,355.3118406245868,101236.30628390366
t23,9550.990209916437,1029.5472887363092,1123.9550778807134,28622.920913795188,2806.871985880756,14638.340452389597,245.13141726310414,3847.3851328047886,21.918221461053886,258.2,4046.6145038522836,1233.8357228974482,0.0,7344.009094057789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,1980.099040214799,148.30102066324497,2793.5,11507.604317453592,304.39,91911.64898034453
t24,7719.310066294021,920.7625816309546,619.4449221192866,27893.437110805728,0.0,12776.813861121198,0.0,3200.602470313035,0.0,258.2,3837.216160762215,1233.8357228974482,0.0,7344.009094057789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,2758.7,148.30102066324497,761.8430438060518,11913.63817291271,253.46815937541314,82047.6169678365
t25,11034.000897104654,1421.1722343157,1123.9550778807134,23796.636724597458,0.0,16872.17236191001,0.0,4309.964830058501,0.0,258.2,4788.986072784639,3233.3419489781045,0.0,5292.679866318544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2758.7,162.9647018730567,640.2823562800831,18013.344283053153,253.2470489205648,94282.98656578918
t26,9759.669999097874,1421.1722343157,504.51015576142674,23796.636724597458,0.0,16872.17236191001,208.361704796,4827.390960052001,0.0,258.2,4788.986072784639,2717.542005938953,0.0,4008.7648108898115,0.0,78.43600299335239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2758.7,244.44705280958505,640.2823562800831,15524.902361916165,253.2470489205648,88986.76001477761
t27,8496.957309666583,1421.1722343157,504.51015576142674,23796.636724597458,0.0,16872.17236191001,416.723409592,5344.817090045501,0.0,258.2,4788.986072784639,2457.8104805723106,0.0,3378.6361636526935,0.0,78.43600299335239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2758.7,247.21764906347164,640.2823562800831,12914.753129217697,355.5329510794352,85054.88225324638
t28,7345.74830215838,1421.1722343157,504.51015576142674,22296.788580873967,0.0,16872.17236191001,485.476590408,5862.243220039,0.0,210.20561356455565,4788.986072784639,2130.183939350166,0.0,3378.6361636526935,0.0,78.43600299335239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.6763234280295,2758.7,328.7,723.6012961694644,10702.78888876861,304.39,80839.41574617798
t29,6476.025335670658,1421.1722343157,0.0,20856.975362376692,0.0,16872.17236191001,693.838295204,6379.6693500325,0.0,140.13707570970377,4788.986072784639,1421.0071841292329,0.0,1590.3199206983927,0.0,104.27205326108856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2758.7,328.7,640.282356280083,8948.115428699268,253.2470489205648,73996.95824170652
t30,5972.5410269407275,1421.1722343157,0.0,20856.975362376692,0.0,16872.17236191001,693.838295204,6897.095480026,61.181369000799975,70.06853785485188,4788.986072784639,389.6367727259523,0.0,0.0,0.0,174.89664741165888,30.918732046626502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,686.0966973821919,81.48235093652835,730.6275915358208,7265.305181681566,253.2470489205648,67569.57992476833
t31,5972.5410269407275,1421.1722343157,0.0,20856.975362376692,0.0,16872.17236191001,902.2,7414.521610019499,242.16102675059997,0.0,4788.986072784639,0.0,0.0,0.0,0.0,305.5521466254674,122.22970690071605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,686.0966973821919,81.48235093652835,1370.9099478159037,6218.622375301724,253.2470489205648,67832.20813069495
t32,5972.5410269407275,1421.1722343157,0.0,22866.663817834593,1999.7447777748766,18361.393634925007,902.2,7931.947740012999,423.14068450039997,0.0,4788.986072784639,440.6923637091227,0.0,257.4467999992785,286.02261180958124,436.207645839276,213.5406817548056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.7855148579558,686.0966973821919,81.48235093652835,2011.1923040959869,6218.622375301723,268.06730793424015,76181.9466427096
t33,11887.623061470358,1421.1722343157,526.5281841106,24876.352273292494,4854.0235471462765,19850.614907940006,902.2,8449.373870006499,604.1203422502,0.0,4788.986072784639,1943.7546970229225,0.0,3062.3005716138305,1130.7210126127056,566.8631450530845,304.85165660889515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.1236765719706,1372.1933947643838,162.9647018730567,2651.47466037607,11233.6297829428,521.3143568548049,102049.1861496113
t34,17851.74637264436,1508.2,1053.0563682212,26886.040728750395,7708.302316517676,21339.836180955004,902.2,8966.8,785.1,59.558257211599994,4867.0,3446.8170303367224,0.0,5867.1543432283825,1975.4194134158301,566.8631450530845,396.1626314629847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.4618382859853,2058.2900921465757,244.44705280958505,2793.5,17452.252158244522,521.3143568548049,128511.52228613872
