Time_Index,Hybrid_Wind_Test
1174,0.836
1175,0.799
1176,0.708
1177,0.346
1178,0.317
1179,0.274
1180,0.199
1181,0.177
1182,0.149
1183,0.113
1184,0.092
1185,0.075
1186,0.059
1187,0.026
1188,0.007
1189,0
1190,0.002
1191,0.043
1192,0.185
1193,0.411
1194,0.46
1195,0.408
1196,0.38
1197,0.281
1198,0.304
1199,0.369
1200,0.374
1201,0.352
1202,0.338
1203,0.338
1204,0.279
1205,0.193
1206,0.139
1207,0.06
1208,0.041
1209,0.025
1210,0.02
1211,0.025
1212,0.042
1213,0.116
1214,0.26
1215,0.382
1216,0.426
1217,0.463
1218,0.473
1219,0.437
1220,0.419
1221,0.47
1222,0.489
1223,0.477
1224,0.437
1225,0.426
1226,0.417
1227,0.361
1228,0.276
1229,0.212
1230,0.163
1231,0.114
1232,0.06
1233,0.032
1234,0.04
1235,0.043
1236,0.047
1237,0.055
1238,0.128
1239,0.271
1240,0.387
1241,0.451
1242,0.445
1243,0.424
1244,0.437
1245,0.501
1246,0.576
1247,0.591
1248,0.561
1249,0.508
1250,0.456
1251,0.383
1252,0.303
1253,0.273
1254,0.22
1255,0.164
1256,0.159
1257,0.164
1258,0.164
1259,0.193
1260,0.222
1261,0.294
1262,0.38
1263,0.451
1264,0.499
1265,0.5
1266,0.48
1267,0.533
1268,0.595
1269,0.651
1270,0.707
1271,0.721
1272,0.712
1273,0.679
1274,0.655
1275,0.606
1276,0.523
1277,0.467
1278,0.458
1279,0.399
1280,0.396
1281,0.366
1282,0.261
1283,0.279
1284,0.331
1285,0.43
1286,0.509
1287,0.558
1288,0.609
1289,0.641
1290,0.684
1291,0.806
1292,0.842
1293,0.805
1294,0.772
1295,0.788
1296,0.808
1297,0.821
1298,0.822
1299,0.82
1300,0.783
1301,0.773
1302,0.727
1303,0.62
1304,0.579
1305,0.539
1306,0.488
1307,0.486
1308,0.562
1309,0.597
1310,0.597
1311,0.604
1312,0.615
1313,0.642
1314,0.67
1315,0.71
1316,0.835
1317,0.85
1318,0.784
1319,0.813
1320,0.809
1321,0.805
1322,0.8
1323,0.743
1324,0.683
1325,0.624
1326,0.539
1327,0.43
1328,0.376
1329,0.397
1330,0.43
1331,0.448
1332,0.412
1333,0.426
1334,0.47
1335,0.519
1336,0.551
1337,0.559
1338,0.55
1339,0.577
1340,0.6
1341,0.484
1342,0.39
1343,0.264
1344,0.186
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0.002
1354,0.027
1355,0.021
1356,0.005
1357,0.068
1358,0.006
1359,0.038
1360,0.045
1361,0.031
1362,0.007
1363,0.011
1364,0.003
1365,0.042
1366,0.099
1367,0.032
1368,0.063
1369,0.069
1370,0.054
1371,0.092
1372,0.034
1373,0.002
1374,0.006
1375,0.036
1376,0.002
1377,0
1378,0
1379,0
1380,0
1381,0.011
1382,0.184
1383,0.037
1384,0.032
1385,0.091
1386,0.023
1387,0.055
1388,0.305
1389,0.408
1390,0.326
1391,0.193
1392,0.187
1393,0.1
1394,0.083
1395,0.152
1396,0.188
1397,0.113
1398,0.253
1399,0.267
1400,0.124
1401,0.078
1402,0.033
1403,0.012
1404,0.044
1405,0.078
1406,0.025
1407,0.049
1408,0.259
1409,0.623
1410,0.322
1411,0.095
1412,0.078
1413,0.032
1414,0.017
1415,0.059
1416,0.088
1417,0.133
1418,0.223
1419,0.133
1420,0.183
1421,0.212
1422,0.253
1423,0.307
1424,0.18
1425,0.195
1426,0.228
1427,0.185
1428,0.203
1429,0.217
1430,0.278
1431,0.255
1432,0.375
1433,0.433
1434,0.401
1435,0.58
1436,0.704
1437,0.809
1438,0.827
1439,0.853
1440,0.874
1441,0.857
1442,0.859
1443,0.809
1444,0.729
1445,0.571
1446,0.49
1447,0.416
1448,0.391
1449,0.391
1450,0.364
1451,0.31
1452,0.335
1453,0.438
1454,0.554
1455,0.622
1456,0.677
1457,0.747
1458,0.816
1459,0.736
1460,0.696
1461,0.749
1462,0.721
1463,0.603
1464,0.46
1465,0.389
1466,0.312
1467,0.279
1468,0.256
1469,0.253
1470,0.245
1471,0.229
1472,0.229
1473,0.227
1474,0.199
1475,0.157
1476,0.176
1477,0.266
1478,0.46
1479,0.581
1480,0.623
1481,0.627
1482,0.66
1483,0.712
1484,0.75
1485,0.739
1486,0.666
1487,0.56
1488,0.452
1489,0.355
1490,0.369
1491,0.296
1492,0.249
1493,0.217
1494,0.177
1495,0.095
1496,0.017
1497,0.001
1498,0
1499,0
1500,0.001
1501,0.024
1502,0.104
1503,0.262
1504,0.379
1505,0.431
1506,0.431
1507,0.395
1508,0.301
1509,0.187
1510,0.132
1511,0.16
1512,0.074
1513,0.045
1514,0.08
1515,0.114
1516,0.119
1517,0.095
1518,0.116
1519,0.251
1520,0.201
1521,0.176
1522,0.17
1523,0.192
1524,0.24
1525,0.273
1526,0.341
1527,0.415
1528,0.492
1529,0.544
1530,0.539
1531,0.499
1532,0.523
1533,0.539
1534,0.442
1535,0.356
1536,0.236
1537,0.136
1538,0.031
1539,0.005
1540,0.007
1541,0.039
1542,0.074
1543,0.106
1544,0.056
1545,0.003
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0.001
1569,0.011
1570,0.041
1571,0.083
1572,0.143
1573,0.241
1574,0.282
1575,0.314
1576,0.376
1577,0.417
1578,0.486
1579,0.602
1580,0.745
1581,0.779
1582,0.832
1583,0.809
1584,0.848
1585,0.817
1586,0.78
1587,0.799
1588,0.832
1589,0.865
1590,0.853
1591,0.832
1592,0.808
1593,0.805
1594,0.804
1595,0.807
1596,0.77
1597,0.749
1598,0.744
1599,0.765
1600,0.82
1601,0.912
1602,0.929
1603,0.966
1604,0.978
1605,0.959
1606,0.888
1607,0.873
1608,0.873
1609,0.87
1610,0.836
1611,0.697
1612,0.635
1613,0.631
1614,0.595
1615,0.598
1616,0.638
1617,0.702
1618,0.812
1619,0.832
1620,0.84
1621,0.908
1622,0.912
1623,0.924
1624,0.948
1625,0.927
1626,0.918
1627,0.913
1628,0.865
1629,0.785
1630,0.746
1631,0.723
1632,0.661
1633,0.648
1634,0.638
1635,0.608
1636,0.466
1637,0.456
1638,0.437
1639,0.326
1640,0.359
1641,0.41
1642,0.423
1643,0.481
1644,0.54
1645,0.579
1646,0.597
1647,0.628
1648,0.699
1649,0.746
1650,0.728
1651,0.628
1652,0.612
1653,0.597
1654,0.63
1655,0.724
1656,0.778
1657,0.787
1658,0.804
1659,0.818
1660,0.83
1661,0.834
1662,0.822
1663,0.815
1664,0.821
1665,0.864
1666,0.891
1667,0.858
1668,0.786
1669,0.716
1670,0.657
1671,0.66
1672,0.68
1673,0.742
1674,0.756
1675,0.761
1676,0.753
1677,0.738
1678,0.74
1679,0.74
1680,0.733
1681,0
1682,0
1683,0.006
1684,0.021
1685,0.03
1686,0.021
1687,0.008
1688,0.006
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0.011
1703,0.065
1704,0.132
1705,0.165
1706,0.183
1707,0.206
1708,0.234
1709,0.266
1710,0.375
1711,0.443
1712,0.524
1713,0.514
1714,0.588
1715,0.65
1716,0.643
1717,0.636
1718,0.641
1719,0.604
1720,0.585
1721,0.538
1722,0.517
1723,0.581
1724,0.625
1725,0.62
1726,0.652
1727,0.684
1728,0.702
1729,0.732
1730,0.731
1731,0.723
1732,0.728
1733,0.71
1734,0.734
1735,0.756
1736,0.745
1737,0.7
1738,0.715
1739,0.688
1740,0.616
1741,0.527
1742,0.451
1743,0.388
1744,0.36
1745,0.349
1746,0.361
1747,0.314
1748,0.281
1749,0.282
1750,0.271
1751,0.289
1752,0.31
1753,0.33
1754,0.319
1755,0.3
1756,0.315
1757,0.336
1758,0.3
1759,0.262
1760,0.221
1761,0.102
1762,0.035
1763,0.01
1764,0.001
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0.007
1771,0.001
1772,0.005
1773,0.014
1774,0.014
1775,0.019
1776,0.009
1777,0.001
1778,0.009
1779,0.001
1780,0
1781,0.007
1782,0.007
1783,0.012
1784,0.009
1785,0.001
1786,0
