Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t27,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,-1687.1795,-5769.54148890273,1477.4743301855449,10521.673999999999,2439.2623940700205,2068.7697030439776,-7153.938,-4774.3150000000005,-1314.1785,500.0
t28,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,-1687.1795,-4576.25718047545,1195.5126773569284,10521.673999999999,4380.061705390502,1770.802673767978,-7153.938,-4774.3150000000005,-1314.1785,500.0
t29,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,-1687.1795,-4097.07676717472,1428.0296553267658,10521.673999999999,5560.0,1995.9004044358205,-7153.938,-4774.3150000000005,-1314.1785,500.0
t30,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,-1687.1795,-3505.682638452627,1949.879160451495,10521.673999999999,4552.6799531963525,2208.6317252785184,-7153.938,-4774.3150000000005,-1314.1785,500.0
t31,-4600.0,-4268.665177623312,-511.5888092218984,-20641.6005,1838.231,-1687.1795,-4358.02745838102,2400.0,10521.673999999999,3500.3367438684418,1789.9139112111973,-7153.938,-4774.3150000000005,-1314.1785,500.0
t32,-4600.0,-5301.667160435494,-511.5888092218984,-20641.6005,1838.231,-1687.1795,0.0,2400.0,10521.673999999999,5267.874628007139,0.0,-7153.938,-4774.3150000000005,-1314.1785,500.0
t33,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,-96.51576009875544,3592.17834257035,2400.0,6514.552279848637,3731.843603900975,-1217.3621388379484,-7153.938,-4774.3150000000005,-1314.1785,0.0
t34,-4600.0,0.0,0.0,-19794.8937130745,1838.231,0.0,3711.3842451441387,2400.0,1553.4750325353402,5364.44975742299,-1060.1220132680978,-7153.938,-4774.3150000000005,-1314.1785,0.0
t35,-4600.0,0.0,0.0,-20641.6005,1838.231,0.0,0.0,94.71570643247213,1782.16083544419,1519.1581804490584,-1125.663629663502,-6007.861062015351,-4774.3150000000005,-1314.1785,0.0
t36,-2999.984631519399,0.0,0.0,-20641.6005,1838.231,0.0,-2690.6702428816347,0.0,2143.8673192497754,0.0,180.27505944158628,-5031.802979231148,-4774.3150000000005,-1314.1785,0.0
t37,-590.9406976990134,0.0,0.0,-20641.6005,1838.231,0.0,0.0,0.0,1473.8494553448227,2026.006700852694,1943.8197859771583,-4908.481584726015,-4774.3150000000005,-1314.1785,0.0
t38,-1947.6513409946888,0.0,0.0,-20641.6005,1838.231,0.0,-1891.9757280863382,0.0,1159.8701755310476,1040.5652149897278,0.0,-1527.4524190866573,-4774.3150000000005,-1314.1785,0.0
t39,-41.72466923113916,0.0,0.0,-20185.676614843574,1838.231,0.0,0.0,0.0,1136.3870217724887,3356.80364759699,1561.0587528386607,-1624.7851837893752,-4774.3150000000005,-1314.1785,0.0
t40,-1204.0735797720472,0.0,0.0,-20641.6005,1838.231,1662.9848868113356,0.0,0.0,3255.6923351867677,5560.0,-330.7127896473519,0.0,-4774.3150000000005,-1314.1785,-500.0
t41,-537.0343512319986,0.0,0.0,-20056.132907814284,1838.231,488.7541707275702,0.0,0.0,10521.673999999999,5560.0,0.0,-947.4587428918837,-4774.3150000000005,-1314.1785,-500.0
t42,-825.2881780699901,0.0,0.0,-20641.6005,1838.231,0.0,-695.8610319735507,0.0,10521.673999999999,5560.0,0.0,-1931.470120853264,-4774.3150000000005,-1314.1785,-212.25107994137997
t43,-825.067820942744,0.0,0.0,-20641.6005,1838.231,0.0,-1101.582286141972,0.0,10521.673999999999,5560.0,0.0,-539.3352120512706,-4774.3150000000005,-1314.1785,0.0
t44,-765.4208865122691,0.0,0.0,-20641.6005,1838.231,0.0,-879.7372165156823,0.0,10521.673999999999,5560.0,0.0,0.0,-4774.3150000000005,-1314.1785,0.0
t45,-1067.4397923070094,0.0,0.0,-20641.6005,1838.231,0.0,-1030.430128853334,0.0,10521.673999999999,5560.0,0.0,-545.5818430241396,-4774.3150000000005,-1314.1785,0.0
t46,-1605.3594968903706,0.0,0.0,-20641.6005,1838.231,0.0,-2168.290232073906,0.0,10521.673999999999,5560.0,-505.425624757983,0.0,-4774.3150000000005,-1314.1785,0.0
t47,-1925.8511252416831,809.0693331934193,0.0,-20641.6005,1838.231,0.0,-3816.2240261704014,0.0,10521.673999999999,5560.0,0.0,0.0,-4774.3150000000005,-327.5888511967033,0.0
t48,-3167.9379951426754,984.7051507242735,0.0,-20641.6005,1838.231,0.0,-3969.971860683051,0.0,10521.673999999999,5560.0,-1455.063005490102,0.0,-4774.3150000000005,0.0,0.0
t49,0.0,0.0,0.0,-13052.766287692895,0.0,0.0,-10400.0,-985.1095396045184,8733.754267028271,0.0,2020.5700919120138,0.0,-3354.499856375883,-1314.1785,0.0
t50,-18.52908642264897,0.0,0.0,-11374.218262214552,0.0,0.0,-10400.0,-1595.9162808796546,7540.310905964898,0.0,2833.9605,0.0,-1464.8518622052777,-1314.1785,0.0
t51,0.0,0.0,0.0,-9642.28795334631,-352.7659520180957,0.0,-10400.0,-1541.779447990139,5105.151376845452,0.0,2833.9605,0.0,0.0,-872.8441184958516,0.0
t52,0.0,0.0,0.0,-8180.088105155035,-1377.550798985034,0.0,-10400.0,-1887.534431822491,4194.747707016369,0.0,2833.9605,0.0,0.0,-26.676903141019647,0.0
t53,0.0,0.0,0.0,-8870.670045367846,-496.7788219084249,0.0,-10400.0,-1680.0496246765417,4123.184556617129,0.0,1687.0970955292587,887.9126494179121,0.0,0.0,0.0
t54,0.0,0.0,0.0,-8283.906304905662,-1169.3983385441427,0.0,-10400.0,-859.3522439770526,4138.333687692997,0.0,2833.9605,961.2196620697149,0.0,-307.5120333585192,0.0
t55,0.0,0.0,0.0,-8007.374869438867,-767.0252616885601,0.0,-10400.0,0.0,6905.148534898919,0.0,2833.9605,0.0,0.0,-587.4407337632612,0.0
t56,0.0,0.0,-459.8336406212844,-11780.588594535358,-75.64294173163927,0.0,-10400.0,-1930.5045788071045,9628.615473189573,0.0,2833.9605,0.0,0.0,-1085.0059370197682,0.0
