Time_Index,Biomass,CA_NW_Coal,CA_Natural_Gas,CA_Natural_Gas_CCS_100,CA_Natural_Gas_CCS_90,CA_Natural_Gas_CCS_95,NW_Natural_Gas,SW_Coal_Fuel,SW_Natural_Gas,Uranium,None
13,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
14,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
15,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
16,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
17,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
18,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
19,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
20,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
21,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
22,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
23,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
24,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
25,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
26,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
27,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
28,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
29,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
30,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
31,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
32,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
33,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
34,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
35,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
36,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
37,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
38,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
39,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
40,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
41,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
42,15.0,5.093083200000001,8.1845348933,6.5169269933,6.6836877833,6.6003073883,4.8398372021,1.585909,4.9280471209,0.710349,0.0
