Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,fom_per_mwyr,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,LINK_STAGES
CA_S_landbasedwind_class3_advanced_7,3,1,0,0.0,7,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,142647.0,114.9,1.165,124.5,79.959,29050.973,610407.565,0.021,113597.0,0.2894405534678023,1
CA_S_landbasedwind_class3_advanced_8,3,1,0,0.0,8,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,135160.0,421.9,1.165,595.25,95.349,21563.56,453084.115,0.927,113597.0,0.2144242707234924,1
CA_S_landbasedwind_class3_advanced_9,3,1,0,0.0,9,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,135298.0,345.8,1.165,383.5,90.852,21701.173,455974.484,0.576,113597.0,0.2472664677279318,1
CA_S_utilitypv_class1_advanced_1,3,1,0,0.0,1,0.0,0.0,0.0,CA_S,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,67007.0,20729.3,1.095,3998.694,26.741,7316.233,153723.372,4.64,59691.0,0.2597724670552847,1
CA_S_utilitypv_class1_advanced_2,3,1,0,0.0,2,0.0,0.0,0.0,CA_S,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,74396.0,20740.6,1.095,3799.114,29.195,14705.681,308985.07,2.936,59691.0,0.2649766431354534,1
CA_S_utilitypv_class1_advanced_3,3,1,0,0.0,3,0.0,0.0,0.0,CA_S,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,83275.0,20808.4,1.095,3217.612,33.044,23584.299,495538.742,1.876,59691.0,0.2899937969427555,1
CA_S_utilitypv_class1_advanced_4,3,1,0,0.0,4,0.0,0.0,0.0,CA_S,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,93428.0,20663.1,1.095,2738.18,36.978,33737.939,708884.915,1.739,59691.0,0.2953161813636064,1
CA_S_utilitypv_class1_advanced_5,3,1,0,0.0,5,0.0,0.0,0.0,CA_S,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,104052.0,20679.4,1.095,2887.817,40.421,44361.506,932103.818,1.435,59691.0,0.292051808752977,1
MT_WY_CO_landbasedwind_class3_advanced_0,4,1,0,0.0,0,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,121323.0,110257.4,0.985,71356.5,31.482,25278.133,531129.901,0.156,96045.0,0.497278082764626,1
MT_WY_CO_landbasedwind_class3_advanced_1,4,1,0,0.0,1,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,123276.0,22709.6,0.985,15425.0,28.172,27231.032,572164.401,0.093,96045.0,0.5724334516332176,1
MT_WY_CO_landbasedwind_class3_advanced_2,4,1,0,0.0,2,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,122158.0,58567.0,0.985,38490.25,35.217,26113.276,548679.918,0.171,96045.0,0.4462959617472905,1
MT_WY_CO_landbasedwind_class3_advanced_3,4,1,0,0.0,3,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,137253.0,74369.3,0.985,50794.25,34.6,41208.577,865856.504,0.079,96045.0,0.5092758591763468,1
MT_WY_CO_landbasedwind_class3_advanced_4,4,1,0,0.0,4,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,143031.0,71684.3,0.985,50876.75,39.0,46986.85,987259.736,0.088,96045.0,0.4783966559357084,1
MT_WY_CO_landbasedwind_class3_advanced_5,4,1,0,0.0,5,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,125339.0,61351.7,0.985,42649.25,39.789,29294.407,615520.409,0.181,96045.0,0.4035093183706872,1
MT_WY_CO_landbasedwind_class3_advanced_6,4,1,0,0.0,6,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,148491.0,83263.5,0.985,59220.5,45.933,52446.087,1101965.793,0.129,96045.0,0.4615358854159089,1
