Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t458,0.0,1508.2,0.0,19836.13677000057,0.0,15994.483382950364,902.2,7673.234675016493,658.0025041778312,119.11651442319999,4305.299724052,0.0,0.0,0.0,0.0,589.6251026898298,329.6488658056725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.8660807159463,1026.1914890869007,101.76473641698158,2793.5,9106.935029264718,519.9856586834459,65878.19053328395
t459,0.0,1508.2,0.0,19836.13677000057,0.0,17483.704655965365,675.4652796095033,7026.45201252474,687.7878454969751,139.0834855768,4305.299724052,0.0,0.0,0.0,0.0,429.74054840193014,329.6488658056725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.9035147732125,1331.519672979376,132.05464547393277,2793.5,11792.313307124827,465.856716900988,69472.66704468588
t460,0.0,1508.2,0.0,19836.13677000057,0.0,17483.704655965365,430.3338623463992,6379.669350032987,638.7517328594781,139.0834855768,4305.299724052,0.0,0.0,0.0,0.0,319.7691085757993,264.55839001196387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.5939365273757,1642.9704645057113,162.9498328223355,1876.2797600648532,13452.226298434274,411.881126526261,69512.40849830217
t461,0.0,1508.2,0.0,19836.13677000057,0.0,17483.704655965365,185.20244508329506,5732.886687541233,425.8344885729854,139.0834855768,4305.299724052,0.0,0.0,0.0,0.0,159.88455428789965,163.80508828256467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.937345978436,1122.3069885655493,31.500465639854326,1008.4955565276828,12127.485432004893,358.05888755926503,65375.822575638376
t462,0.0,1508.2,0.0,19836.13677000057,0.0,17483.704655965365,0.0,5086.10402504948,212.9172442864927,139.0834855768,4305.299724052,0.0,0.0,0.0,0.0,0.0,41.15954743972883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.4479793080138,691.5043557399356,32.10574393130588,248.40764837518125,8777.506926811162,304.39,58961.96810653602
t463,0.0,1508.2,0.0,19836.13677000057,0.0,17483.704655965365,0.0,4439.321362557726,0.0,139.0834855768,4305.299724052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0973641528684,329.8186144279141,45.22180372568469,365.08420205747484,7059.074497447251,250.87446384846592,56189.91694381212
t464,0.0,1508.2,0.0,20759.180811794693,0.0,17483.704655965365,208.361704796,4956.747492551226,0.0,139.0834855768,4305.299724052,0.0,0.0,0.0,0.0,135.90187122452377,39.635352687975235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.3997366946201,335.94122206177366,78.53810423989367,623.630938121439,10036.341718553023,251.02781525619687,61424.99463357552
t465,4357.43527937271,1508.2,163.81544766820002,22768.869267252594,2815.5210597139035,18972.925928980363,416.723409592,4956.747492551226,0.0,139.0834855768,4305.299724052,735.0753333723999,0.0,1539.5942581472823,844.6984008031237,251.97189295094802,39.635352687975235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.3550969332688,577.7422615151472,112.4596830455542,887.2472180297948,13071.98672830793,251.18116666392783,79417.56848721714
t466,9112.453377652,1508.2,690.3436317788,24778.557722710495,5669.799829085303,20462.14720199536,416.723409592,4956.747492551226,115.87010374505248,198.6417427884,4586.149862026,2238.1376666861997,0.0,4692.315853457447,1689.3968016062472,159.88455428789965,39.635352687975235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.9634448688146,925.9286988446402,146.98654014266629,1101.1010867435853,16166.009526711967,502.5156847355866,100999.50958469765
t467,15076.576688826,1508.2,1216.8718158894,26788.246178168396,8524.078598456703,21951.36847501036,416.723409592,4956.747492551226,265.52449107716643,258.2,4867.0,3741.2,0.0,7845.037448767611,2371.333247139006,159.88455428789965,39.635352687975235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.2247805012574,1280.237743807993,182.1186755312299,1092.1640171731588,19318.410113765138,449.6135542149764,123294.39663744747
