Constraint,CapRes_1,CapRes_2,CapRes_3,CapRes_4
t119,0.0,46.99927221810535,40.839400210625094,39.5605803096506
t120,0.0,54.403671238116296,48.09601203526285,0.0
t121,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,2.816416156096292
t150,0.0,0.0,0.0,9.298599768540626
t151,0.0,0.0,0.0,9.298599768540626
t152,0.0,0.0,0.0,0.2100440970687962
t153,0.0,0.0,0.0,0.21004409706879748
t154,0.0,0.0,0.0,0.21004409706879748
t155,0.0,0.0,0.0,0.21004409706879748
t156,0.0,0.0,0.0,0.21004409706879748
t157,0.0,0.0,0.0,0.21004409706879654
t158,0.0,0.0,0.0,0.19836611072266205
t159,0.0,0.0,0.0,0.1983661107226639
t160,0.0,0.0,0.0,0.0
t161,0.0,0.0,0.0,0.0
t162,0.0,0.0,0.0,0.0
t163,0.0,0.0,0.0,0.0
t164,0.0,0.0,0.0,0.0
t165,0.0,0.0,0.0,0.0
t166,0.0,0.0,0.0,0.0
t167,0.0,0.0,0.0,0.0
t168,0.0,0.0,0.0,0.0
t169,0.0,51.38481403136619,45.545978321338396,48.22285505221954
t170,0.0,53.899226280821615,49.948360842139344,50.73726730167497
t171,0.0,66.13334866876936,64.93657614217096,67.36290447278947
t172,0.0,74.15158812399234,72.36143761236907,74.78776594298756
t173,0.0,74.15158812399234,79.14826473835915,81.57459306897762
t174,0.0,74.76117381655776,79.14826473835913,81.5745930689776
t175,0.0,74.15158812399234,77.89645030621958,80.32277863683805
t176,1.3330906421802062,70.80421835097671,67.94069252917366,74.51428216767627
t177,1.3330906421802062,74.15158812399234,68.07566474167007,73.77683681445427
t178,1.3330906421802062,74.15158812399234,68.07566474167007,73.77683681445428
t179,1.3330906421802062,74.15158812399234,68.07566474167007,70.70295081674992
t180,1.3330906421802062,74.15158812399234,67.94069252917366,73.77683681445428
t181,1.3330906421802062,74.15158812399234,67.94069252917367,73.77683681445428
t182,1.3330906421802062,73.81565816703456,67.94069252917366,70.36702085979215
t183,-0.0,63.633894140177766,62.241679150150254,64.66800748076874
t184,0.0,58.987753518528656,57.16274069328009,57.95164715281571
t185,0.0,54.74290465383954,52.61005138791632,53.39895784745191
t186,0.0,54.742904653839865,50.73088388978975,53.398957847451975
t187,0.0,53.367806526436944,45.545978321338396,47.97230665195688
t188,0.0,53.36780652643693,45.54597832133838,47.97230665195687
t189,0.0,51.38481403136618,45.54597832133839,47.97230665195687
t190,0.0,50.85075234571532,45.54597832133838,47.97230665195686
t191,0.0,51.38481403136617,45.54597832133839,47.97230665195687
t192,0.0,51.38481403136618,45.54597832133839,47.97230665195687
t193,0.0,0.0,0.0,0.0
t194,0.0,0.0,0.0,0.0
t195,0.0,0.0,0.0,0.0
t196,0.0,0.0,0.0,0.0
t197,0.0,0.0,0.0,0.0
t198,0.0,0.0,0.0,0.0
t199,0.0,0.0,0.0,0.0
t200,0.0,0.0,0.0,0.0
t201,0.0,0.0,0.0,0.0
t202,0.0,0.0,0.0,0.0
t203,0.0,0.0,0.0,0.0
t204,0.0,0.0,0.0,0.9600518877790184
t205,0.0,0.0,0.0,0.9600518877790196
t206,0.0,0.0,0.0,0.12266685076558402
t207,0.0,0.0,0.0,0.0
t208,0.0,0.0,0.0,0.0
t209,0.0,0.0,0.0,0.0
t210,0.0,0.0,0.0,0.0
t211,0.0,0.0,0.0,0.0
t212,0.0,0.0,0.0,0.0
t213,0.0,0.0,0.0,0.0
t214,0.0,0.0,0.0,0.0
t215,0.0,0.0,0.0,0.0
t216,0.0,0.0,0.0,0.0
t217,0.0,0.0,0.0,0.0
t218,0.0,0.0,0.0,0.0
t219,0.0,0.0,0.0,0.0
t220,0.0,0.0,0.0,0.0
t221,0.0,0.0,0.0,0.0
t222,0.0,0.0,0.0,0.0
t223,0.0,0.0,0.0,0.0
t224,0.0,0.0,0.0,0.0
t225,0.0,0.0,0.0,0.0
t226,0.0,0.0,0.0,0.0
t227,0.0,0.0,0.0,0.0
t228,0.0,0.0,0.0,0.0
t229,0.0,0.0,0.0,0.0
t230,0.0,0.0,0.0,0.0
t231,0.0,0.0,0.0,0.0
t232,0.0,0.0,0.0,0.0
t233,0.0,0.0,0.0,0.0
t234,0.0,0.0,0.0,0.0
t235,0.0,0.0,0.0,0.0
t236,0.0,0.0,0.0,0.0
t237,0.0,0.0,0.0,0.0
t238,0.0,0.0,0.0,0.0
t239,0.0,0.0,0.0,0.0
t240,0.0,0.0,0.0,0.0
t241,923.2329410517071,984.7967607155257,0.0,2.4263283306184804
t242,928.1894046458935,989.7532243097123,969.4517732640082,972.6112261376363
t243,928.189404645894,989.7532243097124,971.9118791437703,975.0713320173982
t244,928.189404645894,995.8171827740122,977.9758376080699,981.135290481698
t245,1094.3731565742412,1169.003837204056,1151.162492038114,1154.321944911742
t246,1160.8887267028845,1235.5194073326995,1217.6780621667574,1220.8375150403856
t247,1094.3731565742412,1162.0009347023595,1144.1595895364173,1147.3190424100453
t248,929.1210868838467,991.3203138336264,975.4463804180206,981.9979534144397
t249,929.0745027719485,989.7471683751651,973.8732349595591,975.0996688070582
t250,928.1894046458933,988.8620702491102,971.1927454797798,979.5112917723717
t251,929.0745027719486,989.7471683751654,972.0778436058348,980.396389898427
t252,929.1210868838467,989.7937524870637,972.8519964338245,988.551383283068
t253,57579.55424353075,57647.182021658875,57630.24026560562,57645.93965245487
t254,58881.584871873354,58955.169985905224,58938.228229851986,58953.92761670123
t255,57579.55424353075,57655.16507926593,979.7731528898054,991.7617206754834
t256,57579.55424353075,57655.16507926593,0.0,15.699386849243403
t257,57579.55424353075,57655.16507926593,0.0,10.509222441160444
t258,1161.569846449329,1229.1976245774472,0.0,6.978975717719165
t259,928.1894046458938,989.7532243097124,0.0,6.978975717719165
t260,928.1894046458935,989.7532243097123,0.0,6.978975717719165
t261,928.1894046458935,989.7532243097123,0.0,6.978975717719165
t262,928.189404645894,987.3490533526009,0.0,6.978975717719165
t263,928.1894046458935,987.3490533526011,0.0,6.978975717719165
t264,928.1894046458935,987.9715686137921,0.0,22.099312096607953
t265,0.0,0.0,0.0,5.546011190426183
t266,0.0,0.0,0.0,8.49019673385866
t267,0.0,14.772483159722714,0.0,16.50181919970535
t268,0.0,15.33812388338742,0.0,17.292023944628546
t269,0.0,18.099185088240628,5.228300679218655,22.520324623847202
t270,0.0,20.505745496410874,7.8382479177422,25.130271862370744
t271,0.0,15.77228100042568,2.9013965914037008,24.488724284128836
t272,0.0,15.873933415605892,0.0,20.64307771905812
t273,0.0,8.053290291857076,0.0,2.5406826649278282
t274,0.0,7.689834608910986,0.0,2.177226981981736
t275,0.0,8.053290291857085,0.0,2.8372427524466906
t276,0.0,15.873933415605892,0.0,8.318546292592032
t277,0.0,31.121931637027977,15.24799822142208,23.566544514014108
t278,0.0,31.121931637027977,15.247998221422085,18.55322418084483
t279,0.0,29.748602672752778,14.225755114947052,23.409669143075124
t280,0.0,25.756845915952464,13.814529574596282,16.758018126274
t281,0.0,24.002571070722865,13.546744123736612,16.490232675414337
t282,0.0,22.714246587255886,12.258419640269635,15.201908191947359
t283,0.0,15.33812388338742,2.6785982806325257,5.62208683231024
t284,0.0,10.863803945236599,0.0,6.354355646784273
t285,0.0,15.33812388338742,2.6785982806325186,5.6220868323102335
t286,0.0,15.338123883387416,4.969359295873983,0.0
t287,0.0,12.159534879365049,0.0,7.479032741384563
t288,0.0,20.50574549641087,14.428752781434033,17.645285856975715
t289,0.0,57.332590478745196,47.187381949391,51.83918461701418
t290,0.0,72.2247858762578,62.04688146573819,71.79636392059477
