Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3,EndCap_p4,EndCap_p5,EndCap_p6,EndCap_p7,EndCap_p8,EndCap_p9,EndCap_p10,EndCap_p11,EndCap_p12,EndCap_p13,EndCap_p14,EndCap_p15,EndCap_p16,EndCap_p17
NM_naturalgas_combustion_turbine_fframe_moderate_0,5,0.0,1000.6209161592415,1501.2491026356952,1501.2491026356952,1501.249102635696,1501.2491026356952,1501.2491026356947,1477.4605704142327,1501.2491026356947,1501.2491026356945,1495.3805161384191,1501.249102635695,1501.2491026356956,1501.249102635695,1435.0381110706485,1501.2491026356959,1501.249102635694,1501.249102635694
NM_nuclear_nuclear__large_moderate_0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,6,0.0,7391.209040631046,18342.32852659903,16027.200573220995,18754.523672778094,17421.588880329884,18136.66739908521,18543.258039977372,18137.121223092734,19169.701532573195,18400.371308386904,15926.952489641812,18416.504430666882,17422.867330796907,16207.490002994902,18690.67688318421,18299.479390109,19450.547665838574
PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNW_naturalgas_combustion_turbine_fframe_moderate_0,6,0.0,0.0,367.7019132822091,7173.549874876198,0.0,5773.534349949901,0.0,6186.207107424063,0.0,5401.239088283102,0.0,7234.838956499992,0.0,5778.746554442183,0.0,5940.509035412662,0.0,5259.11515936614
PNW_nuclear_nuclear__large_moderate_0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,7,0.0,6392.267705070747,6392.267705070747,8000.2438171532895,6392.267705070747,8008.2386858302525,6804.275419997381,9381.887796946867,6785.263285042038,9381.115828268126,6392.267705070747,7997.133965220819,6392.267705070747,8007.598747280734,8106.079913481241,8923.69268196902,6392.267705070747,8676.529944363383
UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT_NV_nuclear_nuclear__large_moderate_0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S_nuclear_1,3,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1,1079.1
NM_nuclear_1,5,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6,1023.6
AZ_onshore_wind_turbine_1,1,1234.5,1234.5,967.2,967.2,967.2,967.2,967.2,967.2,967.2,967.2,967.2,967.2,967.2,967.2,967.2,967.2,967.2,967.2
AZ_solar_photovoltaic_1,1,7148.1,7148.1,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8,5908.8
CA_N_onshore_wind_turbine_1,2,1753.2,1753.2,427.4,427.4,427.4,427.4,427.4,427.4,427.4,427.4,427.4,427.4,427.4,427.4,427.4,427.4,427.4,427.4
CA_N_solar_photovoltaic_1,2,7142.7,7142.7,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9,5473.9
CA_S_onshore_wind_turbine_1,3,4214.7,4214.7,908.4,908.4,908.4,908.4,908.4,908.4,908.4,908.4,908.4,908.4,908.4,908.4,908.4,908.4,908.4,908.4
CA_S_solar_photovoltaic_1,3,18242.7,18242.7,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5,14317.5
MT_WY_CO_onshore_wind_turbine_1,4,15674.3,15674.3,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1,11382.1
MT_WY_CO_solar_photovoltaic_1,4,3820.4,3820.4,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5,3640.5
NM_onshore_wind_turbine_1,5,5810.3,5810.3,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5,5467.5
NM_solar_photovoltaic_1,5,2851.5,2851.5,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3,2582.3
PNW_onshore_wind_turbine_1,6,9077.0,9077.0,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1,1936.1
PNW_solar_photovoltaic_1,6,4221.0,4221.0,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3,4202.3
UT_NV_onshore_wind_turbine_1,7,539.7,539.7,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8
UT_NV_solar_photovoltaic_1,7,11498.5,11498.5,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1,10526.1
AZ_landbasedwind_class3_moderate_0,1,0.0,0.0,9750.5,9750.5,9750.5,9750.5,6412.351074354275,9750.5,6418.867637895521,9750.5,9750.5,9750.5,9750.5,9750.5,9750.5,9750.5,2377.108514551783,9750.5
AZ_landbasedwind_class3_moderate_1,1,0.0,0.0,1811.3,1811.3,1811.3,1811.3,0.0,1811.3,0.0,1811.3,1811.3,1811.3,1811.3,1811.3,0.0,1811.3,0.0,1811.3
AZ_landbasedwind_class3_moderate_2,1,0.0,0.0,0.0,2072.812948492401,0.0,280.6396121300494,0.0,1170.8694391271881,0.0,1167.3128174291228,0.0,5611.799235132963,0.0,3393.8769837761997,0.0,1330.9806786223578,0.0,1323.4791240864056
AZ_landbasedwind_class3_moderate_3,1,0.0,0.0,0.0,4748.9,0.0,4748.9,0.0,4748.9,0.0,4748.9,0.0,4748.9,0.0,4748.9,0.0,4748.9,0.0,4748.9
AZ_landbasedwind_class3_moderate_4,1,0.0,0.0,0.0,849.7423215241594,0.0,3174.631139367672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110.4438850789707,0.0,0.0,0.0,0.0
AZ_landbasedwind_class3_moderate_5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_landbasedwind_class3_moderate_6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_landbasedwind_class3_moderate_7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_landbasedwind_class3_moderate_8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_landbasedwind_class3_moderate_9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_utilitypv_class1_moderate_1,1,0.0,0.0,10757.40513086736,16386.42787119087,10736.526811638843,16641.164071263993,6499.318785298261,10040.9901093962,6647.3116901798,10147.12904416253,14038.202825761047,18993.855529770728,14098.252443853626,19080.89597774695,6359.022663987247,11592.48605269371,6985.723398239397,11592.021147804675
AZ_utilitypv_class1_moderate_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_utilitypv_class1_moderate_3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_utilitypv_class1_moderate_4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_utilitypv_class1_moderate_5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_moderate_0,2,0.0,0.0,4549.7,4549.7,4549.7,4549.7,0.0,4549.7,0.0,4549.7,4549.7,4549.7,4549.7,4549.7,500.1613209659206,4549.7,0.0,4549.7
CA_N_landbasedwind_class3_moderate_1,2,0.0,0.0,2149.1,2149.1,2149.1,2149.1,0.0,2149.1,0.0,2149.1,2149.1,2149.1,2149.1,2149.1,0.0,2149.1,0.0,2149.1
CA_N_landbasedwind_class3_moderate_2,2,0.0,0.0,1758.6572018013621,4793.8,1563.2336002064783,4793.8,0.0,4793.8,0.0,4793.8,1991.7560021809747,4793.8,1912.187059283309,4793.8,0.0,4793.8,0.0,4793.8
CA_N_landbasedwind_class3_moderate_3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_moderate_4,2,0.0,0.0,0.0,4422.5,0.0,4422.5,0.0,4422.5,0.0,4422.5,0.0,4422.5,0.0,4422.5,0.0,4422.5,0.0,4422.5
CA_N_landbasedwind_class3_moderate_5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_moderate_6,2,0.0,0.0,0.0,5287.7,0.0,5287.7,0.0,5287.7,0.0,5287.7,0.0,5287.7,0.0,5287.7,0.0,5287.7,0.0,5287.7
CA_N_landbasedwind_class3_moderate_7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_moderate_8,2,0.0,0.0,0.0,2639.3711835100903,0.0,2987.922446959452,0.0,4977.0,0.0,4977.0,0.0,2621.5413362189715,0.0,3131.9219991913337,0.0,4977.0,0.0,4977.0
CA_N_landbasedwind_class3_moderate_9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_utilitypv_class1_moderate_1,2,0.0,0.0,13375.333154678998,31071.514576383994,13656.926200861528,31368.603942515238,2657.925976526815,22102.242178123444,2722.472787742714,22102.242178123444,13039.452530615543,31065.400068933934,13154.106343303672,31364.29347133346,3574.2417430363544,21644.110555434603,2692.8094896146713,21983.838522526985
CA_N_utilitypv_class1_moderate_2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_utilitypv_class1_moderate_3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_utilitypv_class1_moderate_4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N_utilitypv_class1_moderate_5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_moderate_0,3,0.0,0.0,684.4,684.4,684.4,684.4,684.4,684.4,684.4,684.4,684.4,684.4,684.4,684.4,684.4,684.4,684.4,684.4
CA_S_landbasedwind_class3_moderate_1,3,0.0,0.0,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5
CA_S_landbasedwind_class3_moderate_2,3,0.0,0.0,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2
CA_S_landbasedwind_class3_moderate_3,3,0.0,0.0,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5
CA_S_landbasedwind_class3_moderate_4,3,0.0,0.0,0.0,347.8,0.0,347.8,0.0,347.8,0.0,347.8,0.0,347.8,0.0,347.8,0.0,347.8,0.0,347.8
CA_S_landbasedwind_class3_moderate_5,3,0.0,0.0,0.0,421.3,0.0,421.3,0.0,421.3,0.0,421.3,0.0,421.3,0.0,421.3,0.0,421.3,0.0,421.3
CA_S_landbasedwind_class3_moderate_6,3,0.0,0.0,687.3,687.3,687.3,687.3,0.0,687.3,0.0,687.3,687.3,687.3,687.3,687.3,687.3,687.3,0.0,687.3
CA_S_landbasedwind_class3_moderate_7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_moderate_8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
