Time_Index,Hybrid_Wind_Test
527,0.96
528,0.955
529,0.954
530,0.957
531,0.953
532,0.942
533,0.939
534,0.931
535,0.928
536,0.916
537,0.878
538,0.826
539,0.803
540,0.775
541,0.759
542,0.764
543,0.789
544,0.826
545,0.819
546,0.819
547,0.824
548,0.82
549,0.841
550,0.83
551,0.831
552,0.828
553,0.807
554,0.81
555,0.795
556,0.784
557,0.769
558,0.714
559,0.652
560,0.61
561,0.602
562,0.593
563,0.583
564,0.576
565,0.559
566,0.539
567,0.56
568,0.623
569,0.649
570,0.664
571,0.687
572,0.712
573,0.721
574,0.712
575,0.702
576,0.707
577,0.72
578,0.727
579,0.722
580,0.705
581,0.69
582,0.68
583,0.664
584,0.627
585,0.584
586,0.565
587,0.558
588,0.554
589,0.567
590,0.592
591,0.631
592,0.674
593,0.684
594,0.686
595,0.683
596,0.686
597,0.707
598,0.744
599,0.795
600,0.83
601,0.857
602,0.887
603,0.906
604,0.879
605,0.846
606,0.78
607,0.705
608,0.644
609,0.489
610,0.348
611,0.256
612,0.201
613,0.154
614,0.134
615,0.118
616,0.13
617,0.16
618,0.187
619,0.206
620,0.213
621,0.236
622,0.279
623,0.326
624,0.36
625,0.339
626,0.337
627,0.314
628,0.313
629,0.335
630,0.303
631,0.256
632,0.232
633,0.159
634,0.115
635,0.096
636,0.087
637,0.085
638,0.09
639,0.113
640,0.208
641,0.338
642,0.429
643,0.562
644,0.65
645,0.68
646,0.719
647,0.771
648,0.814
649,0.855
650,0.9
651,0.935
652,0.944
653,0.942
654,0.924
655,0.906
656,0.904
657,0.915
658,0.914
659,0.928
660,0.939
661,0.937
662,0.928
663,0.918
664,0.921
665,0.899
666,0.885
667,0.879
668,0.851
669,0.832
670,0.837
671,0.84
672,0.81
673,0.775
674,0.738
675,0.762
676,0.796
677,0.817
678,0.845
679,0.847
680,0.781
681,0.683
682,0.627
683,0.582
684,0.544
685,0.511
686,0.464
687,0.424
688,0.469
689,0.514
690,0.48
691,0.427
692,0.368
693,0.309
694,0.252
695,0.175
696,0.101
697,0.065
698,0.042
699,0.021
700,0.018
701,0.03
702,0.04
703,0.059
704,0.076
705,0.071
706,0.07
707,0.066
708,0.075
709,0.089
710,0.097
711,0.106
712,0.132
713,0.174
714,0.289
715,0.445
716,0.493
717,0.516
718,0.499
719,0.458
720,0.423
721,0.327
722,0.254
723,0.237
724,0.273
725,0.287
726,0.251
727,0.217
728,0.265
729,0.287
730,0.261
731,0.25
732,0.244
733,0.234
734,0.215
735,0.205
736,0.227
737,0.144
738,0.12
739,0.124
740,0.143
741,0.196
742,0.369
743,0.606
744,0.73
745,0.746
746,0.739
747,0.776
748,0.788
749,0.775
750,0.752
751,0.702
752,0.705
753,0.796
754,0.828
755,0.878
756,0.873
757,0.832
758,0.855
759,0.857
760,0.84
761,0.815
762,0.743
763,0.636
764,0.549
765,0.472
766,0.402
767,0.39
768,0.48
769,0.616
770,0.755
771,0.835
772,0.91
773,0.975
774,0.995
775,1.0
776,1.0
777,0.998
778,0.99
779,0.932
780,0.925
781,0.905
782,0.892
783,0.879
784,0.85
785,0.858
786,0.868
787,0.84
788,0.834
789,0.819
790,0.766
791,0.748
792,0.731
793,0.736
794,0.735
795,0.793
796,0.85
797,0.867
798,0.867
799,0.855
800,0.837
801,0.791
802,0.75
803,0.717
804,0.684
805,0.649
806,0.596
807,0.564
808,0.535
809,0.558
810,0.579
811,0.583
812,0.61
813,0.668
814,0.722
815,0.78
816,0.846
817,0.895
818,0.921
819,0.933
820,0.932
821,0.923
822,0.892
823,0.857
824,0.847
825,0.833
826,0.817
827,0.808
828,0.827
829,0.844
830,0.873
831,0.871
832,0.852
833,0.835
834,0.831
835,0.857
836,0.882
837,0.88
838,0.867
839,0.855
840,0.858
841,0.867
842,0.881
843,0.892
844,0.883
845,0.866
846,0.851
847,0.844
848,0.856
849,0.869
850,0.874
851,0.86
852,0.847
853,0.851
854,0.847
855,0.834
856,0.824
857,0.828
858,0.847
859,0.852
860,0.856
861,0.861
862,0.867
863,0.869
864,0.864
865,0.851
866,0.837
867,0.827
868,0.821
869,0.814
870,0.8
871,0.772
872,0.741
873,0.706
874,0.663
875,0.685
876,0.661
877,0.607
878,0.556
879,0.512
880,0.409
881,0.342
882,0.315
883,0.316
884,0.321
885,0.321
886,0.334
887,0.363
888,0.38
889,0.405
890,0.451
891,0.504
892,0.582
893,0.638
894,0.633
895,0.595
896,0.555
897,0.54
898,0.561
899,0.571
900,0.532
901,0.482
902,0.41
903,0.294
904,0.219
905,0.161
906,0.109
907,0.092
908,0.072
909,0.057
910,0.051
911,0.058
912,0.059
913,0.06
914,0.069
915,0.067
916,0.066
917,0.092
918,0.144
919,0.233
920,0.289
921,0.357
922,0.559
923,0.762
924,0.792
925,0.803
926,0.78
927,0.783
928,0.78
929,0.77
930,0.772
931,0.713
932,0.61
933,0.545
934,0.506
935,0.471
936,0.434
937,0.418
938,0.389
939,0.335
940,0.29
941,0.263
942,0.241
943,0.233
944,0.298
945,0.41
946,0.492
947,0.521
948,0.535
949,0.509
950,0.439
951,0.388
952,0.364
953,0.345
954,0.365
955,0.398
956,0.429
957,0.456
958,0.473
959,0.5
960,0.536
961,0.566
962,0.598
963,0.664
964,0.693
965,0.678
966,0.677
967,0.702
968,0.705
969,0.74
970,0.768
971,0.784
972,0.775
973,0.763
974,0.711
975,0.62
976,0.543
977,0.515
978,0.482
979,0.485
980,0.481
981,0.479
982,0.434
983,0.394
984,0.393
985,0.399
986,0.43
987,0.441
988,0.469
989,0.447
990,0.43
991,0.478
992,0.501
993,0.553
994,0.671
995,0.777
996,0.769
997,0.699
998,0.593
999,0.487
1000,0.351
1001,0.273
1002,0.22
1003,0.175
1004,0.125
1005,0.077
1006,0.068
1007,0.073
1008,0.1
1009,0.141
1010,0.184
1011,0.209
1012,0.247
1013,0.345
1014,0.487
1015,0.595
1016,0.778
1017,0.931
1018,0.936
1019,0.879
1020,0.805
1021,0.77
1022,0.769
1023,0.721
1024,0.553
1025,0.395
1026,0.296
1027,0.222
1028,0.164
1029,0.106
1030,0.057
1031,0.03
1032,0.017
1033,0.011
1034,0.008
1035,0.004
1036,0.003
1037,0.004
1038,0.007
1039,0.011
1040,0.008
1041,0.01
1042,0.018
1043,0.031
1044,0.05
1045,0.07
1046,0.102
1047,0.141
1048,0.156
1049,0.145
1050,0.117
1051,0.086
1052,0.064
1053,0.043
1054,0.026
1055,0.014
1056,0.005
1057,0.001
1058,0.001
1059,0.002
1060,0.008
1061,0.024
1062,0.054
1063,0.075
1064,0.08
1065,0.092
1066,0.112
1067,0.141
1068,0.194
1069,0.238
1070,0.233
1071,0.209
1072,0.151
1073,0.086
1074,0.049
1075,0.032
1076,0.033
1077,0.039
1078,0.055
1079,0.083
1080,0.114
1081,0.139
1082,0.214
1083,0.284
1084,0.365
1085,0.451
1086,0.545
1087,0.655
1088,0.691
1089,0.775
1090,0.855
1091,0.901
1092,0.936
1093,0.947
1094,0.969
1095,0.97
1096,0.962
1097,0.968
1098,0.983
1099,0.956
1100,0.876
1101,0.782
1102,0.688
1103,0.654
1104,0.629
1105,0.588
1106,0.542
1107,0.529
1108,0.526
1109,0.523
1110,0.526
1111,0.514
1112,0.539
1113,0.613
1114,0.478
1115,0.274
1116,0.294
1117,0.378
1118,0.565
1119,0.74
1120,0.898
1121,0.945
1122,0.941
1123,0.918
1124,0.9
1125,0.886
1126,0.882
1127,0.881
1128,0.893
1129,0.874
1130,0.875
1131,0.912
1132,0.909
1133,0.932
1134,0.957
1135,0.964
1136,0.94
1137,0.93
1138,0.961
1139,0.983
1140,0.987
1141,0.987
1142,0.987
1143,0.969
1144,0.928
1145,0.927
1146,0.964
1147,0.976
1148,0.978
1149,0.973
1150,0.966
1151,0.949
1152,0.931
1153,0.928
1154,0.929
1155,0.919
1156,0.845
1157,0.797
1158,0.786
1159,0.805
1160,0.725
1161,0.7
1162,0.721
1163,0.804
1164,0.865
1165,0.904
1166,0.918
1167,0.864
1168,0.832
1169,0.85
1170,0.834
1171,0.84
1172,0.858
1173,0.872
1174,0.868
1175,0.872
1176,0.831
1177,0.699
1178,0.622
1179,0.541
1180,0.51
1181,0.512
1182,0.505
1183,0.475
1184,0.495
1185,0.519
1186,0.519
1187,0.518
1188,0.498
1189,0.478
1190,0.446
1191,0.365
1192,0.29
1193,0.279
1194,0.257
1195,0.28
1196,0.479
1197,0.692
1198,0.846
1199,0.941
1200,0.956
1201,0.977
1202,0.983
1203,0.972
1204,0.955
1205,0.944
1206,0.933
1207,0.893
1208,0.837
1209,0.842
1210,0.849
1211,0.854
1212,0.883
1213,0.911
1214,0.929
1215,0.928
1216,0.905
1217,0.889
1218,0.852
1219,0.776
1220,0.704
1221,0.675
1222,0.666
1223,0.633
1224,0.603
1225,0.631
1226,0.656
1227,0.668
1228,0.7
1229,0.732
1230,0.75
1231,0.752
1232,0.754
1233,0.777
1234,0.763
1235,0.753
1236,0.733
1237,0.735
1238,0.729
1239,0.697
1240,0.603
1241,0.512
1242,0.48
1243,0.42
1244,0.315
1245,0.245
1246,0.222
1247,0.207
1248,0.213
1249,0.219
1250,0.207
1251,0.158
1252,0.127
1253,0.114
1254,0.122
1255,0.145
1256,0.141
1257,0.129
1258,0.131
1259,0.204
1260,0.297
1261,0.335
1262,0.323
1263,0.292
1264,0.271
1265,0.326
1266,0.398
1267,0.475
1268,0.458
1269,0.458
1270,0.487
1271,0.525
1272,0.514
1273,0.473
1274,0.45
1275,0.47
1276,0.507
1277,0.514
1278,0.519
1279,0.537
1280,0.549
1281,0.639
1282,0.679
1283,0.665
1284,0.63
1285,0.594
1286,0.534
1287,0.454
1288,0.346
1289,0.361
1290,0.432
1291,0.446
1292,0.46
1293,0.463
1294,0.497
1295,0.671
1296,0.757
1297,0.836
1298,0.878
1299,0.896
1300,0.904
1301,0.897
1302,0.898
1303,0.877
1304,0.835
1305,0.857
1306,0.872
1307,0.892
1308,0.909
1309,0.923
1310,0.885
1311,0.839
1312,0.759
1313,0.659
1314,0.624
1315,0.618
1316,0.617
1317,0.583
1318,0.577
1319,0.602
1320,0.639
1321,0.699
1322,0.8
1323,0.84
1324,0.841
1325,0.84
1326,0.872
1327,0.882
1328,0.87
1329,0.905
1330,0.925
1331,0.927
1332,0.917
1333,0.898
1334,0.878
1335,0.847
1336,0.762
1337,0.675
1338,0.666
1339,0.689
1340,0.677
1341,0.683
1342,0.691
1343,0.718
1344,0.721
1345,0.75
1346,0.781
1347,0.791
1348,0.808
1349,0.821
1350,0.829
1351,0.833
1352,0.83
1353,0.852
1354,0.936
1355,0.96
1356,0.988
1357,0.995
1358,0.994
1359,0.991
1360,0.984
1361,0.949
1362,0.941
1363,0.948
1364,0.913
1365,0.869
1366,0.815
1367,0.732
1368,0.632
1369,0.48
1370,0.405
1371,0.369
1372,0.374
1373,0.457
1374,0.453
1375,0.45
1376,0.333
1377,0.407
1378,0.551
1379,0.587
1380,0.585
1381,0.546
1382,0.594
1383,0.538
1384,0.54
1385,0.592
1386,0.532
1387,0.48
1388,0.556
1389,0.622
1390,0.571
1391,0.588
1392,0.717
1393,0.817
1394,0.829
1395,0.779
1396,0.683
1397,0.559
1398,0.442
1399,0.375
1400,0.237
1401,0.149
1402,0.091
1403,0.066
1404,0.091
1405,0.129
1406,0.156
1407,0.172
1408,0.154
1409,0.101
1410,0.085
1411,0.043
1412,0.031
1413,0.042
1414,0.095
1415,0.171
1416,0.218
1417,0.363
1418,0.507
1419,0.612
1420,0.736
1421,0.8
1422,0.833
1423,0.859
1424,0.886
1425,0.928
1426,0.932
1427,0.951
1428,0.968
1429,0.983
1430,0.984
1431,0.979
1432,0.96
1433,0.926
1434,0.937
1435,0.872
1436,0.832
1437,0.819
1438,0.817
1439,0.847
1440,0.916
1441,0.89
1442,0.856
1443,0.788
1444,0.733
1445,0.782
1446,0.736
1447,0.75
1448,0.843
1449,0.936
1450,0.974
1451,0.989
1452,0.993
1453,0.994
1454,0.994
1455,0.994
1456,0.992
1457,0.98
1458,0.936
1459,0.894
1460,0.865
1461,0.828
1462,0.791
1463,0.76
1464,0.752
1465,0.721
1466,0.746
1467,0.811
1468,0.887
1469,0.898
1470,0.92
1471,0.934
1472,0.919
1473,0.915
1474,0.928
1475,0.934
1476,0.923
1477,0.913
1478,0.92
1479,0.938
1480,0.946
1481,0.98
1482,0.991
1483,0.991
1484,0.992
1485,0.99
1486,0.989
1487,0.992
1488,0.992
1489,0.99
1490,0.984
1491,0.973
1492,0.953
1493,0.929
1494,0.891
1495,0.836
1496,0.769
1497,0.726
1498,0.751
1499,0.774
1500,0.778
1501,0.767
1502,0.746
1503,0.739
1504,0.744
1505,0.788
1506,0.769
1507,0.752
1508,0.756
1509,0.756
1510,0.735
1511,0.706
1512,0.701
1513,0.701
1514,0.689
1515,0.668
1516,0.636
1517,0.616
1518,0.609
1519,0.606
1520,0.588
1521,0.581
1522,0.64
1523,0.673
1524,0.655
1525,0.627
1526,0.568
1527,0.493
1528,0.466
1529,0.508
1530,0.524
1531,0.526
1532,0.56
1533,0.591
1534,0.62
1535,0.662
1536,0.725
1537,0.771
1538,0.766
1539,0.733
1540,0.693
1541,0.65
1542,0.568
1543,0.47
1544,0.367
1545,0.277
1546,0.219
1547,0.171
1548,0.127
1549,0.101
1550,0.089
1551,0.088
1552,0.077
1553,0.072
1554,0.051
1555,0.039
1556,0.023
1557,0.012
1558,0.015
1559,0.027
1560,0.033
1561,0.04
1562,0.058
1563,0.085
1564,0.129
1565,0.187
1566,0.278
1567,0.331
1568,0.301
1569,0.292
1570,0.337
1571,0.423
1572,0.504
1573,0.528
1574,0.516
1575,0.522
1576,0.489
1577,0.511
1578,0.619
1579,0.661
1580,0.702
1581,0.739
1582,0.757
1583,0.749
1584,0.753
1585,0.761
1586,0.749
1587,0.723
1588,0.732
1589,0.746
1590,0.759
1591,0.832
1592,0.831
1593,0.821
1594,0.835
1595,0.881
1596,0.939
1597,0.954
1598,0.952
1599,0.947
1600,0.924
1601,0.897
1602,0.916
1603,0.898
1604,0.825
1605,0.698
1606,0.567
1607,0.514
1608,0.513
1609,0.521
1610,0.555
1611,0.636
1612,0.728
1613,0.737
1614,0.726
1615,0.741
1616,0.773
1617,0.822
1618,0.851
1619,0.855
1620,0.813
1621,0.781
1622,0.768
1623,0.751
1624,0.698
1625,0.562
1626,0.473
1627,0.409
1628,0.352
1629,0.3
1630,0.263
1631,0.219
1632,0.183
1633,0.15
1634,0.114
1635,0.091
1636,0.074
1637,0.09
1638,0.078
1639,0.053
1640,0.055
1641,0.064
1642,0.085
1643,0.09
1644,0.11
1645,0.099
1646,0.07
1647,0.051
1648,0.031
1649,0.049
1650,0.068
1651,0.084
1652,0.081
1653,0.076
1654,0.091
1655,0.093
1656,0.123
1657,0.21
1658,0.333
1659,0.505
1660,0.601
1661,0.658
1662,0.711
1663,0.715
1664,0.711
1665,0.759
1666,0.773
1667,0.792
1668,0.802
1669,0.806
1670,0.787
1671,0.773
1672,0.781
1673,0.856
1674,0.925
1675,0.944
1676,0.943
1677,0.942
1678,0.935
1679,0.924
1680,0.903
1681,0.896
1682,0.893
1683,0.876
1684,0.862
1685,0.843
1686,0.822
1687,0.749
1688,0.643
1689,0.578
1690,0.559
1691,0.539
1692,0.531
1693,0.538
1694,0.555
1695,0.57
1696,0.563
1697,0.613
1698,0.698
1699,0.762
1700,0.782
1701,0.761
1702,0.758
1703,0.776
1704,0.811
1705,0.844
1706,0.863
1707,0.848
1708,0.807
1709,0.771
1710,0.745
1711,0.748
1712,0.728
1713,0.671
1714,0.661
1715,0.667
1716,0.74
1717,0.826
1718,0.871
1719,0.914
1720,0.917
1721,0.802
1722,0.754
1723,0.773
1724,0.779
1725,0.73
1726,0.68
1727,0.678
1728,0.641
1729,0.55
1730,0.528
1731,0.517
1732,0.474
1733,0.449
1734,0.456
1735,0.437
1736,0.452
1737,0.534
1738,0.692
1739,0.887
1740,0.952
1741,0.965
1742,0.965
1743,0.95
1744,0.891
1745,0.812
1746,0.777
1747,0.812
1748,0.793
1749,0.774
1750,0.663
1751,0.594
1752,0.55
1753,0.48
1754,0.293
1755,0.175
1756,0.146
1757,0.123
1758,0.09
1759,0.049
1760,0.036
1761,0.034
1762,0.033
1763,0.052
1764,0.078
1765,0.093
1766,0.089
1767,0.09
1768,0.069
1769,0.056
1770,0.084
1771,0.127
1772,0.14
1773,0.171
1774,0.218
1775,0.283
1776,0.335
1777,0.424
1778,0.575
1779,0.737
1780,0.842
1781,0.888
1782,0.901
1783,0.896
1784,0.868
1785,0.857
1786,0.847
1787,0.867
1788,0.901
1789,0.925
1790,0.935
1791,0.932
1792,0.902
1793,0.791
1794,0.759
1795,0.755
1796,0.762
1797,0.807
1798,0.802
1799,0.783
1800,0.747
1801,0.727
1802,0.727
1803,0.709
1804,0.683
1805,0.645
1806,0.616
1807,0.608
1808,0.608
1809,0.623
1810,0.625
1811,0.629
1812,0.634
1813,0.645
1814,0.683
1815,0.712
1816,0.693
1817,0.518
1818,0.435
1819,0.462
1820,0.529
1821,0.631
1822,0.707
1823,0.731
1824,0.715
1825,0.74
1826,0.797
1827,0.844
1828,0.863
1829,0.866
1830,0.863
1831,0.821
1832,0.709
1833,0.66
1834,0.631
1835,0.629
1836,0.634
1837,0.659
1838,0.699
1839,0.686
1840,0.701
1841,0.641
1842,0.58
1843,0.562
1844,0.439
1845,0.371
1846,0.364
1847,0.283
1848,0.22
1849,0.181
1850,0.192
1851,0.207
1852,0.234
1853,0.23
1854,0.185
1855,0.169
1856,0.163
1857,0.166
1858,0.145
1859,0.145
1860,0.177
1861,0.223
1862,0.293
1863,0.357
1864,0.459
1865,0.541
1866,0.593
1867,0.587
1868,0.522
1869,0.443
1870,0.371
1871,0.328
1872,0.282
1873,0.276
1874,0.285
1875,0.353
1876,0.378
1877,0.435
1878,0.673
1879,0.636
1880,0.568
1881,0.619
1882,0.698
1883,0.694
1884,0.633
1885,0.566
1886,0.614
1887,0.63
1888,0.522
1889,0.573
1890,0.52
1891,0.411
1892,0.387
1893,0.366
1894,0.49
1895,0.593
1896,0.676
1897,0.697
1898,0.634
1899,0.534
1900,0.382
1901,0.342
1902,0.341
1903,0.308
1904,0.376
1905,0.479
1906,0.446
1907,0.407
1908,0.398
1909,0.389
1910,0.429
1911,0.381
1912,0.312
1913,0.263
1914,0.176
1915,0.2
1916,0.16
1917,0.127
1918,0.142
1919,0.23
1920,0.325
1921,0.347
1922,0.3
1923,0.3
1924,0.331
1925,0.333
1926,0.348
1927,0.355
1928,0.321
1929,0.35
1930,0.385
1931,0.367
1932,0.314
1933,0.273
1934,0.239
1935,0.211
1936,0.184
1937,0.169
1938,0.189
1939,0.164
1940,0.138
1941,0.155
1942,0.163
1943,0.163
1944,0.128
1945,0.13
1946,0.174
1947,0.212
1948,0.269
1949,0.298
1950,0.315
1951,0.283
1952,0.201
1953,0.167
1954,0.156
1955,0.144
1956,0.133
1957,0.122
1958,0.153
1959,0.17
1960,0.185
1961,0.229
1962,0.353
1963,0.39
1964,0.341
1965,0.333
1966,0.271
1967,0.188
1968,0.112
1969,0.113
1970,0.084
1971,0.082
1972,0.102
1973,0.108
1974,0.103
1975,0.095
1976,0.082
1977,0.078
1978,0.085
1979,0.081
1980,0.082
1981,0.073
1982,0.076
1983,0.066
1984,0.108
1985,0.165
1986,0.163
1987,0.169
1988,0.2
1989,0.286
1990,0.421
1991,0.555
1992,0.743
1993,0.852
1994,0.901
1995,0.958
1996,0.99
1997,0.992
1998,0.983
1999,0.974
2000,0.958
2001,0.954
2002,0.969
2003,0.972
2004,0.955
2005,0.914
2006,0.861
2007,0.786
2008,0.705
2009,0.664
2010,0.735
2011,0.8
2012,0.834
2013,0.867
2014,0.902
2015,0.903
2016,0.87
2017,0.834
2018,0.787
2019,0.685
2020,0.667
2021,0.629
2022,0.617
2023,0.487
2024,0.235
2025,0.109
2026,0.06
2027,0.036
2028,0.033
2029,0.057
2030,0.153
2031,0.201
2032,0.239
2033,0.332
2034,0.408
2035,0.439
2036,0.574
2037,0.662
2038,0.685
2039,0.72
2040,0.749
2041,0.797
2042,0.844
2043,0.882
2044,0.861
2045,0.827
2046,0.789
2047,0.768
2048,0.71
2049,0.681
2050,0.726
2051,0.772
2052,0.846
2053,0.913
2054,0.95
2055,0.909
2056,0.812
2057,0.753
2058,0.699
2059,0.674
2060,0.731
2061,0.703
2062,0.683
2063,0.598
2064,0.412
2065,0.263
2066,0.271
2067,0.237
2068,0.191
2069,0.143
2070,0.098
2071,0.083
2072,0.145
2073,0.298
2074,0.467
2075,0.706
2076,0.792
2077,0.83
2078,0.756
2079,0.626
2080,0.627
2081,0.659
2082,0.669
2083,0.71
2084,0.703
2085,0.692
2086,0.732
2087,0.742
2088,0.688
2089,0.627
2090,0.626
2091,0.661
2092,0.69
2093,0.663
2094,0.646
2095,0.631
2096,0.682
2097,0.746
2098,0.82
2099,0.86
2100,0.883
2101,0.885
2102,0.853
2103,0.827
2104,0.801
2105,0.736
2106,0.667
2107,0.601
2108,0.515
2109,0.458
2110,0.433
2111,0.413
2112,0.449
2113,0.456
2114,0.429
2115,0.384
2116,0.322
2117,0.272
2118,0.226
2119,0.165
2120,0.104
2121,0.08
2122,0.074
2123,0.069
2124,0.054
2125,0.073
2126,0.096
2127,0.129
2128,0.153
2129,0.141
2130,0.167
2131,0.253
2132,0.363
2133,0.499
2134,0.658
2135,0.789
2136,0.88
2137,0.937
