Resource,Derating_factor_1,Derating_factor_3,Derating_factor_2,Derating_factor_4
CA_S_utilitypv_class1_conservative_4,0.8,0.0,0.0,0.0
CA_S_utilitypv_class1_conservative_5,0.8,0.0,0.0,0.0
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.0,0.0,0.9,0.0
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.0,0.0,0.9,0.0
MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,0.0,0.0,0.9,0.0
MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,0.0,0.0,0.95,0.0
MT_WY_CO_nuclear_nuclear__large_advanced_0,0.0,0.0,0.9,0.0
MT_WY_CO_landbasedwind_class3_conservative_0,0.0,0.0,0.8,0.0
MT_WY_CO_landbasedwind_class3_conservative_1,0.0,0.0,0.8,0.0
MT_WY_CO_landbasedwind_class3_conservative_2,0.0,0.0,0.8,0.0
MT_WY_CO_landbasedwind_class3_conservative_3,0.0,0.0,0.8,0.0
MT_WY_CO_landbasedwind_class3_conservative_4,0.0,0.0,0.8,0.0
MT_WY_CO_landbasedwind_class3_conservative_5,0.0,0.0,0.8,0.0
MT_WY_CO_landbasedwind_class3_conservative_6,0.0,0.0,0.8,0.0
MT_WY_CO_landbasedwind_class3_conservative_7,0.0,0.0,0.8,0.0
MT_WY_CO_landbasedwind_class3_conservative_8,0.0,0.0,0.8,0.0
MT_WY_CO_landbasedwind_class3_conservative_9,0.0,0.0,0.8,0.0
MT_WY_CO_utilitypv_class1_conservative_1,0.0,0.0,0.8,0.0
MT_WY_CO_utilitypv_class1_conservative_2,0.0,0.0,0.8,0.0
MT_WY_CO_utilitypv_class1_conservative_3,0.0,0.0,0.8,0.0
MT_WY_CO_utilitypv_class1_conservative_4,0.0,0.0,0.8,0.0
MT_WY_CO_utilitypv_class1_conservative_5,0.0,0.0,0.8,0.0
NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.0,0.0,0.0,0.9
NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.0,0.0,0.0,0.9
NM_naturalgas_combustion_turbine_fframe_moderate_0,0.0,0.0,0.0,0.9
NM_utilityscale_battery_storage_lithium_ion_conservative_0,0.0,0.0,0.0,0.95
NM_nuclear_nuclear__large_advanced_0,0.0,0.0,0.0,0.9
NM_landbasedwind_class3_conservative_0,0.0,0.0,0.0,0.8
NM_landbasedwind_class3_conservative_1,0.0,0.0,0.0,0.8
NM_landbasedwind_class3_conservative_2,0.0,0.0,0.0,0.8
NM_landbasedwind_class3_conservative_3,0.0,0.0,0.0,0.8
NM_landbasedwind_class3_conservative_4,0.0,0.0,0.0,0.8
NM_landbasedwind_class3_conservative_5,0.0,0.0,0.0,0.8
NM_landbasedwind_class3_conservative_6,0.0,0.0,0.0,0.8
NM_landbasedwind_class3_conservative_7,0.0,0.0,0.0,0.8
NM_landbasedwind_class3_conservative_8,0.0,0.0,0.0,0.8
NM_landbasedwind_class3_conservative_9,0.0,0.0,0.0,0.8
NM_utilitypv_class1_conservative_1,0.0,0.0,0.0,0.8
NM_utilitypv_class1_conservative_2,0.0,0.0,0.0,0.8
NM_utilitypv_class1_conservative_3,0.0,0.0,0.0,0.8
NM_utilitypv_class1_conservative_4,0.0,0.0,0.0,0.8
NM_utilitypv_class1_conservative_5,0.0,0.0,0.0,0.8
PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.0,0.0,0.9,0.0
PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.0,0.0,0.9,0.0
PNW_naturalgas_combustion_turbine_fframe_moderate_0,0.0,0.0,0.9,0.0
PNW_utilityscale_battery_storage_lithium_ion_conservative_0,0.0,0.0,0.95,0.0
PNW_nuclear_nuclear__large_advanced_0,0.0,0.0,0.9,0.0
PNW_landbasedwind_class3_conservative_0,0.0,0.0,0.8,0.0
PNW_landbasedwind_class3_conservative_1,0.0,0.0,0.8,0.0
PNW_landbasedwind_class3_conservative_2,0.0,0.0,0.8,0.0
PNW_landbasedwind_class3_conservative_3,0.0,0.0,0.8,0.0
PNW_landbasedwind_class3_conservative_4,0.0,0.0,0.8,0.0
PNW_landbasedwind_class3_conservative_5,0.0,0.0,0.8,0.0
PNW_landbasedwind_class3_conservative_6,0.0,0.0,0.8,0.0
PNW_landbasedwind_class3_conservative_7,0.0,0.0,0.8,0.0
PNW_landbasedwind_class3_conservative_8,0.0,0.0,0.8,0.0
PNW_landbasedwind_class3_conservative_9,0.0,0.0,0.8,0.0
PNW_utilitypv_class1_conservative_1,0.0,0.0,0.8,0.0
PNW_utilitypv_class1_conservative_2,0.0,0.0,0.8,0.0
PNW_utilitypv_class1_conservative_3,0.0,0.0,0.8,0.0
PNW_utilitypv_class1_conservative_4,0.0,0.0,0.8,0.0
PNW_utilitypv_class1_conservative_5,0.0,0.0,0.8,0.0
UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.0,0.0,0.9,0.0
UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.0,0.0,0.9,0.0
UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,0.0,0.0,0.9,0.0
UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,0.0,0.0,0.95,0.0
UT_NV_nuclear_nuclear__large_advanced_0,0.0,0.0,0.9,0.0
UT_NV_landbasedwind_class3_conservative_0,0.0,0.0,0.8,0.0
UT_NV_landbasedwind_class3_conservative_1,0.0,0.0,0.8,0.0
UT_NV_landbasedwind_class3_conservative_2,0.0,0.0,0.8,0.0
UT_NV_landbasedwind_class3_conservative_3,0.0,0.0,0.8,0.0
UT_NV_landbasedwind_class3_conservative_4,0.0,0.0,0.8,0.0
UT_NV_landbasedwind_class3_conservative_5,0.0,0.0,0.8,0.0
UT_NV_landbasedwind_class3_conservative_6,0.0,0.0,0.8,0.0
UT_NV_landbasedwind_class3_conservative_7,0.0,0.0,0.8,0.0
UT_NV_landbasedwind_class3_conservative_8,0.0,0.0,0.8,0.0
UT_NV_landbasedwind_class3_conservative_9,0.0,0.0,0.8,0.0
UT_NV_utilitypv_class1_conservative_1,0.0,0.0,0.8,0.0
UT_NV_utilitypv_class1_conservative_2,0.0,0.0,0.8,0.0
UT_NV_utilitypv_class1_conservative_3,0.0,0.0,0.8,0.0
UT_NV_utilitypv_class1_conservative_4,0.0,0.0,0.8,0.0
UT_NV_utilitypv_class1_conservative_5,0.0,0.0,0.8,0.0
AZ_Deep_5_5_257_c171,0.0,0.95,0.0,0.0
AZ_Deep_6_5_283_c176,0.0,0.95,0.0,0.0
AZ_Deep_3_5_200_c161,0.0,0.95,0.0,0.0
AZ_Deep_6_5_273_c177,0.0,0.95,0.0,0.0
AZ_Deep_5_5_238_c172,0.0,0.95,0.0,0.0
AZ_Deep_6_5_263_c178,0.0,0.95,0.0,0.0
CA_S_nuclear_1,0.9,0.0,0.0,0.0
NM_nuclear_1,0.0,0.0,0.0,0.9
