Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
UT_NV_biomass_1,0.0,0.0,50.0,0.0,0.0,0.0
UT_NV_conventional_hydroelectric_1,0.0,0.0,50.0,0.0,0.0,0.0
UT_NV_conventional_steam_coal_1,0.0,0.0,50.0,2272.446,0.0,0.0
UT_NV_geothermal_1,0.0,0.0,50.0,379.9,0.0,0.0
UT_NV_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,478.5,0.0,0.0
UT_NV_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,116.1,0.0,0.0
UT_NV_natural_gas_steam_turbine_1,0.0,0.0,50.0,237.5,0.0,0.0
UT_NV_onshore_wind_turbine_1,0.0,0.0,50.0,475.9,0.0,0.0
UT_NV_other_peaker_1,0.0,0.0,50.0,31.1,0.0,0.0
UT_NV_run_of_river_hydroelectric_1,0.0,0.0,50.0,1.2,0.0,0.0
UT_NV_solar_photovoltaic_1,0.0,0.0,50.0,972.4,0.0,0.0
AZ_distributed_generation_1,0.0,0.0,50.0,0.0,0.0,0.0
NM_distributed_generation_1,0.0,0.0,50.0,0.0,0.0,0.0
PNW_distributed_generation_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_S_distributed_generation_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_N_distributed_generation_1,0.0,0.0,50.0,0.0,0.0,0.0
UT_NV_distributed_generation_1,0.0,0.0,50.0,0.0,0.0,0.0
MT_WY_CO_distributed_generation_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.054,20.0,20.0,0.0,0.0,0.0
AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
AZ_utilityscale_battery_storage_lithium_ion_advanced_0,0.047,15.0,15.0,0.0,0.0,0.0
AZ_nuclear_nuclear__large_advanced_0,0.056,40.0,40.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_0,0.053,20.0,20.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_1,0.053,20.0,20.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_2,0.053,20.0,20.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_3,0.053,20.0,20.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_4,0.053,20.0,20.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_5,0.053,20.0,20.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_6,0.053,20.0,20.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_7,0.053,20.0,20.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_8,0.053,20.0,20.0,0.0,0.0,0.0
AZ_landbasedwind_class3_advanced_9,0.053,20.0,20.0,0.0,0.0,0.0
AZ_utilitypv_class1_advanced_1,0.047,20.0,20.0,0.0,0.0,0.0
AZ_utilitypv_class1_advanced_2,0.047,20.0,20.0,0.0,0.0,0.0
AZ_utilitypv_class1_advanced_3,0.047,20.0,20.0,0.0,0.0,0.0
AZ_utilitypv_class1_advanced_4,0.047,20.0,20.0,0.0,0.0,0.0
AZ_utilitypv_class1_advanced_5,0.047,20.0,20.0,0.0,0.0,0.0
CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.054,20.0,20.0,0.0,0.0,0.0
CA_N_naturalgas_combustion_turbine_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,0.047,15.0,15.0,0.0,0.0,0.0
CA_N_nuclear_nuclear__large_advanced_0,0.056,40.0,40.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_0,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_1,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_2,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_3,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_4,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_5,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_6,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_7,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_8,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_landbasedwind_class3_advanced_9,0.053,20.0,20.0,0.0,0.0,0.0
CA_N_utilitypv_class1_advanced_1,0.047,20.0,20.0,0.0,0.0,0.0
CA_N_utilitypv_class1_advanced_2,0.047,20.0,20.0,0.0,0.0,0.0
CA_N_utilitypv_class1_advanced_3,0.047,20.0,20.0,0.0,0.0,0.0
CA_N_utilitypv_class1_advanced_4,0.047,20.0,20.0,0.0,0.0,0.0
CA_N_utilitypv_class1_advanced_5,0.047,20.0,20.0,0.0,0.0,0.0
CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.054,20.0,20.0,0.0,0.0,0.0
CA_S_naturalgas_combustion_turbine_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,0.047,15.0,15.0,0.0,0.0,0.0
CA_S_nuclear_nuclear__large_advanced_0,0.056,40.0,40.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_0,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_1,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_2,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_3,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_4,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_5,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_6,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_7,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_8,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_landbasedwind_class3_advanced_9,0.053,20.0,20.0,0.0,0.0,0.0
CA_S_utilitypv_class1_advanced_1,0.047,20.0,20.0,0.0,0.0,0.0
CA_S_utilitypv_class1_advanced_2,0.047,20.0,20.0,0.0,0.0,0.0
CA_S_utilitypv_class1_advanced_3,0.047,20.0,20.0,0.0,0.0,0.0
CA_S_utilitypv_class1_advanced_4,0.047,20.0,20.0,0.0,0.0,0.0
CA_S_utilitypv_class1_advanced_5,0.047,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.054,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,0.047,15.0,15.0,0.0,0.0,0.0
MT_WY_CO_nuclear_nuclear__large_advanced_0,0.056,40.0,40.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_0,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_1,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_2,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_3,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_4,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_5,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_6,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_7,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_8,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_landbasedwind_class3_advanced_9,0.053,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_utilitypv_class1_advanced_1,0.047,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_utilitypv_class1_advanced_2,0.047,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_utilitypv_class1_advanced_3,0.047,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_utilitypv_class1_advanced_4,0.047,20.0,20.0,0.0,0.0,0.0
MT_WY_CO_utilitypv_class1_advanced_5,0.047,20.0,20.0,0.0,0.0,0.0
NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.054,20.0,20.0,0.0,0.0,0.0
NM_naturalgas_combustion_turbine_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
NM_utilityscale_battery_storage_lithium_ion_advanced_0,0.047,15.0,15.0,0.0,0.0,0.0
NM_nuclear_nuclear__large_advanced_0,0.056,40.0,40.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_0,0.053,20.0,20.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_1,0.053,20.0,20.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_2,0.053,20.0,20.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_3,0.053,20.0,20.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_4,0.053,20.0,20.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_5,0.053,20.0,20.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_6,0.053,20.0,20.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_7,0.053,20.0,20.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_8,0.053,20.0,20.0,0.0,0.0,0.0
NM_landbasedwind_class3_advanced_9,0.053,20.0,20.0,0.0,0.0,0.0
NM_utilitypv_class1_advanced_1,0.047,20.0,20.0,0.0,0.0,0.0
NM_utilitypv_class1_advanced_2,0.047,20.0,20.0,0.0,0.0,0.0
NM_utilitypv_class1_advanced_3,0.047,20.0,20.0,0.0,0.0,0.0
NM_utilitypv_class1_advanced_4,0.047,20.0,20.0,0.0,0.0,0.0
NM_utilitypv_class1_advanced_5,0.047,20.0,20.0,0.0,0.0,0.0
PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.054,20.0,20.0,0.0,0.0,0.0
PNW_naturalgas_combustion_turbine_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
PNW_utilityscale_battery_storage_lithium_ion_advanced_0,0.047,15.0,15.0,0.0,0.0,0.0
PNW_nuclear_nuclear__large_advanced_0,0.056,40.0,40.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_0,0.053,20.0,20.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_1,0.053,20.0,20.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_2,0.053,20.0,20.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_3,0.053,20.0,20.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_4,0.053,20.0,20.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_5,0.053,20.0,20.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_6,0.053,20.0,20.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_7,0.053,20.0,20.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_8,0.053,20.0,20.0,0.0,0.0,0.0
PNW_landbasedwind_class3_advanced_9,0.053,20.0,20.0,0.0,0.0,0.0
PNW_utilitypv_class1_advanced_1,0.047,20.0,20.0,0.0,0.0,0.0
PNW_utilitypv_class1_advanced_2,0.047,20.0,20.0,0.0,0.0,0.0
PNW_utilitypv_class1_advanced_3,0.047,20.0,20.0,0.0,0.0,0.0
PNW_utilitypv_class1_advanced_4,0.047,20.0,20.0,0.0,0.0,0.0
PNW_utilitypv_class1_advanced_5,0.047,20.0,20.0,0.0,0.0,0.0
UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.054,20.0,20.0,0.0,0.0,0.0
UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,0.054,20.0,20.0,0.0,0.0,0.0
UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,0.047,15.0,15.0,0.0,0.0,0.0
UT_NV_nuclear_nuclear__large_advanced_0,0.056,40.0,40.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_0,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_1,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_2,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_3,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_4,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_5,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_6,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_7,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_8,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_landbasedwind_class3_advanced_9,0.053,20.0,20.0,0.0,0.0,0.0
UT_NV_utilitypv_class1_advanced_1,0.047,20.0,20.0,0.0,0.0,0.0
UT_NV_utilitypv_class1_advanced_2,0.047,20.0,20.0,0.0,0.0,0.0
UT_NV_utilitypv_class1_advanced_3,0.047,20.0,20.0,0.0,0.0,0.0
UT_NV_utilitypv_class1_advanced_4,0.047,20.0,20.0,0.0,0.0,0.0
UT_NV_utilitypv_class1_advanced_5,0.047,20.0,20.0,0.0,0.0,0.0
