Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t133,15626.156334374802,1247.1167029471,1743.4,28797.934633626297,11163.7,21339.836180955004,902.2,8966.8,785.1,258.2,4532.084879626546,3741.2,28300.568801913592,15749.836479274496,42685.73373855773,4616.327120904756,3774.0417802176557,4.005762810578556,17683.15844216686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,224.14407873989208,2793.5,28597.839537150037,477.79010352358694,248354.17457678897
t134,15626.156334374802,1334.1444686314,1743.4,30807.623089084198,11163.7,22829.057453970003,902.2,8966.8,785.1,258.2,4812.935017600546,3741.2,33291.394149166306,16659.251235500833,42685.73373855773,4616.327120904756,3774.0417802176557,4.005762810578556,21143.653799536027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,261729.77784435966
t135,21040.7,1421.1722343157,1743.4,32817.3115445421,11163.7,24318.278726985,902.2,8966.8,785.1,258.2,4867.0,3741.2,33291.394149166306,16659.251235500833,42685.73373855773,4616.327120904756,3774.0417802176557,4.005762810578556,21143.653799536027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,270784.32398654154
t136,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,902.2,8320.017337508247,785.1,258.2,4867.0,3741.2,33291.394149166306,16659.251235500833,42685.73373855773,4006.5383763167865,3774.0417802176557,4.005762810578556,21143.653799536027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,1995.1845598073128,28597.839537150037,521.3143568548049,272315.37463342637
t137,21040.7,1399.4152928946455,1743.4,34827.0,11163.7,25807.5,657.0685827368959,7673.234675016493,572.1827557135073,258.2,4867.0,3741.2,32384.687768489817,16659.251235500833,42685.73373855773,3256.0753587064337,2750.661016506458,2.9195478603828073,16303.438335012936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,21526.181992580227,477.74390207816975,257262.99420165454
t138,21040.7,1399.4152928946455,1743.4,32403.73149155526,11090.675816167568,23945.9734087316,657.0685827368959,7026.45201252474,572.1827557135073,258.2,4515.937327532566,3741.2,30507.58316864065,16659.251235500833,36095.618174070805,2004.2979143508053,2658.4690648464607,2.9195478603828073,12639.61566050647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,18491.54862191795,434.1618969401802,235354.10197249136
t139,21040.7,1290.630585789291,1743.4,32403.73149155526,8473.464857956127,22084.4468174632,657.0685827368959,6379.669350032987,572.1827557135073,258.2,4515.937327532566,3741.2,29952.79064112241,14382.157010670026,32172.875321004045,2004.2979143508053,2275.7969549866025,2.1724299003914975,9367.850420238736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582.7405308649554,2195.520742450245,105.06961803972993,2793.5,16487.06464946067,478.87972561091857,216961.34772747938
t140,21040.7,1290.630585789291,1743.4,31949.99479326757,7855.147097994859,20222.920226194798,411.93716547379177,5732.886687541233,359.2655114270146,210.20561356455565,4515.937327532566,2596.126268287087,29952.79064112241,11912.00376304143,25234.63138598605,1593.8634741308817,1555.2167246658348,2.1724299003914975,7590.715956353433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179.385808756182,2758.7,210.24197543538432,2793.5,15837.988558580031,435.2746197502204,198985.63661479502
t141,21040.7,1181.8458786839365,1743.4,31949.99479326757,7581.457976194112,18361.393634926397,166.80574821068763,5086.10402504948,359.2655114270146,210.20561356455565,4181.022207158848,2596.126268287087,28452.786593247893,10013.980814895403,17621.796254419365,342.08602977525334,1017.0535729428013,2.1724299003914975,4614.574881715029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2194.173272517153,315.5170721869631,798.6670539792517,17865.66118688498,391.6579635281679,179673.24878276233
t142,19818.074888479314,1181.8458786839365,1743.4,29437.884223945668,7136.111386758329,16499.867043657996,166.80574821068763,4439.321362557726,146.3482671405219,210.20561356455565,4181.022207158848,2596.126268287087,28452.786593247893,9951.349382659628,10574.286251604372,342.08602977525334,692.1864632085055,2.1724299003914975,2265.2995715052703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,105.37783610750319,1597.4220114051445,17330.667865228235,348.0297569447611,163562.17708003166
